name,frequency
Ablabius,3
Abramius,9
Abundanitus,3
Acacius,6
Acindynus,3
Aemilianus,6
Aeneas,2
Aetherius,2
Agapetus,3
Agnellus,3
Agricola,2
Albinus,7
Alexander,23
Amantius,2
Ammonianus,9
Ampelius,3
Anastasius,43
Anatolicus,2
Anatolius,13
Andreas,29
Andronicus,6
Anthemius,4
Anthimus,3
Antiochus,7
Antoninus,2
Antonius,2
Aphthonius,3
Apion,5
Apollinarius,3
Apollos,2
Aquila,2
Archelaus,4
Areobindus,6
Aristobulus,2
Aristomachus,3
Armatus,3
Armenius,2
Armentarius,5
Arsaphius,3
Arsenius,2
Asbadus,2
Asclepiodotus,4
Asclepius,5
Asterius,8
Athanasius,14
Attalus,2
Aurelianus,3
Auxitius,2
Avienus,2
Bacauda,2
Bacchus,3
Baduaruis,3
Barbatus,2
Basilius,14
Bassus,5
Batzas,2
Beatus,2
Belisarius,2
Bellesarius,2
Beppolenus,2
Boethius,3
Bonifatius,5
Bonosus,2
Bonus,11
Butlilinus,2
Caesarius,3
Callinicus,17
Callistus,2
Calopodius,3
Carellus,3
Carinus,3
Celsus,2
Charegiselus,2
Chilbudius,2
Christophorus,5
Claudius,4
Clementinus,2
Colluthus,6
Comentas,3
Comentiolus,3
Comitas,7
Cometas,7
Comitiolus,2
Conon,4
Constantianus,2
Constantinianus,2
Constantinus,52
Constantius,2
Cosmas,29
Cyricus,2
Cyrillus,6
Cyrus,17
Damianus,5
Domianus,6
Danielus,1
Daniel,2
David,8
Dydymus,2
Decius,3
Demetrius,11
Demosthenes,5
Desiderius,5
Deusdedit,4
Deuterius,3
Diogenes,8
Diomedes,4
Dionysius,6
Dioscorus,10
Domentiolus,2
Domitius,4
Domnicus,3
Domninus,2
Domnitiolus,2
Donatus,3
Donus,2
Dorotheus,20
Droserius,2
Dulcitius,3
Dynamius,5
Elias,19
Ennodius,4
Epiphanius,6
Eudaemon,3
Eudoxius,2
Eugenius,4
Eulogius,4
Eupatarius,2
Euphemius,4
Euphratas,2
Euphronius,2
Eustochius,2
Eustratius,2
Euthalius,2
Eutolmius,2
Eutychianus,5
Eutychius,2
Faustinus,3
Faustus,7
Felix,13
Firminus,2
Flavianus,4
Florentinus,4
Florentius,7
Florus,3
Fortunatus,3
Francio,2
Fronto,2
Gabrielius,5
Gabriel,5
Gallus,3
Genethlius,2
Gennadius,8
Georgius,81
Germanus,17
Gerontius,6
Godilas,2
Gregoras,3
Gregorius,27
Hadrianus,5
Helias,2
Helladius,2
Heraclius,8
Hermias,2
Hermongenes,3
Herodianus,2
Hilarius,3
Himerius,2
Honoratus,2
Honorius,8
Hypatius,4
Iacobus,8
Ianuarius,3
Innocentius,3
Ionnacius,2
Ioannes,327
Iordanes,5
Iosephus,7
Iovinus,3
Iovivus,2
Irenaeus,2
Isaaces,11
Isidorus,13
Iulianus,50
Iulius,2
Iustinianus,8
Iustinus,15
Iustus,10
Laurentius,9
Lazarus,3
Leo,13
Leon,26
Leontius,46
Longinus,6
Lucinus,4
Macedonius,5
Macrobius,4
Magnus,3
Manuel,4
Marcellinus,7
Marcellus,13
Marcianus,12
Marcus,10
Marianus,13
Marinus,18
Marius,2
Marthanes,2
Martinianus,3
Martinus,7
Martyrius,2
Maruthus,2
Maurentius,3
Maurianus,5
Mauricius,10
Maurinus,2
Maurus,3
Maxentius,2
Maximianus,2
Maximinus,2
Maximus,9
Megas,3
Megistus,2
Melminius,2
Menander,2
Menas,54
Menelaus,2
Mercurius,2
Michael,16
Moschus,4
Musonius,2
Narses,18
Nazares,2
Nicephorus,5
Nicetas,15
Nicetius,3
Nicolaus,7
Nilus,3
Nonnosus,2
Nonnus,7
Olybrius,4
Olympiodorus,3
Olympius,8
Opilio,3
Palladius,8
Pamphilus,2
Pancratius,2
Pantagathus,2
Papirius,2
Pardus,2
Parthenius,2
Paschalis,3
Pastor,4
Paternus,2
Patricius,12
Paulinus,4
Paulus,75
Pegarius,2
Pelagius,2
Perigenes,2
Petronas,2
Petronius,3
Petrus,77
Philagrius,6
Philaretus,2
Philippicus,3
Phillippus,9
Philoxenus,9
Phocas,9
Phoebammon,22
Photinus,3
Photius,7
Placidus,2
Plato,7
Plutinus,2
Pompeius,3
Praesentinus,3
Praetextatus,2
Principius,2
Priscus,6
Probus,8
Procopius,10
Ptolemaeus,7
Rogatus,2
Romanus,14
Romulus,2
Rufinus,11
Rusticius,2
Rusticus,7
Samuel,5
Sarapammon,2
Sarapion,3
Saturninus,2
Scholasticus,4
Sebastianus,4
Senuthius,2
Serenus,6
Sergius,56
Severianus,2
Severinus,2
Severus,5
Simplicius,3
Sisinnius,5
Sittas,2
Smaragdus,2
Solomon,6
Soterichus,4
Speciosus,2
Stauracius,3
Stephanus,86
Strategius,12
Syagrius,3
Symeon,6
Symmachus,4
Synesius,2
Tatianus,5
Taurinus,5
Taurus,2
Theocharistus,2
Theoctistus,6
Theodoracius,3
Theodoretus,3
Theodoricus,6
Theodorus,230
Theodosius,52
Theodotus,14
Theodulus,4
Theogenius,3
Theon,2
Theopemptus,11
Theophanes,5
Theophilius,5
Theophylactus,15
Theotimus,2
Thomas,39
Tiberius,4
Timotheus,7
Traianus,5
Trasaricus,2
Tribonianus,3
Tribunas,5
Tribunus,2
Trolius,4
Tryphon,4
Tullianus,2
Tzittas,3
Vaanes,3
Valentinus,7
Valerianus,6
Valerius,4
Varazes,2
Vasacius,4
Venantius,6
Venerandus,2
Viator,2
Victor,18
Vigilius,3
Virus,2
Vitalianus,4
Vitalius,5
Urbicus,2
Zacharias,16
Zemarchus,5
Zeno,4
Zenobius,2
Ziper,3
Zoilus,3
