name,frequency
Abigail,26
Ada,11
Adelaide,6
Adele,18
Adrienne,14
Agnes,60
Aileen,15
Ailsa,11
Aimee,8
Alexander,6
Alexandra,128
Alexis,7
Ali,6
Alice,181
Alicia,14
Aline,6
Alison,212
Allison,12
Alma,8
Alyson,6
Amal,6
Amanda,140
Amber,9
Amelia,27
Amy,65
Ana,8
Ana-Patricia,8
Anastasia,6
Andrea,42
Angela,155
Angelina,6
Angharad,9
Anita,20
Ann,534
Anna,143
Annabel,40
Annabelle,10
Anne,593
Anne-Marie,30
Annette,30
Annie,47
Anthea,14
Antoinette,9
Antonia,31
April,12
Arabella,19
Arlene,10
Asha,8
Ashleigh,7
Ashley,8
Astrid,7
Audrey,59
Augusta,9
Auriol,6
Ava,8
Avril,11
Barbara,187
Beatrice,59
Becky,6
Belinda,29
Bernadette,29
Bernice,7
Bertha,10
Beryl,43
Beth,20
Bethan,12
Bethany,6
Bettina,9
Betty,46
Beverley,36
Bianca,6
Brenda,63
Brid,8
Bridget,58
Brigid,12
Bryony,6
Caitlin,11
Camilla,43
Campbell,7
Candida,6
Cara,6
Carina,7
Carla,19
Carly,10
Carmel,12
Carmen,16
Carol,116
Carole,41
Carolina,12
Caroline,295
Carolyn,64
Caron,6
Cassandra,6
Catharine,7
Catherine,344
Cathleen,6
Cathryn,8
Cathy,11
Catriona,29
Cecile,6
Cecilia,43
Cecily,13
Celia,30
Ceri,6
Chantelle,9
Charlene,10
Charlotte,195
Charmaine,6
Charu,7
Cherry,8
Cheryl,23
Chloe,22
Christabel,6
Christian,11
Christiana,6
Christina,54
Christine,180
Clair,6
Claire,185
Clara,11
Clare,182
Claudia,20
Clementine,20
Clio,6
Colette,9
Colleen,13
Connie,8
Constance,48
Cordelia,10
Cosima,6
Courtney,8
Cynthia,32
Daisy,28
Danielle,29
Daphne,43
Davina,17
Dawn,54
Debbie,36
Deborah,138
Debra,18
Deidre,6
Deirdre,18
Denise,80
Diana,118
Diane,60
Dianne,11
Dilys,8
Dolores,6
Donna,47
Dora,14
Doreen,54
Doris,49
Dorothea,16
Dorothy,138
Douglas,6
Edith,58
Edna,30
Edwina,12
Eileen,107
Eirlys,7
Elaine,88
Eleanor,101
Elena,9
Elin,6
Elinor,9
Elisabeth,57
Eliza,23
Elizabeth,1016
Elizabeth-Anne,6
Elizabeth-Jane,7
Elizabeth-Mary,9
Ella,24
Ellen,75
