name,frequency
Aaron,121
Abraham,13
Adam,302
Adrian,178
Aidan,31
Aiden,11
Ajay,10
Alan,581
Alasdair,27
Alastair,74
Albert,113
Alec,24
Aled,14
Aleksander,10
Alex,82
Alexander,589
Alfie,12
Alfred,102
Alistair,60
Alister,8
Allan,80
Allen,37
Alun,19
Ambrose,7
Anderson,10
Andre,28
Andreas,13
Andrei,8
Andrew,1333
Andy,23
Angus,65
Anthony,1142
Anton,16
Antonio,24
Antony,73
Archibald,38
Archie,19
Ardit,6
Armand,6
Arnold,21
Arron,8
Arthur,313
Asa,7
Ashleigh,6
Ashley,106
Ashton,6
Asif,41
Aubrey,8
Augustus,9
Austin,15
Barnaby,12
Barney,9
Barrie,21
Barrington,8
Barry,190
Ben,120
Benedict,39
Benjamin,172
Berkeley,6
Bernard,129
Bertie,6
Bertram,10
Bertrand,9
Bill,32
Billy,32
Blake,11
Bob,10
Bobby,25
Boyd,8
Bradley,44
Brandon,15
Brendan,55
Brendon,9
Brent,9
Brett,31
Brian,430
Brodie,6
Brooke,6
Bruce,62
Bruno,10
Bryan,44
Bryn,8
Byron,8
Caleb,9
Callum,49
Calum,21
Calvin,13
Cameron,29
Campbell,27
Carl,169
Carlo,7
Carlos,9
Carlton,13
Caspar,10
Cecil,31
Cedric,6
Chad,7
Charles,792
Charlie,39
Chris,67
Christian,58
Christopher,999
Christos,8
Ciaran,12
Claude,15
Clayton,7
Clement,18
Cliff,6
Clifford,57
Clifton,6
Clinton,12
Clive,111
Colin,300
Connor,45
Conor,19
Conrad,18
Constantine,7
Corey,9
Cornelius,12
Cosmo,8
Craig,252
Crawford,6
Crispin,8
Curtis,17
Cyril,34
Dafydd,13
Dale,52
Damian,31
Damien,35
Damion,8
Damon,8
Dan,12
Dane,9
Daniel,648
Danny,62
Daren,7
Darrell,7
Darren,351
Darryl,22
Daryl,18
Dave,10
David,2456
David-John,9
Dawood,7
Dean,218
Declan,22
Delroy,10
Denis,55
Dennis,108
Denys,11
Derek,181
Dermot,15
Derrick,20
Desmond,66
Dexter,7
Dirk,7
Domenico,6
Dominic,97
Don,13
Donal,6
Donald,144
Donovan,8
Douglas,200
Drew,9
Duane,9
Dudley,10
Duncan,90
Dwayne,8
Dylan,30
Eamon,11
Eamonn,10
Eddie,14
Edgar,16
Edmund,68
Edward,723
Edward-John,8
Edwin,72
Elliot,23
Elliott,16
Ellis,19
Emerson,6
Emilio,21
Emmanuel,11
Eric,159
Erik,8
Ernest,99
Errol,14
Ethan,8
Euan,12
Eugene,16
Eustace,6
Evan,15
Evelyn,9
Ewan,7
Ewen,7
Fabian,6
Felix,25
Fergus,20
Forbes,7
Frances,8
Francis,361
Francisco-Javier,12
Francois,6
Frank,172
Frankie,9
Fraser,21
Frazer,6
Fred,24
Freddie,22
Frederick,234
Gabriel,10
Gareth,121
Garry,42
Gary,386
Gavin,108
Geoff,9
Geoffrey,166
George,763
Geraint,13
Gerald,102
Gerard,133
Gerrard,19
