name,frequency
Aare,13
Ado,7
Ago,7
Agu,6
Ahti,13
Ain,17
Aivar,23
Aivo,7
Aksel,8
Alar,11
Aleksander,40
Alexander,12
Allan,11
Allar,7
Alo,9
Ando,6
Andre,12
Andreas,9
Andres,77
Andri,9
Andrus,41
Anti,6
Anton,11
Ants,22
Argo,6
Arno,7
Arnold,12
Artur,16
Arvo,16
August,16
Avo,8
Eda,8
Edgar,6
Eero,10
Egert,6
Egon,6
Elmar,13
Endel,14
Enn,16
Enno,7
Erich,9
Erik,28
Erki,12
Erkki,12
Georg,17
Gert,9
Hannes,21
Hanno,6
Hans,7
Hans-Albert,6
Hans-Robert,6
Harald,6
Harri,9
Harry,6
Heiki,12
Heino,19
Heinrich,8
Helmut,7
Hendrik,10
Henn,10
Herman,7
Hillar,6
Ilmar,16
Imre,9
Indrek,41
Ivar,19
Ivar-Iaak,6
Ivo,17
Jaak,41
Jaan,64
Jaanus,41
Jakob,9
Janek,10
Janno,7
Johannes,26
Joonatan,9
Joosep,10
Jueri,43
Juhan,13
Juri,48
Jüri,41
Kaarel,16
Kaido,18
Kalev,24
Kalju,9
Kalle,29
Karl,20
Karl-Erik,18
Karl-Joosep,6
Kaspar,18
Kaupo,8
Koit,6
Konstantin,8
Kristjan,53
Kristjan-Erik,6
Kristjan-Thor,6
Kristo,12
Kuldar,6
Lauri,44
Lembit,14
Leo,7
Madis,43
Maert,15
Mait,9
Marek,18
Margus,52
Mark,8
Marko,27
Markus,12
Mart,67
Marten,10
Martin,38
Mati,25
Matti,10
Meelis,26
Mihhail,14
Mihkel,37
Mikk,6
Märt,16
Neeme,6
Olav,6
Olavi,7
Olev,9
Oliver,11
Oskar,12
Ott,16
Paul,12
Peep,11
Peeter,46
Priit,61
Rain,14
Rainer,8
Rait,10
Raivo,25
Rasmus,15
Raul,13
Rein,48
Rene,7
Richard,15
Riho,27
Robert,15
Roland,6
Roman,6
Rudolf,8
Sander,8
Sigurd-Hans,6
Siim,26
Sten,13
Sulev,15
Sven,20
Taavi,25
Tanel,19
Tanel-Erik,6
Tarmo,38
Teet,13
Thomas,12
Tiit,42
Timo,11
Toivo,23
Tonis,20
Tonu,28
Toomas,71
Tõnis,17
Tõnu,25
Uellar,6
Uelo,18
Uku,8
Ullar,7
Ulo,18
Uno,8
Urmas,41
Urmo,10
Vaeino,13
Vahur,11
Vaino,15
Valdo,6
Veiko,15
Vello,21
Viktor,28
Viljar,10
Vitali,7
Voldemar,6
Väino,13
Üllar,6
Ülo,17
