name,frequency
Abasiya,6
Abaynesh,6
Abdulahi,4
Abeba,6
Abebech,4
Aberash,6
Abonesh,4
Adanech,6
Aden,4
Adisie,4
Aida,4
Aisha,6
Alem,4
Alemitu,6
Alemnesh,4
Alemtsehay,6
Almaz,30
Amarech,16
Aneb,6
Angoach,6
Anguach,12
Anne,8
Asefash,4
Asegedech,4
Aselefech,4
Askale,8
Asnakech,8
Aster,22
Atsede,4
Awetash,6
Ayehuat,6
Ayelech,4
Azalech,6
Azeb,6
Bayush,4
Bekele,6
Belay,4
Belaynesh,8
Beletu,4
Berihun,4
Birtukan,12
Bizunesh,10
Buzena,4
Chaltu,4
Chernet,6
Dagmawit,4
Dehab,4
Demitu,10
Desta,6
Dule,4
Ehite,4
Emebet,8
Ergibnesh,4
Eriknnesh,4
Erknnesh,4
Eshete,4
Eshetu,4
Eskedar,4
Etehun,4
Ethune,4
Etifwork,6
Etsegenet,6
Eyerusalem,4
Fanaye,4
Fantaye,6
Fatuma,8
Ferinesh,4
Ferinish,4
Fetiya,4
Firehiwot,4
Firenesh,4
Fireweyni,6
Fiseha,10
Fitsum,4
Fitum,4
Fozia,6
Gebere,4
Gebeyanesh,10
Gebremichael,4
Gelane,4
Genet,34
Gennet,6
Gifti,8
Hailu,6
Halima,10
Hana,4
Hawa,10
Helemo,8
Hiroute,4
Hirut,16
Hiruth,4
Hiwot,10
Hurit,4
Ifrah,4
Jember,4
Jerusalem,8
Kasanesh,4
Kasewey,4
Kasiwey,6
Kassanesh,4
Kassiwoy,4
Kaswaye,8
Kebebush,6
Kebede,8
Kimia,6
Kongit,6
Konjit,14
Leharssa,4
Lela-Alem,6
Lelaalem,6
Lelise,4
Lemlem,6
Liya,6
Lulit,6
Makida,4
Mamit,6
Mammo,4
Mana,12
Marta,4
Martha,8
Meaza,8
Mebrat,6
Mersha,4
Meselech,4
Meseret,28
Mesert,14
Mesfin,4
Mesifin,10
Mesrak,6
Mihret,4
Mintiwab,6
Misrak,8
Muferiat,4
Muhubo,4
Mulatu,4
Mulu,16
Muluneh,4
Mulunesh,8
Muna,4
Muntaha,6
Neima,8
Netsanet,8
Nigatua,6
Nigist,10
Nitsuh,6
Rahel,12
Redwan,4
Roma,6
Rukia,4
Saba,4
Sahilu,4
Sahle-Work,6
Sahrla,6
Sallem,4
Sara,10
Sebaha,6
Selam,4
Selamawit,4
Senait,12
Senayit,6
Seyoum,6
Shefare,6
Sheshay,6
Shibre,4
Shitaye,4
Shitayie,6
Sifrash,4
Simegn,14
Simegne,4
Sinkenesh,4
Sinkinesh,4
Sinknesh,4
Sira,4
Sosina,6
Tadelech,22
Tadesse,16
Tamrat,4
Tasew,4
Tesfaye,6
Tewabech,4
Teyiba,4
Tezera,4
Tiblet,6
Tigist,16
Timnit,4
Tirfu,4
Tirunesh,4
Tiruye,4
Tsedale,4
Tsegay,6
Tsegaye,4
Tsehay,12
Tsige,4
Tuiba,4
Turufat,4
Welela,6
Widinesh,6
Woinshet,4
Woldeyesus,4
Worke,6
Workie,4
Worknesh,6
Worku,4
Wossen,4
Wudinesh,8
Wudnesh,14
Yalem,6
Yelam,4
Yeshi,4
Yewinhareg,6
Yirga,4
Zahra,6
Zeleke,14
Zemu,6
Zena,4
Zenebu,12
Zewdie,6
Zewditu,6
Zewdu,8
Zimam,4
Zinash,6
