name,frequency
Aba-Dula,4
Ababi,8
Ababu,4
Abadi,4
Abadir,4
Abate,18
Abay,14
Abayneh,8
Abdella,12
Abdi,56
Abdi-Jibril,4
Abdiaziz,4
Abdilahi,4
Abdisa,8
Abdissa,10
Abdiwasa,6
Abdo,6
Abdu,6
Abe,8
Abebaw,12
Abebe,48
Abel,8
Abera,32
Aberra,6
Abeti,4
Abey,6
Abi,8
Abiy,4
Abiyo,8
Abraha,4
Abraham,20
Abreham,6
Abrha,4
Abriha,4
Abune,4
Abyu,8
Adam,14
Adamu,6
Adane,4
Addis,6
Addisu,22
Adello,8
Adelo,6
Adem,22
Ademe,6
Aden,8
Adis,8
Adisu,20
Admassu,10
Admasu,10
Adugna,18
Afework,10
Aklilu,14
Akmel,4
Alamirew,4
Alebachaw,16
Alebachew,8
Alem,18
Alemaw,4
Alemayehu,52
Aleminew,4
Alemneh,6
Alemnew,8
Alemseged,10
Alemshet,6
Alemu,46
Alka,4
Aman,8
Amanuel,10
Amare,30
Ambachew,8
Ambaye,6
Andualem,8
Araya,6
Arega,6
Aregash,4
Arkebe,14
Asaminew,14
Asaye,4
Aschalew,4
Asefa,38
Asefaw,12
Asemamaw,4
Asfaw,12
Ashami,18
Ashebir,6
Ashemi,18
Ashenafi,4
Asirat,4
Asmare,6
Asmelash,4
Asnake,4
Asrat,16
Asres,6
Assefa,42
Ateka,4
Atnaf,4
Atnafu,12
Atske-Selassie,6
Aweke,10
Awel,12
Awoke,8
Ayalew,26
Ayana,8
Ayele,16
Ayenew,6
Ayike,4
Bacha,4
Bahiru,4
Bailu,4
Barnabas,10
Bashir,4
Bazezew,4
Bedanie,4
Bedilu,4
Bedru,12
Befekadu,10
Bekele,34
Beker,4
Belachew,12
Belay,20
Belayneh,4
Belete,16
Berecha,4
Bereket,12
Berhan,18
Berhane,46
Berhane-Meskel,4
Berhanu,50
Berhe,10
Berihu,6
Berihun,4
Beshah,4
Besher,4
Beshir,12
Beyene,28
Bezabih,6
Bezu,6
Bilata,6
Binalf,4
Biratu,4
Birhan,8
Birhane,8
Birhanu,40
Birru,4
Biru,12
Biruk,4
Bithow,4
Bizuneh,4
Bizuye,4
Boba,4
Bogale,14
Boru,8
Brook,8
Bruno,4
Bulcha,6
Chane,4
Chanyalew,4
Chemo,6
Chernet,4
Chibsa,4
Chuna,6
Daba,10
Dagnew,8
Dale,4
Danial,6
Daniel,22
Daoud,6
Daud,8
Dawd,4
Dawid,4
Dawit,18
Dawud,12
Debretsion,14
Dechasa,8
Deeq,4
Degefe,10
Degfe,6
Degife,6
Degu,10
Dejene,10
Dek,4
Deke-Shekabdi,6
Delamo,6
Demeke,14
Demelash,4
Demese,4
Demis,12
Demisie,16
Demiss,12
Demisse,6
Demoze,4
Dereje,26
Deresa,4
Derfata,8
Dese,4
Desse,4
Dessie,10
Desta,32
Dibaba,4
Dilamo,4
Dinberru,4
Dinka,4
Dinkecha,4
Dolal,4
Ebabu,6
Ebrahim,4
Ejeta,4
Ejigu,8
Elias,16
Endale,10
Endalkachew,6
Endawek,4
Endeshaw,6
Endris,4
Eneway,4
Enwey,4
Ephrem,8
Erchafo,4
Eristu,4
Ermias,6
Esayas,10
Eshete,10
Eshetu,18
Eskinder,4
Essayas,10
Ewenetu,6
Eyasu,12
Fakade,6
Fanta,4
Fantaye,6
Farah,6
Fekadesillassie,8
Fekadu,14
Feleke,10
Feseha,4
Fesika,4
Fesseha,8
Feyisa,6
Fikadu,6
Fikre-Selassie,4
Fikresilassie,4
Fikru,12
Firde,4
Firehiwot,8
Firew,4
Fireweyne,4
Fiseha,10
Fisseha,12
Fitsum,18
Fre,4
Frehiwot,12
Fuad,6
Gatluak,6
Gebeyaw,8
Gebeyehu,4
Gebre,12
Gebre-Ab,12
Gebre-Egziabher,8
Gebre-Kiristos,4
Gebre-Kristos,4
Gebre-Mariam,12
Gebre-Medhen,4
Gebre-Medhin,8
Gebre-Silasie,4
Gebre-Silassie,4
Gebre-Yesus,4
Gebreab,4
Gebreegziabher,4
Gebregziabher,4
Gebrekidan,4
Gebremariam,4
Gebremedhen,4
Gebremedhin,4
Gebremeskel,4
Gebremichael,10
Gebreselassie,6
Gebresilassie,4
Gebreyesus,4
Gebru,8
Geda,4
Geddu,4
Gedion,6
Geleta,4
Gemechu,6
Gemeda,6
Gemedo,10
Genda,4
Geremew,14
Gesese,8
Gessi,8
Getachew,90
Getahun,32
Getinet,4
Getnet,8
Getu,8
Gidey,4
Giduma,4
Girma,68
Girmay,6
Gizachew,4
Gizaw,10
Gneregie,4
Gobena,10
Gobezie,4
Godana,6
Gosaye,4
Gubena,6
Gudeta,4
Guesh,8
Gulelat,4
Guta,4
Habtamu,20
Habtom,6
Hadera,6
Hadgu,6
Hadush,6
Hagos,4
Hailay,6
Haile,18
Haile-Gebriel,4
Haile-Kiros,10
Haile-Mariam,4
Haile-Meskel,4
Haile-Michael,8
HaileMichael,4
Hailegebriel,4
Haileiyesus,4
Hailekiros,6
Hailemariam,12
Haileselassie,6
Hailesilase,4
Haileyesus,4
Hailu,48
Halefom,4
Hamid,4
Haroye,4
Helawi,4
Henok,8
Hilawe,6
Hirut,4
Hlawi,4
Hordofa,8
Hunegnaw,4
Jarso,6
Jawar,4
Jember,8
Jilal,4
Jilo,4
Jula,4
Jundi,6
Juneydi,8
Kaba,16
Kadafo,10
Kadir,4
Kafiyalew,4
Kahase,4
Kaidaki,4
Kalid,4
Kasahun,12
Kasaye,4
Kassa,24
Kassahun,30
Kassaye,6
Kassim,6
Kassu,20
Kasu,16
Kaydaki,4
Kebede,46
Keder,8
Kedir,18
Kefale,4
Kefelgn,8
Kefeni,4
Kefyalew,8
Keis,4
Kejela,4
Kelil,6
Keno,4
Kerekurat,4
Kesete-Berhan,4
Keseteberhan,4
Ketema,8
Kibret,6
Kibrom,8
Kibru,4
Kidane,6
Kidane-Mariam,4
Kifle,10
Kindu,4
Kinfe,4
Kinfu,4
Kiros,10
Koang,8
Konbido,4
Kong,6
Kuma,16
Kuratkere,4
Lake,6
Lakew,4
Layne,4
Legese,10
Legesse,14
Lema,8
Lemesa,4
Lemlem,4
Lemma,26
Lencho,6
Lisane-Christos,4
Maeregu,8
Makonnen,4
Mamo,20
Mandefro,4
Mangasha,4
Markos,4
Matheos,6
Mazengiya,6
Mealin,4
Mear,4
Mebratu,6
Mebrhatu,4
Mechale,4
Mehadi,4
Meheret,4
Mekete,6
Mekonen,8
Mekonnen,28
Mekuria,8
Mekuriya,6
Melaku,28
Meles,12
Melese,8
Melkamu,10
Mengesha,18
Mengistab,6
Mengistu,20
Merasa,4
Merga,4
Mesay,4
Meseret,22
Mesfin,62
Mesifin,6
Messay,4
Metasebia,10
Metiku,4
Meuar,4
Mihereteab,4
Mihretab,4
Mikael,6
Minale,6
Minelik,4
Misganaw,4
Misganu,6
Misrak,4
Mitiku,14
Mo'iibul,4
Moges,14
Mogus,4
Motuma,4
Mufti,4
Mulu,6
Mulugeta,48
Muluken,4
Muluneh,6
Nabil,6
Nakachew,6
Nebil,10
Nebiyu,4
Nebyou,4
Nega,22
Negalign,4
Negash,22
Negaso,6
Negasso,4
Negera,4
Negese,4
Negussie,4
Negussu,4
Nibert,6
Nibret,4
Nigatu,8
Niguse,6
Nigusie,8
Nigussie,6
Nuru,4
Obang,4
Ojulu,8
Okello,8
Olero,4
Omot,4
Paulos,8
Peter,10
Petros,8
Regasa,6
Regassa,4
Reta,4
Retta,4
Roba,4
