name,frequency
Ababuliga,8
Abachebsa-Abajobir,4
Abafita,4
Abafoni,4
Abarago-Abakabe,4
Abasimel,4
Abate,26
Abate-Gebre-Hana,8
Abate-Gebrehana,4
Abate-Meshesh,4
Abate-Meshesha,4
Abay,6
Abdela,4
Abdella,6
Abdi,24
Abdisa,6
Abdisalam,4
Abdissa,4
Abdosh,6
Abdou,6
Abdoush-Bakere,4
Abeba,4
Abebaw-Shiferaw,4
Abebe,32
Abera,40
Abera-Afework,6
Abera-Buta,4
Aberra-Afework,6
Abesha,4
Abetew,4
Abeze,4
Abiy,10
Abiyu,6
Abraha,24
Abraha-Wolde-Mariam,4
Abraham,12
Abrahim,4
Abreha,26
Abreham,6
Abrha,4
Abriha,6
Adaro-Wolde-Michael,4
Addis-Mengistu,4
Adelo,4
Adem,14
Adem-Ahmed,4
Aden,8
Adhanom,4
Admassu,18
Admasu,22
Adugna,6
Afeta,4
Akalu,4
Akibo,4
Al-Amoudi,32
Al-Bakhti,4
Alebachew-Awidew,4
Alem,6
Alemayahu,4
Alemayehu,24
Alemseged,4
Alemu,26
Alemu-Wisbo,4
Alkhedir,4
Almaz,4
Alye,6
Ambaye,4
Ambaye-Gebre-Mariam,4
Ambula,4
Amde,6
Amha,4
Amin-Jamal,4
Amsaya,4
Andargachew,4
Andualem,4
Anebo,4
Ango,4
Arba,4
Arega,14
Arga,4
Argaw,8
Asaminew,4
Asefa,26
Asefa-Abriha,4
Asfaw,20
Asgedom,4
Ashenafi,6
Asmamaw,6
Asnake,4
Asrat,6
Asres,4
Assefa,34
Assefa-Gebre-Mariam,4
Assefa-Mengistu,4
Assfa-Mengistu,4
Assfaw,4
Atachew,6
Atom,4
Atomsa,6
Awal,4
Aweke,6
Awel,4
Awol,4
Ayalew,18
Ayele,20
Ayenew,6
Badane,4
Bade,4
Bahre,4
Bakhti,4
Balcha,12
Balema-Abay,4
Balicha,4
Baramo,4
Barata,4
Barnabas,4
Baro-Chermalu,4
Bashe,4
Batebo,4
Bati,4
Bawd,4
Baye,4
Bayu,4
Bazezew,4
Bedanie,4
Bedasol,4
Bede,4
Bedi,4
Bedri,10
Bekele,40
Bekele-Senbet,4
Belachew,6
Belay,26
Berhan,8
Berhane,24
Berhe,6
Berihun,4
Berihun-Gebre-Michael,4
Beshir,6
Beyene,24
Beyene-Shufo,4
Biazen,4
Bin-Al-Sheikh-Abdullah,4
Biranas,4
Birhan,4
Birhane,8
Birru,4
Biru,8
Bitew,10
Bizunesh,4
Bogale,6
Bonsa,6
Borena,4
Buh,4
Bula,8
BulaWakjera,4
Bulti,4
Buwayalew,4
Buya-Chunna,4
Chafo,4
Chaka,4
Chala,10
Chalchisa,4
Chayed,6
Chefa,4
Chefo,6
Daba,6
Dabo,4
Dabulo,4
Dagnachew,4
Dagnaw,4
Dagnew,8
Dalke,4
Damte,4
Damte-Nguse,4
Damtew,8
Dana,4
Dawit,4
Debebe,12
Debebe-Wolde-Mariam,4
Debela,8
Dedefo-Washe,4
Dedefo-Woshe,4
Delke,4
Demeke,4
Demeksa,6
Demekssa,4
Demisse-Tulu,4
Demissie,14
Dender,4
Dendir,4
Dereje,4
Deresa,4
Deressa,12
Derir-Ghedi,8
Dessie,8
Desta,42
Desta-Tewolde,4
Dilgaba-Haile-Nuri,4
Dingam-Kame,4
Dingamo-Kame,4
Dinka-Yadessa,4
Dirbissa,4
Dirir-Ghedi,8
Drir-Ghedi,8
Dutiso-Wotele,4
Ebrahim,4
Ejigu,6
Ejigu-Inki,6
Elias,6
Embabo-Yirga,6
Eshete,6
Eshetu,12
Eyasu,4
Fekade-Wolde-Kidan,4
Fekadeneh,4
Fekadu,4
Feleke,4
Feleke-Muse,4
Fenta,4
Fentahun-Misiker,4
Fente,4
Fetene,4
Feyisa,4
Fikre-Selassie,8
Fiseha,10
Fisseha,8
Fitsum,4
Fola,6
Galgalo-Boru,4
Garno,4
Gass,4
Gebere-Mariam,4
Gebere-Mariam-Tesfay,4
Gebeyehu,18
Gebeyehu-Negewo,4
Gebre,8
Gebre-Ab,4
Gebre-Amlak,6
Gebre-Christos,8
Gebre-Egzabhair,4
Gebre-Egzabher-Gebre-Hiwot,4
Gebre-Egziabher,14
Gebre-Gingle,4
Gebre-Hana,6
Gebre-Hana-Mulesa,4
Gebre-Hiwet-Zenebe,4
Gebre-Hiwot,4
Gebre-Hiwot-Engda,4
Gebre-Kidan,4
Gebre-Kristos,10
Gebre-Mariam,10
Gebre-Mariam-Daniso,4
Gebre-Mariam-Temesgen,4
Gebre-Mariam-Tesfay,4
Gebre-Medhin,10
Gebre-Medhin-Shiferaw,4
Gebre-Medhine,4
Gebre-Meskel,4
Gebre-Michael,8
Gebre-Mikael,4
Gebre-Selassie,10
Gebre-Selassie-Meshesha,6
Gebre-Shewagerem,10
Gebre-Silasie-Tasu,4
Gebre-Silassie-Atachew,4
Gebre-Tekle-Gebre-Mickael,4
Gebre-Tensae,4
Gebre-Tensai-Belaye,4
Gebre-Tensay,4
Gebre-Tensaye,4
Gebre-Tsadik,4
Gebre-Yohannes,14
Gebre-Yohannes-Tedla,4
Gebreab,4
Gebreegziabher,6
Gebreghiorghis,4
Gebregziabher,20
Gebrehana,4
Gebrehiwet,4
Gebrehiwot,24
Gebrehiwot-Abera,4
Gebrekirstos,4
Gebremariam,18
Gebremariam-Daniso,4
Gebremedhin,16
Gebremeskel,6
Gebremichael,10
Gebremikael,4
Gebreselassie,12
Gebresilasie,4
Gebreyesus,4
Gebreyohannes,6
Gebreyohannes-Tedla,6
Gebrezigi,4
Gebru,8
Geda,6
Geda-Jilo,4
Gelalcha,4
Gelaw,4
Gemechu,8
Gemeda,10
Genet,6
Genezebu,4
Gesese-Tedla,6
Gessese,6
Gessesse,4
Getachew,32
Getahun,4
Getnet,10
Getnet-Amera,4
Gettu,4
Getu,6
Gezahegn,12
Gezahegn-Gebre-Michael,4
Gezahegn-Gebre-Mikael,4
Ghebreghiorghis,4
Ghedi,6
Giakoumelos,6
Gidada,18
Gidey,4
Gire,4
Girema,4
Girma,34
Girmai,4
Girmay,8
Gizaw,16
Gnegelo,4
Gobena,8
Godana,6
Godana-Jibo,4
Gofe,4
Gola,4
Gosa,4
Goshu,4
Gudeta,4
Gudeta-Chebsa,6
Guntie,6
Guta,6
Gutema,4
Habtu,4
Hafteselassie-Woldesilassie,4
Hagos,16
Haile,38
Haile-Maraim,6
Haile-Mariam,24
Haile-Mariam-Gudeta,4
Haile-Selasie,4
Haile-Teklemariam,4
Haile-Wubie,4
Hailemariam,38
Hailemichael,6
Hailu,24
Hanfare,12
Hanfari,4
Hanfre,4
Hiruy,6
Hordofa,6
Huluka,4
Hunde,4
Ibsa,4
Ibsaa,6
Idris,12
Idriss,8
Ilala,8
Illala,8
Jemaneh,6
Jillo,4
Jilo,4
Jundi,4
Kahsai,4
Kasa,4
Kasaw,4
Kassa,50
Kassu,4
Kebede,42
Kebede-Engda,6
Kebede-Kassa,8
Kedir,14
Kefale,6
Kefyalew,4
Keleta,4
Kesito,4
Ketsela,4
Kibret,4
Kidane,6
Kidane-Mariam,6
Kidanemariam,8
Kifle,6
Kiflu,10
Kinde,4
Kiros,8
Kondal,4
Kuma,8
Kume,4
Kusiya-Kalala,4
Lailemo,4
Laimo-Wolde-Micheal,4
Lakew,8
Lakew-Haji,4
Latute,4
Legese,6
Legesse,12
Lema,6
Lemma,18
Letiso-Gidebo,4
Mada,4
Mahamad-Ali,6
Mahari,4
Mahari-Yohannes,4
Malede,4
Malla,4
Mammo,10
Mamo,28
Mandefro,8
Manyazewal,6
Mariam,10
Maru,6
Medhin,4
Megersa,6
Mehari,10
Mehari-Medhin,4
Mehari-Yohannes,4
Mekonen,6
Mekonnen,32
Mekoya-Tekle-Selasse,4
Mekoya-Tekle-Silase,4
Mekuria,20
Mekuryia,6
Melaku,10
Meleku,6
Meles,10
Melese,8
Melese-Alemu,4
Melesse,6
Melku-Belete,4
Menbacho,6
Mengesha,16
Mengesha-Gebre-Yohannes,4
Mengiste,8
Mengistu,20
Merdasa,4
Merdasa-Gnapa,4
Mersha,4
Meseret,4
Mesfin,6
Mesfin-Gebre-Hiwot,6
Mesfin-Gebrehiwot,4
Meshesh,4
Meshesha,4
Mesret,4
Mihretu,6
Misganu,6
Mitiku,8
Molla,4
Moti,6
