name,frequency
Absalon,10
Arni,9
Bardur,11
Birgir,11
Bjarni,9
Bogi,10
Bárður,8
Christian,8
Daniel,6
Danjal,8
Dánjal,6
Eli,7
Eydun,7
Eystein,8
Eyðun,6
Frodi,6
Gullak,10
Gunnar,9
Hakun,6
Hans,26
Hanus,8
Hedin,8
Heini,7
Hendrik,12
Heðin,6
Hoegni,6
Hogni,6
Høgni,6
Jacob,9
Jakup,17
Jan,14
Janus,8
Jens,20
Joan,6
Joen,6
Jogvan,29
Johan,21
John,12
Jákup,15
Jóan,6
Jógvan,27
Jóhan,10
Kari,7
Karl,9
Kristian,14
Kristin,6
Kári,6
Marni,6
Martin,18
Mikkjal,12
Niels,17
Olavur,9
Oli,8
Oluf,8
Pall,12
Pauli,24
Peter,11
Petur,29
Poul,12
Páll,11
Roi,6
Runi,6
Rúni,6
Samal,11
Samson,6
Simun,7
Sámal,9
Tummas,12
Ólavur,8
Óli,7
