name,frequency
Aila,18
Aili,45
Aini,6
Aino,85
Aino-Kaisa,8
Aino-Maria,6
Aira,13
Airi,32
Alexandra,10
Alice,10
Alise,6
Alli,14
Alma,8
Amalia,7
Amanda,10
Ana,7
Anita,35
Anja,47
Ann-Mari,14
Anna,164
Anna-Kaisa,6
Anna-Katri,7
Anna-Kristina,6
Anna-Leena,38
Anna-Liisa,89
Anna-Lisa,12
Anna-Maija,55
Anna-Mari,12
Anna-Maria,10
Anna-Saara,6
Anne,78
Anne-Marie,6
Anneli,150
Annette,7
Anni,64
Anniina,8
Annika,31
Annikki,83
Annu,6
Annukka,7
Ansa,6
Anu,63
Arja,35
Armi,9
Asta,11
Auli,9
Aulikki,19
Aune,41
Aune-Marjatta,11
Barbro,8
Bertta,6
Birgitta,29
Brita,11
Camilla,18
Carita,14
Carola,17
Caroline,8
Cecilia,16
Charlotte,6
Christel,11
Christina,29
Christina-Elisabeth,6
Christine,6
Christine-Elisabet,6
Diana,6
Ebba,9
Eeva,86
Eeva-Kaisa,10
Eeva-Liisa,24
Eeva-Maija,6
Eeva-Maria,6
Eeva-Riitta,8
Eevakaisa,6
Eija,51
Eila,35
Eine,14
Eira,7
Elena,6
Eliisa,15
Elina,156
Elisa,23
Elisabet,34
Elisabeth,38
Elise,7
Elizabeth,6
Ella,10
Ella-Miina,6
Ellen,16
Elli,35
Elma,9
Elsa,34
Else,7
Else-Maj,8
Elvi,14
Emilia,35
Emilie,7
Emma,15
Emmi,7
Erika,18
Erja,8
Essi,23
Ester,10
Esteri,17
Eva,38
Eva-Lotte,6
Eve,9
Eveliina,19
Fanny,11
Fanny-Lydia,6
Gerd,7
Greta,14
Gun-May,6
Gunnel,8
Gunvor,6
Hanna,83
Hanna-Kaisa,6
Hanna-Leena,9
Hanna-Maaria,6
Hanna-Mari,16
Hannele,85
Harriet,7
Heidi,30
Heini,9
Heleena,7
Helena,180
Helene,10
Helga,10
Heli,43
Helina,9
Helinae,6
Helinä,8
Helle,6
Helli,7
Hellin,10
Helmi,47
Helvi,30
Henna,20
Henriette,8
Henriikka,15
Henrika,6
Heta,19
Hilda,12
Hilja,17
Hilkka,56
Hilla,6
Hillevi,6
Hilma,12
Ida,32
Iida,14
Iiris,11
Ilona,35
Impi,13
Ina-Maija,6
Inari,8
Inger,12
Inka,13
Inka-Elina,6
Inkeri,77
Irene,28
Irina,6
Iris,9
Irja,52
Irja-Liisa,8
Irma,33
Irmeli,45
Jaana,53
Jenni,28
Jenny,13
Johanna,237
Jonna,6
Julia,18
Jutta,11
Juulia,6
Kaarina,107
Kaija,37
Kaisa,73
Kaisa-Leena,6
Kaisu,14
Karen,6
Karin,8
Karoliina,37
Katariina,72
Katarina,17
Kati,40
Katja,50
Katri,43
Katriina,33
Kerstin,17
Kerttu,45
Kirsi,37
Kirsi-Marja,16
Kirsti,66
Krista,10
Kristiina,87
Kristina,15
Kyllikki,52
Lahja,12
Laila,12
Laina,7
Laura,110
Lea,31
Lea-Elina,6
Leea,6
Leena,117
Leila,25
Lempi,13
Lena,6
Liisa,131
Lilla,6
Linda,15
Linnea,38
Lisa,6
Lisbeth,16
Lotta,32
Lyyli,11
Maaret,12
Maaria,10
Maarit,86
Maarit-Elisa,6
Maija,65
Maija-Leena,10
Maija-Liisa,48
Maiju,6
Maila,11
Maire,10
Maisa,10
Maj-Gret,8
Maj-Len,6
Malin,10
Margareta,34
Margaretha,6
Margit,9
Margreta,6
Mari,54
Maria,242
Maria-Riitta,6
Marianna,10
Marianne,41
Marie,11
Marika,17
Marina,15
Marita,36
Maritta,12
Marja,90
Marja-Kristiina,6
Marja-Leena,41
Marja-Leena-Kaarina,6
Marja-Liisa,33
Marja-Riitta,10
Marja-Terttu,14
Marjaana,21
Marjatta,151
Marjo,30
Marjo-Riitta,6
Marjukka,16
Marjut,16
Marketta,33
Marlene,7
Martina,13
Martta,27
Matilda,7
May-Len,6
Meeri,15
Meri,22
Merja,48
Mervi,11
Mia,22
Miia,15
Mikaela,14
Milja,7
Milka,6
Milla,12
Minerva,7
Minna,73
Minna-Maaria,6
Minni,6
Minttu,7
Mirja,42
Mirjam,25
Mirjami,25
Mirva,6
Monica,11
Natalia,6
Nea-Maria,6
Niina,27
Nina,46
Nita,6
Noora,23
Nora,12
Olga,17
Onerva,10
Orvokki,31
Outi,42
Paeivi,78
Paeivikki,8
Paivi,79
Paivikki,10
Paula,63
Pauliina,49
Pernilla,7
Petra,20
Pia,45
Pia-Mari,7
Piia,17
Pirita,8
Pirjo,67
Pirkko,85
Pirkko-Liisa,23
Päivi,71
Päivikki,9
Rachel,6
Raija,34
Raija-Liisa,8
Raili,32
Raisa,6
Rakel,6
Rauha,26
Rauha-Leena,6
Rauha-Maria,6
Reeta,9
Reetta,6
Regina,11
Reija,12
Riikka,53
Riina,10
Riitta,96
Riitta-Liisa,14
Riitta-Marjatta,6
Ritva,55
Ritva-Liisa,6
Ronja,8
Roosa,9
Rosa,14
Ruxandra,6
Saana,10
Saara,56
Saga,11
Saija,11
Saija-Liisa,6
Saimi,13
Salla,17
Salme,9
Sanna,49
Sanni,15
Sara,42
Sari,57
Satu,78
Satu-Marja,11
Seija,33
Signe,7
Siiri,14
Silja,19
Sini,6
Sinikka,82
Sirkka,68
Sirkka-Liisa,25
Sirkku,10
Sirpa,43
Sisko,33
Sissi-Hilkka,6
Sofia,47
Soile,7
Soili,16
Solveig,6
Sonja,23
Sophie-Caroline,6
Stina,10
Suoma,6
Susanna,61
Susanne,11
Suvi,41
Sylvi,24
Sylvia,13
Taimi,19
Taina,14
Tanja,16
Tarja,52
Taru,28
Teija,22
Tellervo,40
Terhi,24
Terttu,35
Tiina,96
Tina,7
Toini,31
Tua,7
Tuija,46
Tuire,9
Tuula,87
Tuulevi,6
Tuuli,16
Tuulia,15
Tuulikki,62
Tytti,21
Tyyne,18
Ulla,68
Ulla-Liisa,6
Ulla-Maarit,12
Ulla-Maija,22
Ulla-Maj,6
Ulpu,7
Vappu,13
Veera,12
Venla,17
Vera,7
Veronica,9
Victoria,6
Vieno,11
Vilhelmiina,6
Vilma,8
Viola,7
Virpi,15
Virve,13
Vuokko,14
Yasemin,8
