name,frequency
Aake,8
Aapeli,9
Aapo,9
Aarne,24
Aarno,12
Aaro,19
Aarre,11
Aatos,21
Adrian,6
Ahti,11
Aimo,23
Ake,8
Aki,16
Akseli,22
Alarik,7
Albert,9
Aleksanteri,9
Aleksi,46
Alexander,24
Allan,23
Alpo,12
Alvar,16
Anders,37
Andreas,9
Annika,6
Anssi,19
Antero,157
Anton,12
Antti,218
Ari,78
Armas,46
Arne,9
Arto,51
Arttu,10
Artturi,21
Arvi,16
Arvo,39
Asko,14
Atte,18
August,9
Aukusti,9
Aulis,28
Axel,15
Ben,6
Bengt,17
Birger,10
Bjarne,9
Bo,8
Bruno,6
Carl,12
Carl-August,12
Carl-Erik,12
Carl-Johan,6
Christer,13
Christian,29
Christoffer,6
Curt,6
Dan,10
Daniel,12
David,6
Edvard,20
Edvin,12
Eemeli,32
Eemil,8
Eerik,7
Eero,126
Einari,10
Eino,62
Elias,36
Elis,9
Eljas,8
Elliot,6
Emil,31
Ensio,51
Eric,6
Erik,63
Erkka,6
Erkki,138
Erkki-Antero,6
Erkki-Emanuel,8
Erkki-Juhani,6
Erno,6
Ernst,7
Esa,47
Esko,69
Esko-Juhani,6
Evert,8
Felix,8
Frans,26
Fredrik,29
Gar-Lun,6
Georg,6
Goeran,7
Goran,7
Gunnar,27
Gustaf,24
Gustav,13
Göran,6
Haakan,9
Hakan,9
Hannes,20
Hannu,116
Hans,15
Harald,8
Harri,87
Harri-Pekka,6
Harry,12
Heikki,157
Heikki-Juhani,7
Heimo,10
Helge,10
Henri,25
Henrik,74
Henrikki,6
Henry,9
Herman,14
Hermanni,11
Holger,14
Hugo,13
Håkan,7
Iiro,11
Iisakki,10
Ilari,27
Ilkka,92
Ilkka-Christian,6
Ilkka-Pekka,6
Ilmari,132
Ilpo,11
Ismo,18
Jaakko,99
Jaakko-Johannes,7
Jaakko-Juhani,6
Jalmari,21
Jalo,8
Jan,41
Jan-Erik,16
Jan-Tore,6
Jani,45
Janne,100
Janne-Heikki,6
Jari,90
Jarkko,20
Jarmo,46
Jarno,9
Jesse,7
Jetro,7
Joakim,7
Joel,18
Johan,88
Johannes,212
John,19
Johnny,11
Jonas,12
Joni,19
Joni-Petteri,6
Joona,13
Joonas,23
Jorma,75
Jouko,40
Jouni,49
Juha,193
Juha-Erkki,6
Juha-Matti,8
Juha-Pekka,32
Juhana,12
Juhani,373
Juho,61
Jukka,161
Julius,18
Jussi,112
Juuso,30
Jyri,21
Jyrki,43
Jyry-Jussi,6
Kaarlo,37
Kai,25
Kaj,12
Kaj-Ole,6
Kaj-Rafael,6
Kalervo,61
Kaleva,21
Kalevi,115
Kalle,66
Kari,138
Kari-Pekka,12
Karl,35
Karl-Johan,8
Karl-Stefan,6
Karri,8
Kasperi,7
Kauko,34
Keijo,25
Kenneth,11
Kim,22
Kimmo,55
Klaus,14
Krister,6
Kristian,44
Kuisma,6
Kullervo,17
Kurt,6
Kustaa,9
Kyoesti,6
Kyosti,8
Kyösti,8
Lari,7
Lars,33
Lars-Erik,8
Lasse,38
Lassi,13
Lauri,136
Lauri-Sakari,6
Leif,15
Lennart,9
Leo,28
Marco,11
Marcus,13
Markku,113
Marko,52
Markus,82
Martin,13
Martti,107
Matias,66
Mats,19
Matti,251
Matts,7
Mauno,11
Maunu,6
Mauri,33
Max,14
Maximilian,6
Michael,11
Miika,20
Miikka,13
Mika,86
Mikael,120
Mikael-Benedict,6
Mikko,191
Miska,6
Niilo,34
Niklas,15
Niko,16
Nils,8
Nuutti,6
Oiva,20
Olavi,234
Ole,7
Olli,79
Olli-Matti,6
Olli-Pekka,14
Onni,28
Orvokki,6
Oscar,7
Oskar,7
Oskari,37
Osmo,28
Ossi,18
Otava,6
Otso,14
Otso-Antero,6
Otto,37
Paavo,63
Paeivioe,7
Paivio,8
Panu,11
Pasi,51
Patrick,8
Patrik,10
Pauli,44
Pekka,257
Pellervo,12
Pentti,101
Per,13
Per-Arne,7
Per-Erik,6
Pertti,56
Perttu,13
Peter,51
Petri,101
Petrus,6
Petter,6
Petteri,100
Pietari,9
Pyry,6
Pyry-Jukka,6
Päiviö,7
Rafael,10
Raimo,33
Rainer,9
Ralf,15
Rami,12
Rasmus,8
Rauli,6
Rauno,17
Regis,6
Reijo,38
Reino,41
Richard,9
Rikhard,7
Riku,15
Risto,70
Risto-Matias,6
Risto-Matti,6
Robert,19
Robin,6
Roger,11
Rolf,25
Roni,8
Roope,8
Rudolf,12
Sakari,96
Saku,9
Sami,44
Sampo,22
Samu,6
Samuel,16
Samuli,41
Santeri,20
Sasu-Petri,6
Satu,6
Sauli,18
Sebastian,15
Seppo,79
Severi,6
Simo,51
Simon,10
Staffan,7
Stefan,16
Stig,14
Sulo,11
Sven,13
Taisto,9
Taneli,15
Tapani,177
Tapio,178
Tarmo,12
Tatu,15
Tauno,27
Teemu,44
Teppo,13
Tero,34
Teuvo,15
Thomas,15
Thomas-Anders-Wilhelm,6
Timo,204
Timo-Pekka,6
Tino,8
Toivo,58
Tom,25
Tomi,35
Tommi,23
Toni,14
Tony,11
Topi,12
Topias,8
Tor-Eric,6
Touko,12
Tuomas,113
Tuomo,39
Tuukka,8
Tuula,6
Ulf,7
Unto,17
Uolevi,21
Urho,7
Urpo,10
Uuno,15
Vaeinoe,37
Vaino,42
Valto,9
Valtteri,17
Veijo,27
Veikko,94
Veli,35
Veli-Matti,20
Veli-Pekka,15
Veli-Pekka-Kalervo,6
Vesa,57
Vihtori,9
Viktor,11
Vilhelm,12
Vilho,30
Viljami,8
Viljo,31
Ville,70
Väinö,42
Walter,6
Wille,7
William,13
Yrjo,54
Yrjoe,53
Yrjö,52
Åke,8
