name,frequency
Aakerholm,8
Aalto,34
Aaltonen,18
Achren,7
Achrén,6
Adlercreutz,9
Af-Bjoerkesten,10
Af-Bjorkesten,11
Af-Björkesten,9
Af-Schulten,9
Af-Schultén,7
Agger,6
Ahde,13
Aho,30
Ahola,12
Ahonen,15
Aikio,15
Ailasmaa,6
Aittoniemi,8
Akerholm,8
Ala-Nissila,14
Ala-Nissilae,14
Ala-Nissilä,14
Alamaeki,7
Alamaki,7
Alanko,8
Alasjaervi,6
Alasjarvi,7
Alasjärvi,7
Alatalo,18
Alho,17
Ali-Melkkila,6
Ali-Melkkilae,6
Allen,6
Allonen,8
Andersson,43
Antila,24
Anttila,21
Arhippainen,8
Arle,6
Arponen,9
Arvela,8
Asell,6
Asunta,7
Aurasmaa,9
Autio,10
Backman,13
Baerlund,11
Barlund,11
Barrington,18
Berg,6
Berner,19
Bertills,6
Bjoerklund,13
Bjoerkstrand,6
Bjorklund,13
Bjorkstrand,6
Björklund,11
Blomberg,7
Blomqvist,15
Brax,9
Bremer,6
Brotherus,13
Bryggare,7
Bygglin,6
Bärlund,9
Cantell,9
Castren,6
Creutz,6
Donner,13
Dromberg,7
Eestila,8
Eestilae,8
Eestilä,8
Ekdahl,6
Eklund,10
Eliasson,9
Elo,14
Eloranta,13
Enestam,9
Engberg,8
Eriksson,18
Erola,6
Eskelinen,11
Esko,9
Eskola,13
Fagernaes,14
Fagernas,14
Fagernäs,13
Forsius,6
Forss,11
Gardin,7
Gestrin,7
Granholm,6
Granskog,6
Granvik,20
Gube,7
Gustafsson,20
Haaoey,6
Haapanen,8
Haapasalo,7
Haavisto,9
Haeggblom,14
Haegglund,14
Haeikioe,8
Haekaemies,12
Haekkinen,17
Haemaelaeinen,35
Haenninen,17
Haerkoenen,6
Haermaelae,7
Haeyhae,8
Haggblom,14
Hagglund,14
Haglund,8
Hagman,9
Haikio,8
Hakala,10
Hakamies,12
Hakanen,8
Hakkanen,6
Hakkarainen,16
Hakkinen,17
Hakola,7
Halinen,6
Halla-Aho,9
Halla-aho,10
Halme,11
Halonen,26
Hamalainen,36
Hamilo,6
Hamilton,11
Hannikainen,11
Hanninen,17
Haoy,6
Harju,8
Harjuniemi,11
Harkimo,12
Harkonen,6
Harmala,7
Hassi,8
Hautala,15
Hautojaervi,7
Hautojarvi,7
Hautojärvi,6
Havu,9
Hayha,9
Heikka,6
Heikkila,27
Heikkilae,25
Heikkilä,18
Heikkinen,29
Heinaeluoma,8
Heinaluoma,8
Heinonen,39
Heinäluoma,7
Heiskanen,18
Helander,10
Helle,9
Hellman,7
Hellsten,10
Hellstén,7
Helminen,8
Hemmila,12
Hemmilae,12
Hemmilä,12
Hemming,10
Henriksson,17
Hetemaeki,15
Hetemaki,15
Hetemäki,13
Hiden,9
Hidén,9
Hienonen,6
Hietala,6
Hietanen,6
Hiipakka,6
Hiironniemi,7
Hilli,7
Hiltunen,29
Hiltunen-Toivio,6
Himanen,11
Hirn,9
Hirvela,10
Hirvelae,10
Hirvelä,8
Hirvi,11
Hirviniemi,9
Hirvonen,9
Hoeglund,6
Hoegman,8
Hoglund,6
Hogman,8
Holkeri,7
Hollo,8
Holmaeng,6
Holmang,6
Holmlund,6
Holmstroem,15
Holmstrom,15
Holmström,13
Holmäng,6
Holopainen,7
Hongisto,6
Honkamaa,9
Honkapohja,7
Honkasalo,9
Huber,7
Huhta,6
Huhtaniemi,7
Huittinen,11
Hulkko,6
Huotari,15
Huovinen,14
Hurtig,8
Huttunen,13
Huuhtanen,7
Huutola,8
Hynninen,7
Hyoetynen,6
Hyotynen,6
Hyttinen,7
Hyvaerinen,10
Hyvarinen,10
Hyvärinen,7
Häggblom,13
Hägglund,11
Häikiö,8
Häkkinen,16
Häkkänen,6
Häkämies,11
Hämäläinen,29
Hänninen,14
Härmälä,7
Häyhä,9
Håøy,6
Höglund,6
Högman,8
Ignatius,6
Ihalainen,13
Ihamaeki,6
Ihamaki,6
Ihamäki,6
Ikaeheimo,6
Ikaheimo,6
Immonen,16
Itaelae,7
Itala,7
Itälä,7
Jaaskelainen,27
Jaaskinen,8
Jaeaeskelaeinen,27
Jaeaeskinen,8
Jaeppinen,6
Jaervelae,7
Jaervenpaeae,16
Jaerventaus,9
Jaervi,10
Jaervinen,32
Jalkanen,10
Jalonen,21
Jansson,17
Jappinen,6
Jarvela,8
Jarvenpaa,16
Jarventaus,9
Jarvi,10
Jarvinen,32
Johansson,9
Jokela,6
Jokinen,27
Jolkkonen,17
Jordan,8
Juhantalo,14
Jungner,9
Juurikkala,13
Juurola,8
Juusti,7
Jäppinen,6
Järvenpää,14
Järventaus,9
Järvi,10
Järvinen,27
Jääskeläinen,24
Jääskinen,7
Kaariainen,17
Kaeaeriaeinen,17
Kaehkoenen,10
Kaerkkaeinen,20
Kahiluoto,16
Kahkonen,10
Kaikkonen,7
Kairamo,8
Kaisamatti,7
Kalela,6
Kallasvuo,7
Kalli,13
Kalliala,6
Kallio,26
Kalliomaeki,6
Kalliomaki,6
Kalliomäki,6
Kallioniemi,7
Kalske,9
Kanerva,22
Kangas,16
Kangasniemi,7
Kankaanniemi,7
Kanninen,6
Kantalainen,6
Kantola,19
Kantor,9
Karanko,7
Karhu,6
Kari,15
Karimaeki,8
Karimaki,8
Karimäki,8
Karinen,12
Karjalainen,25
Karjula,26
Karkkainen,21
Karlsson,6
Karna,9
Karpela,6
Karpio,8
Karppinen,9
Karvonen,6
Kasanen,11
Kaskeala,9
Katainen,14
Kataja,8
Katavisto,6
Kauma,6
Kaunisto,13
Kauppi,14
Kauppila,15
Kauppinen,18
Keinaenen,10
Keinanen,10
Keinänen,10
Kekkonen,21
Kemppainen,16
Keraenen,20
Keranen,20
Kerminen,10
Kerola,12
Keränen,19
Keskitalo,9
Kettunen,24
Kiander,8
Kiesilaeinen,7
Kiesilainen,7
Kiesiläinen,6
Kietaevaeinen,7
Kietavainen,7
Kietäväinen,6
Kiljunen,18
Kilpi,9
Kim,8
Kinnunen,17
Kiuru,22
Kivela,14
Kivelae,14
Kivelä,13
Kivimaki,6
Kivinen,18
Kiviniemi,6
Kiviranta,6
Kivisto,15
Kivistoe,15
Kivistö,14
Klinge,9
Koenkkoelae,10
Koivisto,18
Koivu,9
Koivuranta,7
Kokko,25
Kokkonen,15
Komi,8
Konkkola,11
Konttinen,6
Koponen,16
Kopra,12
Korhola,11
Korhonen,64
Korkeamaa,6
Korkeaoja,8
Korkman,9
Korpela,12
Korpi,6
Korpinen,11
Korva,7
Korvenheimo,7
Koskela,16
Koskelo,21
Koskenniemi,11
Koski,30
Koskinen,36
Kosonen,13
Kotkasaari,6
Krogerus,8
