name,frequency
Abel,19
Abraham,6
Achille,19
Adam,10
Adolphe,9
Adrien,117
Aime,23
Aimé,23
Alain,572
Alain-Paul,6
Alain-Pierre,7
Alan,6
Alban,39
Alberic,7
Albert,121
Albert-Marie,8
Alex,15
Alexandre,299
Alexis,145
Alfred,44
Allan,6
Alphonse,14
Amaury,51
Ambroise,10
Amedee,7
Amédée,7
Anatole,6
Andre,437
Andre-Francois,6
Andre-Jean,9
Andre-Joseph,7
Andre-Marie,6
Andre-Rene,9
Andre-Yves,6
André,425
André-François,6
André-Jean,9
André-Joseph,7
André-René,7
Ange,12
Ange-Marie,6
Angelo,8
Anthony,64
Antoine,449
Antonin,18
Antonio,18
Ariel,8
Aristide,7
Armand,73
Armel,7
Arnaud,231
Arnault,6
Arsene,6
Arsène,6
Arthur,77
Artus,7
Auguste,40
Augustin,74
Aurelien,68
Aurélien,67
Axel,27
Aymeric,53
Balthazar,9
Baptiste,39
Barnabe,6
Barthelemy,11
Barthélémy,8
Basile,18
Bastien,22
Baudoin,12
Ben,12
Benjamin,130
Benoit,192
Benoit-Joseph,6
Benoît,168
Benoît-Joseph,6
Bernard,540
Bernard-Marie,9
Bertrand,218
Blaise,6
Bo,9
Boris,24
Brice,32
Bruno,298
Calixte,6
Camille,55
Carl-Johann,6
Carlos,9
Cedric,95
Cesar,7
Charles,361
Charles-Andre,7
Charles-André,7
Charles-Antoine,18
Charles-Edouard,18
Charles-Emmanuel,14
Charles-Henri,50
Charles-Louis,9
Charles-Marie,9
Charles-Philippe,6
Charles-Rene,7
Charles-René,7
Charles-Édouard,13
Christian,413
Christian-Marie-Antoine,6
Christophe,361
Christopher,14
Claude,380
Claude-Manuel,6
Claude-Marie,11
Clement,87
Clément,83
Come,18
Constantin,16
Corentin,15
Cyprien,13
Cyril,85
Cyrille,31
Cédric,81
César,7
Côme,18
Damien,89
Daniel,292
Daniel-Georges,6
Dany,8
David,233
Denis,160
Denys,11
Desire,6
Didier,179
Dimitri,11
Dominique,332
Donatien,6
Driss,11
Désiré,6
Eddie,9
Eddy,14
Edgar,11
Edmond,58
Edouard,159
Edward,6
Elie,44
Eliott,9
Eloi,7
Emeric,9
Emile,94
Emilien,7
Emmanuel,296
Enguerrand,6
Enrique,9
Eric,317
Erick,7
Erik,6
Ernest,23
Ernest-Antoine,7
Erwan,22
Etienne,135
Eugene,40
Eugène,40
Fabien,83
Fabrice,117
Felix,30
Ferdinand,17
Fernand,62
Flavien,10
Florent,44
Florian,45
Francis,164
Franck,141
Francois,781
Francois-Alain,6
