name,frequency
Abadie,34
Abiven,12
About,19
Acquaviva,17
Adam,32
Adevah-Poeuf,14
Alaize,12
Albertini,30
Alduy,11
Alexandre,24
Alfonsi,20
Allard,11
Allizard,13
Alomar,13
Amar,12
Amaudric-Du-Chaffaut,12
Ambrosini,13
Amsellem,12
Andre,66
Andreani,14
Andrieu,20
Andrieux,15
André,58
Andréani,13
Angeli,12
Angelier,17
Antoine,18
Arhoul,21
Armand,15
Arnaud,21
Aschieri,14
Asensi,13
Attali,12
Auberger,21
Aubert,62
Aubin,21
Aubouin,17
Aubry,36
Auclair,13
Auclaire,12
Audebert-Lasrochas,13
Audoux,19
Augier,26
Auque,12
Ayrault,13
Babusiaux,17
Bachy,12
Badre,22
Badré,22
Baeumler,18
Baguet,16
Baillet,21
Bailly,77
Balduyck,12
Balkany,12
Balladur,14
Balle,11
Balligand,11
Barbe,28
Barbier,42
Barbry,11
Barbé,14
Bardet,14
Barraux,17
Barre,23
Barret,11
Barrot,19
Barroux,20
Barry-Martin-Delongchamps,24
Barré,12
Barthelemy,42
Barthélemy,37
Bas,12
Basselier,17
Basset,12
Bataille,12
Batteux,14
Baudis,16
Baudoin,13
Baudoult-D'Hautefeuille,12
Baudry,24
Baumel,13
Bay,16
Bayle,28
Baylet,21
Bayrou,11
Bazin,21
Bazin-de-Jessey,17
Beaune,14
Beaupuy,13
Beauvais,17
Bechu,12
Bedier,26
Bel,11
Belais,12
Belin,13
Bellanger,13
Bellec,12
Belliard,21
Benard,26
Benet-Chambellan,16
Benoit,13
Berard,17
Beraudo,12
Bercot,11
Bergamini,12
Berger,43
Bernard,99
Bernard-Reymond,12
Bernardini,12
Bernicot,12
Berthier,13
Berthonnet,11
Bertrand,71
Besancenot,34
Besse,23
Besset,12
Besson,44
Beth,23
Beurrier,13
Bied-Charreton,22
Bigeard,11
Bignon,14
Bigot,29
Billet,11
Billette-de-Villemeur,18
Birraux,11
Bisch,13
Bisson,13
Bizet,12
Blais,11
Blanc,74
Blanc-D'Alissac,40
Blanchard,12
Blanchard-Dignac,17
Blanchet,22
Blarel,14
Blayau,14
Blin,17
Blum,18
