name,frequency
Ada,8
Adele,6
Adelheid,19
Agnes,17
Alexandra,45
Alice,11
Alina,6
Amelie,8
Ana,6
Ana-Luca,6
Andrea,84
Anette,18
Angela,29
Angelica,7
Angelika,87
Anita,12
Anja,49
Anke,47
Anna,112
Anna-Felicia,7
Anna-Maria,22
Anne,69
Anne-Dore,6
Anne-Kathrin,6
Anne-Marie,10
Annegret,9
Anneliese,20
Annemarie,11
Annett,6
Annette,61
Anni,11
Annika,13
Antje,37
Antonia,21
Ariane,10
Astrid,31
Baerbel,26
Barbara,109
Barbel,26
Beate,48
Beatrice,11
Beatrix,14
Bettina,70
Bianca,7
Birgit,78
Birgitt,9
Birgitta,16
Brigitta,6
Brigitte,84
Britta,14
Bärbel,23
Carmen,20
Carola,29
Carolin,11
Caroline,28
Cecilia,8
Charlotte,37
Christa,58
Christa-Margot,7
Christel,22
Christiane,73
Christina,60
Christina-Johanne,6
Christine,91
Clara,15
Clara-Marie,6
Claudia,122
Colette,7
Constanze,9
Cordula,7
Corinna,34
Cornelia,44
Dagmar,55
Dana,8
Daniela,37
Deborah,7
Derya,8
Diana,10
Diane,9
Dora,6
Doris,49
Doris-Christa,6
Dorothea,30
Dorothee,22
Ebba,6
Edeltraud,8
Edith,11
Elena,9
Eleonore,16
Elgin,7
Elif,7
Elisabeth,114
Elizabeth,6
Elke,49
Ellen,21
Else,6
Elvira,13
Emilia,13
Emily,6
Emine,6
Emma,9
Erika,42
Esther,19
Eva,89
Eva-Margarethe,7
Eva-Maria,25
Eveline,7
Evelyn,8
Felicitas,9
Fleur,6
Fleur-Juanita-Charlotte-Eudoxie-Marie-Agne,10
Franka-Marie,6
Franziska,48
Frauke,6
Frida,6
Frieda,7
Friederike,14
Gabi,18
Gabriela,9
Gabriele,138
Gaby,10
Gerda,16
Gerlind,7
Gertie,6
Gertrud,30
Gertrude,6
Gesine,16
Gisela,58
Greta,8
Gudrun,38
Gunhild,8
Hanna,23
Hannah,23
Hannelore,19
Hedwig,8
Heide,11
Heidemarie,8
Heidemarie-Rose,6
Heidi,25
Heidrun,11
Heike,52
Helena,12
Helene,15
Helga,47
Hella,7
Herta,6
Hilde,12
Hildegard,21
Hiltrud,11
Huberta,12
Ida,7
Ilona,16
Ilse,23
Ina,16
Ines,24
Inga,8
Inge,32
Ingeborg,26
Ingrid,79
Inken,9
Irene,25
Iris,25
Irmgard,11
Irmgard-Monika-Dorothea,7
Isabel,16
Isabella,7
Isabelle,10
Jana,23
Janine,11
Jennifer,11
Jenny,10
Jessica,12
Johanna,60
Josephine,6
Judith,19
Julia,57
Juliane,22
Jutta,73
Karin,80
Karla,6
Karoline,9
Katharina,89
Kathrin,30
Kati,7
Katja,42
Katja-Maria,6
Katrin,55
Kerstin,76
Kira,8
Kirsten,20
Klara,7
Klara-Marie,6
Kristin,8
Kristina,27
Lara,8
Laura,32
Lea,7
Lea-Sophie,6
Lena,18
Lene,12
Leonie,7
Lieselotte,11
Lilian,11
Lina,9
Linda,13
Lisa,17
Louisa,10
Lucia,7
Luisa,18
Luise,40
Lydia,6
Magdalena,6
Magdalene,7
Maike,8
Manuela,22
Maren,13
Marga,10
Margarete,16
Margaretha,6
Margarethe,6
Margit,27
Margot,14
Margret,14
Maria,195
Maria-Felicitas,7
Maria-Luise,6
Mariana,8
Marianne,60
Marie,52
Marie-Agnes,8
Marie-Luise,23
Marika,8
Marina,6
Marion,69
Marita,11
Maritta,7
Marja-Liisa,6
Marleen,6
Marlene,16
Marlies,12
Martha,10
Marthe,6
Martina,61
Martine,8
Mathilde,6
Mechthild,24
Meike,14
Melanie,27
Merle,6
Mia,6
Michaela,30
Michelle-Jasmin,6
Milagros,13
Milena,7
Miriam,17
Mirjam,8
Monica,10
Monika,101
Nadia,7
Nadine,9
Nadja,6
Nancy,8
Natalie,14
Nathalie,12
Nele,10
Nicola,8
Nicole,36
Nina,24
Nora,7
Patricia,9
Patricia-Gunilla-Clementine,6
Paula,10
Pauline,8
Petra,119
Pia,21
Rebecca,9
Rebekka,7
Regina,25
Regine,19
Regula,8
Renate,88
Rita,32
Rosa,9
Rose-Sofie,6
Rosemarie,18
Roswitha,16
Ruth,42
Sabine,132
Samantha,7
Sandra,28
Sarah,46
Saskia,12
Sibylle,24
Sigrid,17
Sigunde,7
Silke,25
Silvia,22
Simone,28
Sonia,7
Sonja,28
Sophia,19
Sophie,41
Sophie-Franziska,6
Stefanie,35
Steffi,6
Stephanie,27
Susanne,111
Svenja,11
Sybille,18
Sylvia,36
Tabea,13
Tamina-Gertrud-Clementine,6
Tanja,20
Tatjana,6
Teresa,10
Thea,6
Theresa,20
Therese,8
Theresia,13
Tina,9
Ulla,12
Ulrike,91
Ursula,94
Uta,14
Ute,48
Valerie,6
Vanessa,12
Vera,24
Verena,28
Veronika,9
Victoria,17
Viktoria,11
Waltraud,16
Yvette,6
Yvonne,11
