name,frequency
Achim,25
Adalbert,6
Adolf,18
Adrian,7
Albert,29
Albrecht,20
Aleksander,6
Alexander,165
Alexander-Ferdinand,6
Alexander-Leopold,6
Alexander-Ludwig-John,6
Alexei,8
Alfons,8
Alfred,32
Alois,15
Andre,24
Andrea,9
Andreas,246
André,19
Anton,30
Archibald-Johannes,6
Armin,23
Arnd,7
Arndt,9
Arne,20
Arno,9
Arthur,8
August,22
Axel,60
Benedict,6
Benedikt,24
Benjamin,30
Bernard,8
Bernd,116
Bernhard,74
Berthold,9
Bjoern,19
Bjorn,19
Björn,18
Bodo,12
Boris,13
Bruno,15
Burkhard,23
Burkhardt,6
Carl,45
Carl-Eduard,7
Carsten,60
Carsten-Ludwig,6
Caspar,8
Christian,211
Christoph,127
Christopher,22
Claus,27
Clemens,24
Constantin,15
Damian,6
Daniel,67
David,38
Denis,9
Dennis,9
Detlef,33
Detlev,12
Dieter,104
Dietmar,40
Dietrich,20
Dirk,69
Dominik,13
Eberhard,48
Eckart,17
Eckhard,23
Eckhart,8
Edgar,10
Edmund,8
Eduard,17
Egon,8
Ekkehard,9
Elias,10
Elmar,16
Emanuel,12
Emil,16
Engelbert,7
Erhard,13
Erich,22
Erik,14
Ernst,68
Ernst-Joachim,6
Ernst-Otto,8
Erwin,24
Eugen,11
Fabian,25
Felix,52
Ferdinand,17
Florian,59
Frank,130
Franz,70
Franz-Hermann,6
Franz-Josef,36
Frederik,9
Friedbert,6
Frieder,6
Friedhelm,11
Friedrich,81
Friedrich-August-Josias,6
Friedrich-Wilhelm,6
Fritz,48
Gabriel,9
Georg,117
Gerald,11
Gerd,48
Gerd-Josef,6
Gerd-Ulrich,6
Gerhard,119
Gero,6
Gerrit,7
Gert,11
Goetz,12
Gordon,7
Gottfried,16
Gotz,11
Gregor,29
Guenter,53
Guenther,26
Guido,13
Gunnar,9
Gunter,63
Gunther,34
Gustav,18
Gustav-Adolf,7
Gustav-Paul,6
Götz,9
Günter,52
Günther,26
Hagen,6
Hannes,9
Hans,136
Hans-Christian,10
Hans-Dieter,26
Hans-Eberhard,6
Hans-Georg,24
Hans-Gert,6
Hans-Guenter,6
Hans-Gunter,6
Hans-Günter,6
Hans-Heinrich,22
Hans-Henning,12
Hans-Hermann,12
Hans-Joachim,68
Hans-Jochen,12
Hans-Joerg,14
Hans-Jorg,13
Hans-Josef,8
Hans-Juergen,52
Hans-Jurgen,52
Hans-Jörg,14
Hans-Jürgen,51
Hans-Kurt,6
Hans-Lothar,6
Hans-Martin,8
Hans-Michael,6
Hans-Otto,7
Hans-Peter,59
Hans-Rudolf,8
Hans-Ulrich,23
Hans-Werner,12
Hansjoerg,9
Hansjorg,9
Hansjörg,9
Harald,67
Harry,9
