name,frequency
Achenbach,17
Aengevelt,8
Albig,7
Albrecht,24
Alt,6
Altenkamp,6
Althaus,6
Althusmann,8
Altmann,10
Anda,6
Andreae,6
Annen,6
Antwerpes,6
Arz-von-Straussenburg,9
Auernheimer,6
Austermann,6
Aydin,6
Baaske,8
Baer,8
Bar,7
Barthle,6
Bartol,6
Bartsch,6
Bauer,11
Baumann,13
Baumgartner,8
Beck,31
Becker,47
Beckmann,11
Beckstein,7
Bedford-Strohm,10
Beerfeltz,6
Beermann,11
Behrens,6
Benning,6
Berg,12
Berger,18
Bergerhoff-Wodopia,6
Berghegger,6
Bergmann,13
Bernhard,6
Bettzuege,7
Bettzuge,6
Bettzüge,6
Beutel,6
Biederbick,6
Binding,6
Bitterlich,6
Bleser,8
Bluem,8
Bluhm,6
Blum,8
Blüm,7
Boch,6
Bock,6
Bode,11
Boehm,6
Boerner,6
Boettcher,6
Bohm,7
Bollmann,6
Borner,7
Bottcher,6
Boulad,12
Bove,8
Brackmann,7
Brandner,9
Brandt,14
Brauksiepe,8
Braun,14
Braune,6
Brecht,6
Breuer,11
Brinkmann,11
Brodesser,6
Bruckmann,8
Brueser,6
Brunner,14
Bruns,8
Bruser,6
Bubendey,10
Buchholz,8
Buetikofer,6
Buettner,7
Burchardt,6
Busch,7
Butikofer,6
Buttner,7
Bär,7
Böhm,6
Börner,6
Bütikofer,6
Büttner,7
Caesar,7
Carstensen,6
Chrestensen,6
Clausen,7
Claussen,12
Clement,7
Czub,6
Daerr,6
Damerow,7
Dautzenberg,6
Dehm,8
Dehm-Desoi,6
Deilmann,7
Dess,12
Deß,12
Dieckmann,10
Dienel,7
Dietrich,6
Diezel,6
Dittmann,7
Doerflinger,6
Doering,10
Dorflinger,7
Doring,11
Drautz,7
Dreier,7
Dressel,10
Dressler,7
Druz,6
Duester,7
Dulger,7
Dulig,8
Duster,7
Döring,9
Eck,6
Engel,8
Erler,12
Ernst,8
Esser,6
Falk,10
Fegebank,7
Feldmann,7
Fenrich,6
Ferchichi,8
Ferlemann,11
Fiedler,6
Fip,7
Fischer,62
Fleischer,15
Fleischhauer,9
Florenz,8
Fohrmann,6
Forster,6
Franke,7
Franz,7
Frenzel,6
Freudenberg-Pilster,6
Freyberg,6
Fricke,10
Friedrich,33
Froehlich,8
Frohlich,8
Fröhlich,7
Fuchs,9
Fulda,6
Funke,15
Gabriel,7
Gall,6
Gaschke,6
Gatzer,9
Gauck,11
Gauweiler,6
Gebhardt,8
Geisel,11
Geissler,14
Geißler,13
Gemkow,6
Georgi,6
Gericke,12
Gerlach,12
Gerster,7
Gieseke,8
Girisch,8
Gleitze,7
Goebel,7
Goeppel,6
Goerke,10
Goetz,8
Goll,7
Goman,6
Goppel,16
Gorke,10
Gottschalck,12
Gotz,6
Graf,16
Gribl,6
Griesert,6
Groetsch,6
Grosse-Broemer,8
Grosse-Bromer,8
Grosse-Brömer,8
Grossmann,9
Grote,8
Grotsch,6
Großmann,9
Grube,6
Gruener,7
Gruner,8
Grüner,6
Guembel,10
Guenther,14
Gumbel,10
Gunther,14
Gysi,9
Göppel,6
Görke,10
Gümbel,10
Günther,13
Haas,13
Haeussler,6
Hagedorn,9
Hahn,23
Hampel,13
Hans,6
Harder,8
Hartmann,9
Haug,10
Hauser,6
Hausmann,14
Hecker,7
Hedrich,6
Heike,7
Heilmann,8
Heimsoeth,6
Heinrich,11
Heldman,13
Heller,8
Hemker,6
Henkel,10
Henneke,6
Hering,8
Hermann,7
Herrmann,33
Herzog,10
Hess,17
Hesse,9
Heveling,7
Heye,7
Heß,10
Hilbers,11
Himmelreich,8
Hintersberger,7
Hirsch,15
Hoehn,9
Hoeness,8
Hoeneß,6
Hoeppner,6
Hoermann,9
Hofelich,8
Hoff,7
Hoffmann,44
Hofmann,12
Hohmann-Dennhardt,6
Hohn,9
Hohnen,6
Holmeier,6
Holzenkamp,12
Hom-Schumann,6
Honecker,6
Hoppe,8
Hoppner,6
Hormann,9
Horn,8
Hornhues,7
Huber,34
Hubner,9
Huebner,9
Hunsteger-Petermann,6
Höhn,9
Höppner,6
Hörmann,7
Hübner,8
Illing,6
Irlstorfer,6
Irmer,8
Issa,8
Jaeger,11
Jager,9
Jakobs,6
Jandura,9
Janssen,7
Jensen,9
Jess,6
Jeziorsky,6
Jung,35
Jäger,8
Kaessmann,6
Kaeßmann,6
Kahl,6
Kalmanowicz,9
Kampmann,6
Kapplinghaus,8
Kar,6
Karan,6
Karl,6
Kartes,7
Kassmann,6
Kathstede,10
Kaufmann,11
Kaykin,7
Kaßmann,6
Kelber,8
Keller,14
Kemmerich,10
Kemper,7
Kern,6
Kessler,9
Kiechle,7
Kindler,6
Kirchhof,7
Kirchhoff,14
Klaiber,8
Klein,19
Kley,7
Kliebenstein,6
Klimke,9
Klockner,8
Kloeckner,8
Klose,6
Klumpp,7
Klute,8
Klöckner,8
Knirsch,6
Knobloch,7
Koch,36
Koch-Mehrin,7
Koehler,33
Koenig,17
Koerner,6
Kofler,7
Kohl,19
Kohler,32
Kokott,9
Konig,18
Kopf,7
Kopp,7
Korbmacher,18
Korner,7
Kovac,7
Kozlowski,6
Kraemer,8
Kraetz,10
Kraft,10
Krah,8
Kramer,24
Kramp-Karrenbauer,8
Kratz,10
Krause,14
Krauss,12
Krauß,11
Krebs,6
Kretschmann,8
Kretschmer,24
Krichbaum,6
Krings,9
Krogmann,8
Krueger,22
Kruger,22
Kruse,16
Krämer,8
Krüger,20
Kubicki,6
Kuckein,6
Kuehn,7
Kuhl,15
Kuhn,22
Kuhne,8
Kulitz,7
Kurth,8
Kutschenreuter,6
Kässmann,6
Käßmann,6
Köhler,27
König,17
Körner,6
Kühne,6
Lafontaine,7
Laitenberger,6
Lambardakis,8
Lamle,6
Lamlé,6
Lammert,8
Landowski,7
Landowsky,6
Lang,13
Lange,15
Laumann,6
Lehmann,12
Lemke,10
Lennartz,6
Lentner,6
Lenz,6
Leonhard,8
Lewe,15
Lieberknecht,6
Lies,7
Lietz,9
Limbourg,7
Liminski,14
Linden,8
Lindner,11
Link,7
Lippelt,7
Loh,6
Lohmann,10
Lohse,10
Lucassen,8
Lucke,6
Ludwig,11
Maas,7
Machens,8
Mackenroth,7
Maier,8
Mann,6
Mappus,7
Marquardt,10
Martens,9
Martin,8
Mast-Weisz,8
Matussek,7
Maurer,7
Mayer,17
Meier,8
Meier-Klodt,6
Meister,13
Mellulis,6
Melullis,6
Merten,6
Mertens,6
Merz,8
Methling,8
Metz,6
Meyer,55
Meyer-Gossner,8
Meyer-Goßner,8
Meyer-Landrut,8
Michaelis,7
Middelhoff,8
Mielich,6
Milnik,6
Moeller,17
Moller,17
Mortler,12
Moser,8
Mucke,15
Muecke,11
Mueller,135
Mueller-Soenksen,6
Mueller-Tamm,8
Muench,11
Muentefering,7
Muller,138
Muller-Sonksen,6
Muller-Tamm,8
Munch,11
Muntefering,7
Möller,13
Mücke,10
Müller,119
Müller-Sönksen,6
Müller-Tamm,7
Münch,11
Müntefering,6
Nagel,8
Nahles,9
Neumann,26
Neumeyer,7
Niebel,6
Niklaus,6
Nikutta,6
Noack,8
Nolte,8
Nooke,7
Nowak,7
Nowitzki,12
Nussbaum,6
Nußbaum,6
Oetker,13
Oettinger,8
Oezdemir,8
Oppermann,10
Ostenrath,7
Otte,10
Otte-Kinast,8
Otto,10
Palmer,8
Papier,7
Paus,6
Pellmann,7
Pervelz,7
Peter,7
Peters,14
Petry,8
Pfeifer,6
Pfeiffer,9
Pflueger,10
Pfluger,10
Pflüger,7
Philipp,10
Pieper,11
Pistorius,12
Platzeck,7
Pohl,9
Pollmann,6
Pols,7
Prinz,8
Raab,8
Rabe,7
Raiser,6
Ramsauer,6
Ratzel,7
Ratzinger,8
Rau,12
Rauen,6
Reiners,7
Remele,6
Remelé,6
Remmo,16
Renner,7
Reuss,7
Reyels,7
Richter,13
Riegler,6
Riesenhuber,6
Rinnewitz,8
Roeller,20
Roering,6
Roessler,6
Roettgen,11
Rohde,9
Rohwer,7
Roller,20
Roring,6
Rose,7
Rossberg,6
Rossler,6
Roters,7
Roth,25
Rottgen,11
Rowohl,15
Roßberg,6
Ruck,7
Rudolph,7
Ruettgers,6
Ruge,10
Rupprecht,9
Rust,7
Ruttgers,6
Röller,18
Röring,6
Röttgen,10
Rößler,6
Rüttgers,6
Salikov,7
Sander,13
Sauer,7
Schaal,6
Schachter,8
Schaechter,8
Schaefer,45
Schaeuble,12
Schafer,44
Scharping,14
Schauble,13
Schauerte,6
Scheel,14
Scheele,10
Schierer,13
Schily,10
Schindler,9
Schlaga,13
Schlegel,9
Schlotmann,6
Schmack,12
Schmid,18
Schmidt,88
Schmidt-Bremme,6
Schmidt-Raentsch,8
Schmidt-Rantsch,8
Schmidt-Räntsch,7
Schmitt,9
Schmitz,6
Schnappauf,6
Schneider,59
Schneidewind,6
Schoen,8
Schoettler,7
Scholz,12
Schon,8
Schottler,7
Schramma,6
Schreiber,10
Schreiner,7
Schroder,31
Schrodi,7
Schroeder,36
Schroeter,15
Schroter,15
Schröder,23
Schröter,14
Schubert,17
Schuetz,6
Schuler,8
Schulte,11
Schulte-Drueggelte,12
Schulte-Druggelte,12
Schulte-Drüggelte,12
Schulte-Hillen,12
Schulte-Wissermann,13
Schulz,41
Schulze,11
Schumacher,9
Schumann,7
Schuster,24
Schutz,6
Schwarz,18
Schwarz-Schilling,8
Schweitzer,7
Schächter,7
Schäfer,34
Schäuble,12
Schön,8
Schöttler,6
Schütz,6
Seehofer,10
Seidel,7
Seidenthal,6
Sieling,7
Sierau,9
Simon,10
Singhammer,10
Solms,8
Sommer,26
Sperling,6
Spiller,7
Spranger,10
Stadler,9
Staffeldt,7
Stamm,7
Stange,9
Staudt,7
Steffen,10
Stein,18
Steinbach,8
Steinbruck,6
Steinbrueck,6
Steinbrück,6
Steiner,9
Steinmeier,11
Stoch,7
Stockel,6
Stoeckel,6
Stoiber,11
Stolz,7
Strauss,13
Strauß,11
Stöckel,6
Tacke,6
Taube,7
Tebroke,7
Teufel,8
Thiel,9
Thiele,11
Thies,6
Thiessen,6
Thießen,6
Thoms,7
Throm,6
Thurn,16
Tiemann,7
Toennies,7
Toepfer,9
Tolu,8
Tomczyk,6
Tonne,7
Tonnies,7
Topfer,10
Toscani,6
Trittin,7
Troeger,6
Troger,6
Tröger,6
Tönnies,6
Töpfer,9
Ude,10
Uhl,9
Ullrich,9
Verheugen,6
Vesper,7
Vogel,17
Vogt,9
Vollmer,8
Von-Alvensleben,7
Voscherau,7
Voss,10
Vossen,6
Wachter,6
Wadephul,13
Waechter,6
Wagner,27
Walliser,11
Walter,10
Walter-Rosenheimer,12
Warsame,6
Wasserhoevel,6
Wasserhovel,6
Weber,40
Wegner,8
Wehling,6
Weil,7
Weiler,8
Weis,6
Weise,8
Weiss,29
Weiß,17
Wendler,7
Wengert,6
Wenzel,9
Werner,13
Westermayer,9
Westerwelle,6
Westphal,10
Wichtel,6
Wiersing-Lee,6
Wilhelm,10
Willems,6
Willsch,8
Wimmer,7
Winkler,7
Winter,6
Wittig,7
Woehrl,10
Woerner,9
Wohrl,10
Wolf,23
Wolff,14
Worner,9
Wright,7
Wuertenberger,7
Wuerth,6
Wuerzner,6
Wulff,12
Wurtenberger,7
Wurth,6
Wurzner,6
Wöhrl,10
Wörner,8
Würtenberger,7
Würth,6
Würzner,6
Yanez,6
Yoon,7
Zeller,10
Zellmeier,6
Ziegler,7
Zimmer,13
Zimmermann,17
Zylajew,7
de-Maiziere,20
de-Maizière,16
de-Vries,7
von-Bismarck,26
von-Bismarck-Schoenhausen,36
von-Bismarck-Schonhausen,35
von-Bismarck-Schönhausen,18
von-Boselager,12
von-Butler,8
von-Böselager,12
von-Der-Marwitz,7
von-Fritsch-Seerhausen,9
von-Fromberg,6
von-Kanitz,6
von-Knobelsdorff,28
von-Oldenburg,21
von-Ow-Wachendorf,8
von-Schorlemer,7
von-Weizsacker,20
von-Weizsaecker,20
von-der-Leyen,12
