name,frequency
Abdelas,80
Acas,81
Accas,82
Adoniadis,101
Adoniou,126
Adonopoulos,80
Adonopulos,78
Agelopoulos,174
Agelopulos,158
Aggelopoulos,170
Aggelopulos,152
Agorastos,72
Aibatidis,83
Aidonis,73
Aivatidis,81
Akas,81
Akkas,75
Alamanos,64
Albertis,62
Aleksandridis,113
Aleksandris,190
Aleksopoulos,119
Aleksopulos,119
Alexandridis,129
Alexandris,209
Alexopoulos,188
Alexopulos,116
Alvertis,59
Amanatidis,236
Amiras,65
Amiridis,62
Amyras,65
Anagnostopoulos,127
Anagnostopulos,81
Anastasiadis,101
Anastasopoulos,74
Anastasopulos,63
Anastassiadis,95
Anastassopoulos,95
Andoniadis,100
Andoniou,126
Andonopoulos,78
Andonopulos,76
Andreadis,78
Andreoulacos,66
Andreoulakos,69
Andreulacos,63
Andricopoulos,64
Andricopulos,64
Andrikopoulos,77
Andrikopulos,62
Andriopoulos,80
Andriopulos,68
Androulakis,151
Angelopoulos,468
Angelopulos,148
Antoniadis,121
Antoniou,136
Antonopoulos,148
Antonopulos,74
Apostolakis,218
Apostolidis,78
Apostolopoulos,166
Apostolou,94
Arabosis,62
Aravosis,60
Arbanitidis,74
Arbanitis,77
Arbanitis-Abramis,68
Argyros,61
Aronis,98
Arsenis,420
Arvanitidis,76
Arvanitis,88
Arvanitis-Avramis,73
Asimakopoulos,79
Asteriadis,65
Athanasiou,280
Athanasopoulos,126
Athanasopulos,69
Athanassiou,208
Athanassopoulos,74
Athanassopulos,66
Augerinos,65
Aulonitis,104
Auyerinos,64
Auyierinos,64
Avdelas,81
Avgerinos,107
Avlonitis,140
Avramopoulos,65
Avyerinos,61
Avyierinos,61
Bagenas,70
Bakoyannis,75
Balirakis,96
Baltas,102
Balyrakis,96
Barbitsiotis,83
Baremenos,66
Barlamitis,63
Basalios,85
Basilakis,143
Basileiadis,59
Basiliadis,59
Bassilakis,143
Bassileiadis,59
Bayenas,70
Bayienas,68
Beis,71
Benieris,66
Beos,79
Beroutis,61
Berutis,61
Bikas,63
Bizios,88
Blachakis,63
Blachos,163
Blahakis,63
Blahos,161
Blasis,117
Boilis,60
Bolaris,82
Boloudakis,83
Boludakis,83
Boridis,70
Botopoulos,89
Boulgarakis,59
Boutaris,74
Bretos,61
Brettos,62
Brionis,70
Broutsis,63
Brutsis,62
Bryonis,69
Caisas,74
Calaitsidis,68
Calaitsis,62
Calaitzidis,67
Calaitzis,62
Calamatianos,126
Caler,63
Calogirou,61
Caloyirou,59
Calpadakis,64
Calpakidis,63
Camenos,115
Camenou,59
Caminis,83
Cammenos,113
Cammenou,59
Canellopoulos,96
Canellopulos,86
Canelopoulos,96
Canelopulos,83
Capernaros,76
Capsis,83
Caracostas,90
Caracoukis,63
Caracukis,63
Caragianis,69
Caragiannis,73
Caraianis,67
Caraiannis,67
Caraiscos,75
Carajanis,64
Carajannis,63
Caramanlis,253
Caranicas,84
Caraoglou,141
Caras,132
Carategos,87
Carayanis,61
Carayannis,64
Carayianis,59
Carayiannis,63
Carimalis,94
Carras,140
Castanidis,77
Catrinis,106
Catsagounos,62
Catsagunos,62
Catsaros,79
Catsifaras,71
Catsipharas,69
Chalikias,63
Chatzidakis,93
Chatzis,64
Cheimaras,60
Chimaras,62
Chionidis,73
Christidis,89
Christodoulou,74
Christodulou,59
Christofilopoulos,66
Christogiannis,70
Christopoulos,181
Christou,61
Chrysochoidis,83
Cladas,68
Clapas,100
Cockinakis,70
Cockinos,74
Colias,86
Collias,92
Corkidis,72
Costis,61
Costopoulos,212
Costopulos,205
Cotrocois,62
Cotronias,91
Cotsacas,77
Courakis,89
Cratsas,66
Criticos,66
Ctenas,66
Curakis,88
Dakis,63
Daratsikis,61
Daratzikis,63
Dardamanelis,86
Dascalakis,79
Daskalakis,121
Dauid,162
David,173
Dedes,174
Delis,82
Demetriadis,170
Demitriadis,169
Demopoulos,75
Demopulos,68
Dendias,88
Diamantopoulos,110
Diamataris,86
Diamesis,79
Digalakis,71
Diktakis,63
Dimaras,100
Dimas,184
Dimitriadis,224
Dimitriou,79
Dimopoulos,102
Dimopulos,65
Dotsis,94
Doukas,64
Douzinas,65
Dragasakis,69
Dris,59
Dritsacos,66
Dritsakos,61
Drosos,87
Drys,58
Duzinas,64
Dzimanis,63
Economou,309
Efthimiou,66
Efthymiou,103
Ekonomou,301
Eliopoulos,116
Eliopulos,110
Euthimiou,63
Euthymiou,59
Exarchos,72
Filipou,127
Filippou,153
Florentis,85
Floros,189
Fotilas,59
Fotopoulos,91
Fotopulos,66
Fountoulis,70
Fourlis,66
Fragkos,62
Furlis,67
Gabrilis,61
Gabroglou,84
Gaitani,82
Gaitanis,80
Galanis,111
Galinos,85
Gavrilis,66
Gavroglou,78
Gennimatas,69
Georgakopoulos,141
Georgantas,101
Georgiadis,158
Georgiou,118
Georyadis,65
Georyiadis,67
Ghicas,62
Ghikas,61
Giakoumakis,66
Giannakakis,89
Giannopoulos,100
Gicas,59
Gikas,62
Giorgiadis,64
Gioryadis,61
Gioryiadis,61
Giotis,103
Giovanopoulos,102
Gkicas,59
Gkikas,88
Gkiolas,60
Glezos,67
Glyxburg,61
Golemis,60
Grabaris,73
Grammatikakis,63
Gravaris,69
Gregoriadis,138
Gregos,102
Grigoriadis,141
Heimaras,60
Heliopoulos,72
Heliopulos,71
Hiliopoulos,77
Hiliopulos,74
Himaras,59
Hionidis,75
Hliopoulos,75
Hliopulos,75
Hourmouziadis,66
Hristodoulou,63
Iconomou,266
Ikonomou,255
Iliadis,64
Iliopoulos,258
Iliopulos,107
Ioanidis,135
Ioannidis,256
Ioannou,251
Ioanou,157
Ipsiladis,60
Kachrimanis,79
Kafetzopoulos,94
Kaisas,71
Kalaitsidis,68
Kalaitsis,62
Kalaitzidis,113
Kalaitzis,65
Kalamatianos,123
Kalamidas,66
Kalantzis,61
Kaler,70
Kalogeropoulos,60
Kalogiannis,66
Kalogirou,63
Kalpadakis,62
Kalpakidis,65
Kamenos,117
Kaminis,89
Kammenos,133
Kanelaidis,60
Kanellopoulos,170
Kanellopulos,84
Kanellos,73
Kanelopoulos,92
Kanelopulos,80
Kapernaros,75
Kapsis,109
Karagianis,60
Karagiannis,155
Karaiskos,94
Karakostas,105
Karakoukis,61
Karamanlis,259
Karanikas,134
Karaoglou,136
Karas,129
Karategos,101
Karathanasis,72
Karimalis,88
Karras,168
Kartalis,59
Karydis,78
Kastanidis,68
Katrinis,120
Katsagounos,64
Katsagunos,59
Katsanevas,100
Katsaros,90
Katsifaras,84
Katsikis,59
Katsipharas,68
Kavvadas,111
Kedicoglou,139
Kedikoglou,144
Kefalidis,70
Kefalogiannis,374
Keletsekis,109
Kephalidis,60
Kerameos,77
Kikilias,99
Kiriacopoulos,116
Kiriacopulos,115
Kiriakopoulos,121
Kiriakopulos,109
Kiriazidis,156
Kirkos,124
Kirtsos,59
Kladas,68
Klapas,104
Kogerakis,64
Kokkalis,86
Kokkinakis,100
Kokkinos,82
Kolias,87
Kollias,114
Konstantinidis,102
Konstantinou,105
Konstantopoulos,118
Kontos,71
Korkidis,69
Kostopoulos,259
Kostopulos,198
Kotrokois,63
Kotronias,103
Kotsakas,74
Kougiou,71
Koukodimos,100
Kounougeris,91
Kourakis,133
Kouris,81
Koutras,62
Kratsas,66
Kritikos,74
Ksidas,58
Ktenas,63
Kurakis,86
Kyriacopoulos,107
Kyriacopulos,106
Kyriakopoulos,160
Kyriakopulos,101
Kyriazidis,148
Kyritsis,90
Kyrkos,120
Kyrtsos,62
Labrinos,78
Labropoulos,84
Labropulos,83
Labrou,114
Lafazanis,73
Lagos,112
Lambrinos,78
Lambropoulos,93
Lambropulos,79
Lambrou,103
Lamprinos,77
Lampropoulos,79
Lampropulos,77
Lamprou,135
Lapas,69
Lappas,82
Larisis,63
Larissis,59
Lazaridis,217
Lazaris,182
Leontis,65
Leventis,80
Liacos,113
Liakos,138
Lianis,189
Liapis,283
Libanos,81
Lionis,70
Lioupis,69
Liras,140
Litinas,120
Liupis,68
Livadas,86
Livanos,86
Loberdos,102
Logiadis,118
Lolos,78
Loukas,63
Loulis,78
Loverdos,129
Loyadis,107
Loyiadis,107
Lulis,76
Lyras,136
Machairas,85
Macheras,87
Macris,115
Macropoulos,62
Macropulos,61
Madelis,73
Magginas,71
Maginas,67
Mahairas,85
Maheras,79
Makris,211
Makropoulos,64
Makropulos,58
Malamas,68
Mamoulakis,96
Mamulakis,96
Mandalas,61
Mandelis,73
Manginas,64
Maniatis,199
Manios,58
Manolis,129
Manos,65
Mantas,64
Mantelis,74
Maragkos,61
Marcopoulos,84
Marcopulos,81
Marcou,108
Mardas,134
Margaritis,78
Marias,103
Marinakis,71
Marinos,216
Markatis,63
Markopoulos,126
Markopulos,79
Markou,105
Marmatakis,87
Martinos,128
Maselos,64
Masselos,61
Mathios,365
Mattheopoulos,77
Matzakos,76
Mauraganis,66
Mavraganis,91
Mbeos,76
Mbizios,89
Meimarakis,143
Melachroinos,60
Melas,142
Michalakis,71
Michaloliacos,82
Michaloliakos,143
Michalolias,65
Michalopoulos,76
Michalos,63
Michelakis,68
Michelis,103
Michos,163
Mihalakis,70
Mihaloliacos,79
Mihaloliakos,80
Mihelis,59
Mikalakis,70
Mikaloliacos,76
Mikaloliakos,73
Mikhalakis,68
Mikhaloliacos,73
Mikhaloliakos,70
Milonakis,62
Milonas,253
Miras,62
Mitilinaios,70
Mitilineos,70
Mitropoulos,91
Mitsotakis,156
Moraitis,79
Moralis,60
Moronis,59
Moschofidis,63
Moschonas,71
Moschos,98
Mosialos,61
Moulkiotis,89
Mousouroulis,65
Moustakis,72
Mpaltas,62
Mpeos,76
Mpizios,89
Mulkiotis,88
Mylonakis,61
Mylonas,306
Mytilinaios,71
Mytilineos,65
Nanos,60
Nasis,75
Ndzimanis,63
Nicas,168
Nicholaidis,74
Nicholaou,208
Nicholopoulos,104
Nicholopulos,100
Nicolaidis,77
Nicolaou,201
Nicolopoulos,100
Nicolopulos,97
Nikas,169
Nikolaidis,112
Nikolaou,234
Nikolopoulos,163
Nikolopulos,97
Nikolouzos,94
Nousios,68
Ntsimanis,63
Ntzimanis,60
Nusios,67
Oiconomou,257
Oikonomou,245
Orfanos,71
Pafilis,61
Paidas,77
Palas,100
Paliouras,64
Palis,126
Paliuras,64
Pallas,101
Pallis,121
Panagiotakis,83
Panagiotaros,84
Panagiotidis,97
Panagiotopoulos,242
Panagiotopulos,124
Panagopoulos,109
Panagopulos,80
Panagoulis,182
Panagulis,182
Panayiotakis,76
Panayiotopoulos,162
Panayiotopulos,120
Panayiotou,58
Panayotakis,69
Panayotopoulos,133
Panayotopulos,116
Panopoulos,86
Panopulos,84
Pantazis,64
Papachristos,80
Papaconstadinou,64
Papaconstandinou,64
Papaconstantinou,95
Papacostadinou,61
Papacostandinou,61
Papacostantinou,64
Papacostas,110
Papadakis,152
Papademetriou,351
Papademitriou,349
Papadimitriou,414
Papadoniou,96
Papadopoulos,997
Papadopoulou,136
Papadopulos,612
Papadopulou,102
Papageorgiou,241
Papageorgopoulos,134
Papageoryiou,92
Papageoryou,85
Papagiannakis,62
Papagiorgiou,95
Papagioryiou,91
Papagioryou,85
Papahristos,74
Papaioannou,172
Papaioanou,64
Papakonstadinou,59
Papakonstantinou,157
Papakostantinou,60
Papakostas,115
Papameletiou,66
Papandoniou,91
Papandreou,309
Papanicholaou,150
Papanicolaou,161
Papanikolaou,299
Papantoniou,95
Papapanayiotou,62
Papas,358
Papaspyrou,75
Papastamatiou,74
Papastaurou,108
Papastavrou,131
Papathanasiou,87
Papathanassiou,60
Papatheodorou,152
Papayeorgiou,90
Papayeoryiou,84
Papayeoryou,74
Papayiorgiou,80
Papayioryiou,79
Papayioryou,73
Papayorgiou,74
Papayoryiou,74
Papayoryou,69
Pappas,385
Paraschis,61
Paraskevas,70
Paraskevopoulos,89
Paterakis,61
Patoulis,71
Patsis,58
Patulis,70
Paulidis,152
Paulopoulos,135
Paulopulos,134
Pavlidis,208
Pavlopoulos,172
Pavlopulos,124
Pelegrinis,61
Peletidis,109
Pepas,90
Peppas,88
Petkos,60
Petracos,139
Petrakis,95
Petrakos,140
Petridis,60
Petropoulos,163
Petsos,117
Philipou,126
Philippou,122
Phloros,131
Photopoulos,66
Photopulos,65
Phourlis,67
Phurlis,64
Pilaftsis,60
Piperigkos,66
Pitas,63
Pitsilis,76
Plakiotakis,60
Pleuris,85
Plevris,84
Pneumaticos,101
Pneumatikos,108
Pnevmaticos,108
Pnevmatikos,110
Polakis,87
Politis,82
Polychroniou,114
Polydoras,65
Polyzos,70
Poulakis,62
Poulis,70
Poulopoulos,65
Prebelakis,66
Prevelakis,72
Protonotarios,118
Protopapas,103
Psaroudakis,63
Psathas,64
Psycharis,83
Pulis,71
Pulopulos,63
Ragkousis,68
Rallis,82
Rammos,64
Raptakis,72
Raptis,98
Rizos,193
Rizoulis,86
Rizulis,81
Rokanas,65
Roumeliotis,96
Roupakiotis,68
Rousas,66
Rousopoulos,87
Roussas,69
Rozos,102
Rumeliotis,87
Rupakiotis,64
Rusas,67
Rusopulos,87
Russas,64
Sadorinios,61
Salas,114
Sallas,108
