name,frequency
Adel,9
Adrienn,28
Adrienne,10
Adél,9
Agnes,137
Agota,12
Alexandra,13
Aliz,11
Andrea,113
Anett,10
Angela,6
Aniko,30
Anikó,25
Anita,35
Anna,272
Annamaria,30
Annamária,24
Aranka,15
Barbara,35
Beata,25
Beatrix,13
Bernadett,27
Berta,7
Beáta,21
Blanka,16
Boglarka,23
Boglárka,20
Borbala,23
Borbála,21
Borka,8
Brigitta,10
Cecilia,15
Cecília,14
Csenge,26
Csilla,65
Dalma,12
Diana,16
Diána,11
Dora,49
Dorina,8
Dorka,9
Dorottya,36
Dóra,41
Edina,26
Edit,105
Eleonora,9
Eleonóra,7
Emese,42
Emilia,6
Emma,14
Eniko,20
Enikoe,19
Enikő,17
Erika,86
Erzsebet,166
Erzsébet,149
Eszter,141
Etelka,28
Eva,160
Evelyn,7
Fanni,24
Ferencne,8
Ferencné,7
Flora,14
Flóra,13
Franciska,6
Fruzsina,21
Gabriella,83
Gizella,24
Gyoengyi,9
Gyoengyver,7
Gyoergyi,17
Gyongyi,9
Gyongyver,7
Gyorgyi,17
Gyöngyi,9
Gyöngyvér,6
Györgyi,15
Hajnalka,21
Hanna,27
Henrietta,9
Ibolya,35
Ida,6
Ildiko,112
Ildikó,88
Ilona,174
Imola,6
Imrene,7
Iren,30
Irma,7
Irén,29
Istvanne,11
Istvánné,11
Izabella,14
Janka,14
Johanna,11
Jolan,11
Jolán,11
Jozsefne,12
Judit,265
Julia,48
Julianna,82
Józsefné,10
Júlia,41
Karolina,10
Kata,41
Katalin,346
Katinka,7
Kincso,6
Kincsoe,6
Kincső,6
Kinga,47
Kitti,7
Klara,68
Klára,51
Krisztina,100
Laszlone,20
Laura,38
Lenke,6
Lili,30
Lilla,32
Linda,9
Livia,16
Luca,22
Lászlóné,18
Lívia,11
Magda,8
Magdolna,72
Margit,119
Maria,275
Mariann,17
Marianna,41
Marta,64
Melinda,31
Mira,6
Monika,43
Mária,239
Márta,54
Mónika,31
Natalia,13
Natália,6
Nikolett,9
Nikoletta,9
Noemi,9
Nora,40
Noémi,8
Nóra,33
Olga,18
Orsolya,78
Panna,12
Patricia,8
Patrícia,6
Petra,28
Piroska,39
Rebeka,14
Reka,43
Rita,37
Roza,15
Rozalia,19
Rozsa,16
Rozália,17
Réka,36
Róza,14
Rózsa,13
Sara,22
Sarolta,30
Szandra,6
Szilvia,47
Szonja,10
Sára,20
Tamara,8
Terez,11
Terezia,16
Teréz,10
Terézia,15
Timea,27
Tuende,18
Tunde,20
Tímea,17
Tünde,18
Valeria,9
Valéria,9
Vera,11
Veronika,40
Viktoria,27
Viktória,20
Vilma,6
Viola,7
Virag,21
Virág,18
Zita,30
Zoltanne,7
Zselyke,9
Zsofia,70
Zsuzsa,40
Zsuzsanna,225
Zsófia,69
Ágnes,117
Ágota,11
Éva,135
