name,frequency
Aary-Tamas,10
Aba,7
Abraham,7
Ader,8
Akar,9
Alfoeldi,8
Alfoldi,15
Alföldi,14
Ander,7
Angyan,6
Asztalos,18
Avarkeszi,10
Aáry-Tamás,10
Bacskai,10
Bagdy,11
Bager,7
Bagi,17
Bajnai,17
Bajor,9
Bajtek,6
Bakonyi,21
Bakos,6
Balas,6
Balassa,16
Balazs,22
Balczo,20
Balczó,18
Bali,6
Balint-Pataki,8
Balla,29
Ballo,8
Balog,15
Balogh,107
Balsai,9
Balsay,19
Balás,6
Balázs,18
Banai,8
Banki,8
Banyai,7
Barandy,7
Barath,10
Barbalics,6
Barkoczy,7
Barkóczy,7
Barsony,8
Bartal,8
Bartfai,6
Bartha,8
Baráth,10
Basthy,8
Bathory,9
Bayer,11
Bazsa,12
Bebes,12
Becker,8
Becsey,7
Beer,6
Bekesi,12
Belyó,6
Bencsik,20
Bencze,9
Bendzsel,7
Benedek,28
Benko,8
Benkoe,7
Benkő,6
Benyhe,6
Berenyi,11
Bernath-Varga,6
Bernáth-Varga,6
Berényi,8
Biacs,10
Bihari,12
Biro,18
Boda,11
Bodnar,10
Bodnár,8
Bodo,6
Bodor,7
Bodó,6
Boeroecz,8
Bogdan,9
Bogdán,6
Bognar,12
Bognár,11
Bogyay,6
Bohm,6
Boka,6
Bokor,10
Bokros,8
Boldog,6
Boldvai,9
Borbely,21
Borbély,14
Borko,7
Borkó,7
Borocz,9
Boros,33
Boross,10
Both,7
Botka,13
Botos,6
Boytha,15
Braun,6
Budai,7
Buhajla,9
Busi,6
Báger,7
Bálint-Pataki,8
Bánki,8
Bányai,7
Bársony,8
Bárándy,6
Básthy,8
Báthory,9
Békési,8
Bíró,13
Böröcz,9
Búsi,6
Csak,6
Csakabonyi,9
Csaki,16
Csaky,7
Csanyi,15
Csapody,9
Csaszar,11
Cseh,22
Csehak,8
Csehák,7
Csejtei,17
Csenger-Zalan,12
Csenger-Zalán,11
Csepeli,7
Csepi,6
Cser-Palkovics,12
Csicsay,6
Csige,14
Csiky,10
Csillag,15
Csintalan,10
Csomor,6
Csontos,6
Csoti,7
Csucs,6
Csuday,7
Csurka,8
Csák,6
Csákabonyi,8
Csáki,13
Csáky,6
Csányi,14
Császár,10
Csóti,6
Czene,6
Czervan,6
Czibere,10
Czira,9
Czoma,6
Czomba,6
Czukor,6
Czunyi,7
Daher,8
Dallos,10
Dan,9
Dancs,6
Danka,8
Danko,6
David,15
Deak,13
Demeter,18
Demszky,10
Detrekoei,8
Detrekoi,8
Detrekői,8
Deutsch,15
Deák,12
Dienes-Oehm,12
Diossi,7
Dióssi,7
Domokos,6
Domotor,11
Donath,6
Donáth,6
Dornbach,8
Doszpot,7
Dragon,11
Dudas,11
Dudás,9
Dux,6
Dán,9
Dávid,13
Ekes,6
Elek,17
Endre,10
Erdei,6
Erdey,6
Erdody,6
Erdoedy,6
Erdődy,6
Ersek,8
Fabian,9
Farago,9
Faragó,9
Farkas,68
Fazakas,7
Fazekas,20
Fedor,9
Feher,9
Fehervari,13
Fehér,6
Fehérvári,13
Fekete,14
Fellegi,6
Fenyvesi,18
Ferenczi,10
Fetser,6
Fillo,6
Filló,6
Fodor,37
Foeldesi,6
Foeldi,8
Foldesi,9
Foldi,8
Font,17
Forgacs,7
Forgács,7
Frajna,7
Francz,11
Fritz,12
Fuele,10
Fueloep,11
Fule,11
Fulop,16
Fuzes,6
Fábián,8
Földesi,9
Földi,6
Füle,11
Fülöp,14
Füzes,6
Gaal,12
Gal,29
Galambos,8
Garai,7
Gaudi-Nagy,16
Gazda,7
Gazdag,11
Gaál,10
Gecse,7
Geczi,6
Gedei,9
Gegesy,9
Gemesi,9
Gergely,14
Giczy,12
Gion,9
Giro-Szasz,8
Giró-Szász,6
Glattfelder,12
Gloviczki,10
Godo,6
Godó,6
Goencz,10
Goendoer,8
Gogl,9
Gombos,15
Goncz,10
Gondor,8
Gottfried,7
Graf,6
Gruber,8
Gráf,6
Gubicza,7
Gulyas,32
Gulyás,31
Gyapay,8
Gyarfas,9
Gyenesei,9
Gyenge,10
Gyimesi,21
Gyimothy,7
Gyimóthy,6
Gyoergy,10
Gyoerkoes,10
Gyorgy,10
Gyorkos,10
Gyuerk,6
Gyula,6
Gyurk,6
Gyurta,8
