name,frequency
Adalbjoerg,8
Adalbjorg,9
Aðalbjörg,9
Adalheidur,17
Aðalheiður,16
Agnes,34
Agusta,30
Ágústa,24
Alda,13
Aldis,13
Aldís,9
Alma,13
Andrea,8
Anna,298
Aoalbjoerg,8
Aoalbjorg,8
Aoalheiour,14
Arna,38
Arndis,13
Arndís,11
Asa,30
Ása,20
Asdis,39
Ásdís,28
Asgerdur,10
Ásgerður,8
Asgerour,8
Aslaug,35
Áslaug,28
Asta,67
Ásta,45
Asthildur,14
Ásthildur,12
Astridur,6
Astriour,6
Audur,38
Auður,32
Auour,34
Bara,12
Bára,10
Berg,9
Berglind,31
Bergljot,12
Bergljót,10
Bergthora,7
Bergþóra,6
Bertha,7
Birgitta,9
Birna,93
Birta,16
Bjarney,16
Bjoerg,54
Bjoerk,80
Bjorg,54
Björg,50
Bjork,81
Björk,68
Borghildur,11
Bryndis,30
Bryndís,21
Brynhildur,46
Brynja,10
Dagmar,8
Dagny,7
Dagný,6
Dis,6
Dís,6
Doegg,21
Dogg,21
Dögg,16
Dora,29
Dóra,23
Drifa,6
Drífa,6
Droefn,7
Drofn,7
Dyrleif,6
Ebba,13
Edda,67
Eir,7
Elfa,17
Elin,72
Elín,51
Elinborg,8
Elínborg,7
Elisabet,27
Elísabet,16
Ella,6
Elsa,36
Elva,14
Embla,8
Emilia,15
Emilía,9
Erla,96
Erna,34
Ester,13
Esther,7
Eva,73
Eydis,15
Eydís,9
Eyglo,7
Eygló,6
Eyrun,7
Fanney,11
Fjola,14
Fjóla,10
Gerdur,9
Gerður,8
Gerour,9
Greta,18
Gréta,10
Gudbjoerg,30
Gudbjorg,30
Guðbjörg,28
Gudfinna,9
Guðfinna,9
Gudlaug,20
Guðlaug,18
Gudmunda,7
Guðmunda,6
Gudny,43
Guðný,42
Gudridur,18
Guðríður,15
Gudrun,207
Guðrún,181
Gunnhildur,24
Gunnlaug,10
Guobjoerg,24
Guobjorg,25
Guofinna,9
Guolaug,20
Guomunda,6
Guony,39
Guoriour,16
Guorun,184
Gyda,10
Gyða,9
Gyoa,9
Hafdis,12
Hafdís,8
Halla,42
Halldora,46
Halldóra,31
Hallveig,6
Hanna,41
Harpa,15
Heida,11
Heiða,9
Heidrun,7
Heioa,11
Heiorun,6
Hekla,9
Helena,14
Helga,248
Hera,9
Herdis,31
Herdís,23
Hervoer,6
Hervor,6
Hildigunnur,9
Hildur,96
Hinrika,6
Hjoerdis,19
Hjordis,21
Hjördís,15
Hlin,12
Hlín,11
Holmfridur,27
Hólmfríður,25
Holmfriour,25
Hrafnhildur,32
Hrefna,29
Hroenn,22
Hronn,22
Hrönn,17
Hrund,13
Hugrun,8
Hugrún,6
Huld,14
Hulda,76
Ina,12
Inga,79
Ingibjoerg,101
Ingibjorg,104
Ingibjörg,86
Ingunn,35
Ingveldur,22
Iris,7
Jakobina,10
Jakobína,7
Jensina,8
Jofridur,7
Jófríður,6
Johanna,87
Jóhanna,54
Jona,62
Jóna,36
Jonina,29
Jónína,21
Jorunn,9
Julia,12
Júlía,9
Karen,28
Karin,10
Karitas,13
Katla,11
Katrin,57
Katrín,46
Klara,16
Kolbrun,12
Kolbrún,10
Kolfinna,10
Kolka,12
Kristbjoerg,7
Kristbjorg,7
Kristbjörg,7
Kristin,191
Kristín,124
Kristina,7
Kristjana,35
Kristrun,22
Kristrún,15
Lara,47
Lára,35
Laufey,25
Lea,8
Lilja,122
Lind,34
Linda,51
Lis,6
Lisa,6
Liv,6
Lovisa,18
Lovísa,10
Magdalena,14
Magnea,12
Margret,183
Margrét,131
Maria,153
María,95
Marianna,6
Marie,6
Marta,30
Matthildur,21
Melkorka,6
Mist,14
Mjoell,6
Mjoll,6
Mjöll,6
Nanna,29
Nina,14
Nína,8
Oddny,13
Oddný,8
Oesp,9
Olafia,11
Ólafía,9
Olga,10
Olina,6
Oloef,49
Olof,54
Ólöf,43
Osk,31
Ósk,19
