name,frequency
Aarti,40
Abha,19
Aditi,25
Aisha,11
Aishwarya,12
Alka,54
Alpana,11
Amarjit,13
Ambika,20
Amina,17
Amita,25
Amrita,26
Anamika,18
Anand,17
Ananya,12
Anguri,11
Anil,27
Anima,12
Anindita,11
Anita,166
Anitha,16
Anjali,63
Anjana,31
Anju,33
Ankita,16
Anna,12
Annamma,14
Annapurna,21
Anshu,12
Anu,21
Anupama,25
Anuradha,51
Aparna,31
Aradhana,15
Archana,71
Archna,11
Arpita,17
Arti,27
Arun,12
Aruna,56
Asha,132
Ashok,35
Ashwini,18
Asma,13
Ayesha,32
Babita,33
Baby,16
Bai,52
Bala,48
Balo,15
Bandana,12
Basanti,29
Beena,16
Begum,27
Bhagwati,12
Bhagya,14
Bharati,28
Bharti,39
Bhavana,11
Bhavna,16
Bhavnaben,11
Bhawna,13
Bibi,13
Bimla,29
Bina,26
Binapani,13
Bindu,20
Champa,22
Chanda,16
Chandra,28
Chandrakala,11
Chandrakant,21
Chhaya,22
Chitra,20
Das,16
Dattatraya,11
Deb,11
Deepa,46
Deepak,12
Deepali,17
Deepika,13
Deepti,22
Devi,377
Devika,16
Devyani,13
Dilip,18
Dipali,25
Dipika,12
Dipti,24
Divya,34
Dolly,18
Durga,25
Elizabeth,11
Fathima,14
Fatima,31
Ganga,21
Gauri,34
Gayatri,63
Geeta,103
Geetha,37
Girija,28
Gita,55
Gouri,21
Gulab,15
Hasina,11
Heena,14
Hema,21
Hemant,18
Hemlata,24
Hina,11
Indira,68
Indra,14
Indrani,11
Indu,33
Indumati,11
Jahan,12
Jaishree,11
Jamuna,14
Janaki,17
Janki,15
Jaya,41
Jayashree,20
Jayshree,26
Jayshri,11
Jyothi,12
Jyoti,76
Jyotsna,26
Kailash,15
Kajal,19
Kala,22
Kalavati,16
Kalawati,15
Kalpana,59
Kalyani,25
Kamal,21
Kamala,46
Kamini,11
Kamla,52
Kamlesh,40
Kanak,15
Kanchan,42
Kanika,11
Kanta,28
Kanti,15
Kanwar,14
Karuna,14
Kaur,150
Kaushalya,28
Kavita,53
Kavitha,15
Kiran,104
Kirti,15
Kishor,12
Kishore,11
Komal,16
Krishna,93
Kumar,17
Kumari,125
Kunwar,11
Kusum,52
Lakshmi,136
Lalita,47
Lalitha,22
Lata,70
Latha,22
Latika,12
Laxmi,121
Laxmibai,12
Leela,36
Leena,28
Lila,11
Lily,14
Madhavi,21
Madhu,57
Madhuri,17
Mahesh,18
Mala,24
Malati,26
Malini,12
Malti,24
Mamata,25
Mamta,84
Mandakini,11
Mandeep,12
Mani,17
Manisha,62
Manjari,12
Manjit,15
Manju,89
Manjula,34
Manorama,16
Maria,29
Mary,35
Maya,75
Meena,83
Meenakshi,42
Meera,44
Megha,20
Meghna,17
Mina,20
Minakshi,15
Mira,30
Mohan,14
Mohini,29
Mona,11
Monica,18
Monika,29
Mousumi,14
Mridula,12
Mrinalini,11
Munni,16
Naina,15
Nalini,30
Namita,26
Namrata,20
Nanda,12
Nandini,27
Nandita,14
Narayan,17
Narendra,11
Nayana,13
Neelam,77
Neelima,11
Neeta,28
Neetu,16
Neha,60
Nidhi,17
Nikita,14
Nilima,19
Nina,11
Nirmal,15
Nirmala,85
Nirupama,12
Nisha,50
Nita,16
Nivedita,11
Nutan,14
Padma,31
Padmini,17
Pallavi,25
Pandurang,14
Paramjit,14
Parul,15
Parvati,41
Parveen,18
Payal,11
Phool,12
Pinki,22
Pinky,22
Pooja,70
Poonam,91
Poornima,12
Prabha,46
Pragya,11
Prakash,28
Pramila,38
Prashant,11
Pratap,12
Pratibha,40
Pratima,33
Preeti,59
Prem,37
Prema,21
Premlata,14
Priti,35
Priya,44
Priyadarshini,11
Priyanka,76
Puja,39
Punam,15
Purnima,20
Pushpa,79
Rachna,11
Radha,53
Radhika,42
Ragini,15
Rahul,20
Raj,46
Rajani,25
Rajashree,11
Raje,17
Rajendra,31
Rajesh,32
Rajeshwari,19
Rajkumari,17
Rajni,46
Rajshree,11
Raju,20
Rakhi,23
Ram,35
Rama,57
Ramchandra,16
Ramesh,33
Rani,191
Ranjana,45
Ranjita,12
Rashmi,53
Ratna,31
Ravindra,21
Razia,17
Reddy,20
Reena,46
Reeta,13
Rekha,110
Renu,59
Renuka,38
Reshma,32
Revati,11
Richa,23
Rina,27
Rita,75
Ritu,25
Riya,15
Rohini,12
Roopa,14
Roy,16
Ruby,12
Ruchi,13
Rukmani,16
Rukmini,12
Rupa,34
Rupali,12
Sabina,14
Sabita,14
Sabitri,20
Sadhana,29
Sadhna,20
Sakina,11
Salma,19
Sandeep,18
Sandhya,62
Sangeeta,77
Sangita,51
Sanjana,13
Sanjay,68
Santosh,49
Sapna,33
Sarala,11
Sarasvati,11
Saraswati,46
Sarika,23
Sarita,61
Sarla,29
Saroj,55
Sarojini,23
Satish,19
Satya,11
Savita,55
Savitaben,11
Savitri,64
Seema,128
Shabana,11
Shabnam,15
Shahnaz,11
Shailaja,15
Shakuntala,66
Shakuntla,16
Shalini,22
Shama,12
Shankar,11
Shanta,22
Shantaben,13
Shanti,87
Sharada,22
Sharda,28
Sharmila,22
Shashi,38
Shashikala,11
Sheela,66
Sheetal,18
Shefali,14
Sheila,12
Shikha,12
Shilpa,21
Shiv,12
Shivani,25
Shobha,69
Shraddha,14
Shreya,18
Shruti,22
Shweta,28
Shyama,15
Singh,82
Sita,40
Smita,56
Sneh,14
Sneha,24
Soma,19
Sona,15
Sonal,22
Sonali,24
Sonam,14
Soni,16
Sonia,37
Soniya,14
Soumya,13
Subhash,16
Suchitra,11
Sudha,66
Sudhir,12
Suhas,11
Sujata,45
Sujatha,19
Sulochana,19
Suma,11
Suman,79
Sumita,11
Sumitra,48
Sunanda,28
Sundari,14
Suneeta,16
Sunil,36
Sunita,163
Sunitha,22
Supriya,19
Surekha,17
Suresh,33
Surinder,14
Surjit,15
Susheela,25
Sushila,73
Sushma,62
Sushmita,15
Susmita,13
Swapna,13
Swarna,12
Swati,35
Syeda,15
Tabassum,11
Tanya,14
Tara,41
Tejaswini,13
Uday,11
Uma,77
Urmila,66
Urvashi,12
Usha,153
Vaishali,34
Vandana,53
Vani,11
Vanita,14
Varsha,42
Vasundhara,22
Veena,62
Venkata,18
Vibha,16
Vidya,32
Vijay,67
Vijaya,93
Vimala,12
Vimla,30
Vinita,20
Vinod,19
Vishnu,13
Yashoda,12
Yasmin,19
Yogesh,11
Yogita,14
