name,frequency
Aakash,53
Abbas,63
Abdul,1572
Abdullah,45
Abdur,38
Abhay,110
Abhijeet,40
Abhijit,56
Abhishek,192
Abid,45
Abu,98
Adil,53
Aditya,149
Aftab,38
Afzal,62
Ahmad,902
Ahmed,599
Ajay,728
Ajeet,38
Ajit,247
Akash,204
Akbar,101
Akhil,52
Akhilesh,68
Akhtar,50
Akram,37
Akshay,134
Alam,67
Ali,485
Alok,152
Altaf,85
Aman,112
Amandeep,56
Amar,176
Amarjeet,46
Amarjit,59
Amin,37
Amir,104
Amit,571
Amjad,61
Amol,87
Amrit,38
Anand,290
Ananda,50
Anant,83
Aniket,36
Anil,858
Ankit,115
Ankur,50
Ankush,62
Anoop,57
Anthony,40
Antony,37
Anuj,72
Anup,80
Anurag,62
Anwar,120
Appa,36
Arif,118
Arjun,257
Arshad,65
Arun,514
Arvind,288
Ashiq,36
Ashish,270
Ashok,922
Ashraf,87
Ashutosh,62
Ashwani,64
Ashwin,45
Ashwini,46
Asif,148
Aslam,99
Atul,131
Avinash,148
Avtar,84
Ayub,63
Azad,46
Aziz,57
Baban,45
Bablu,73
Babu,261
Babulal,71
Baburao,80
Badal,36
Bahadur,140
Bal,40
Bala,41
Balaji,58
Balasaheb,63
Balbir,79
Baldev,78
Baljinder,40
Balram,38
Balu,41
Balwant,53
Balwinder,102
Bapu,37
Basant,54
Basavaraj,52
Bashir,166
Bhagwan,120
Bhanu,43
Bharat,276
Bhaskar,118
Bhavesh,39
Bhim,46
Bhimrao,40
Bhola,41
Bhupendra,54
Bhupinder,60
Bhusan,39
Bhushan,110
Bihari,109
Bijay,55
Bikram,43
Bilal,82
Bimal,43
Binod,49
Bipin,65
Birendra,60
Biswajit,39
Brij,63
Brijesh,60
Bunty,43
Chand,323
Chandan,140
Chander,99
Chandra,987
Chandrakant,161
Chandrashekhar,54
Charan,152
Chetan,111
Chinna,51
Chirag,49
Damodar,56
Darshan,77
Das,102
Dashrath,42
Dass,55
Dattatray,62
Dattatraya,46
Davinder,41
Daya,37
Dayal,58
Dayanand,42
Deep,47
Deepak,643
Deo,36
Dev,116
Devender,52
Devendra,163
Devi,60
Devidas,38
Devinder,46
Dhananjay,68
Dharam,55
Dharmendra,115
Dheeraj,74
Dhiraj,50
Dhirendra,38
Dileep,52
Dilip,342
Dinesh,470
Dipak,112
Diwakar,40
Dnyaneshwar,36
Durga,76
Dutt,49
Faisal,36
Farooq,140
Fayaz,67
Feroz,49
Firoz,82
Gajanan,62
Gajendra,49
Ganesh,334
Ganga,70
Gangadhar,45
Gangaram,46
Gani,40
Ganpat,66
Gaurav,165
Gautam,154
George,51
Ghanshyam,85
Ghulam,395
Girish,90
Gopal,318
Gopi,42
Govind,231
Guddu,41
Gulab,73
Gulam,80
Gulshan,41
Gulzar,46
Gurdeep,49
Gurmeet,50
Gurpreet,115
Gyan,43
