name,frequency
Abbas,51
Abdullah,46
Acharya,90
Adhikari,53
Agarwal,491
Aggarwal,175
Agnihotri,44
Agrawal,272
Ahamed,50
Ahirwar,54
Ahluwalia,36
Ahmad,360
Ahmed,978
Ahuja,46
Akhtar,82
Akram,44
Alam,308
Ali,1421
Amin,36
Amma,65
Anand,134
Ansari,672
Antony,39
Anwar,37
Arif,56
Arora,185
Arya,85
Ashok,33
Ashraf,61
Asif,43
Aslam,61
Awasthi,49
Azad,70
Aziz,46
Baba,41
Babu,304
Bag,35
Baghel,68
Bahadur,63
Bai,145
Baig,84
Bairwa,42
Bajaj,56
Bajpai,40
Bakshi,40
Bala,36
Balaji,36
Balakrishnan,34
Banerjee,146
Bano,42
Bansal,119
Bansode,44
Banu,35
Barik,55
Barman,115
Barot,31
Barua,41
Baruah,58
Basha,121
Basu,59
Basumatary,60
Batra,44
Begam,39
Begum,249
Behera,237
Bhagat,153
Bhai,41
Bhalerao,35
Bhandari,79
Bharadwaj,41
Bhardwaj,57
Bhargava,60
Bharti,70
Bhasin,35
Bhaskar,63
Bhat,357
Bhati,61
Bhatia,115
Bhatnagar,36
Bhatt,117
Bhattacharjee,37
Bhattacharya,168
Bhatti,32
Bhoi,39
Bhoir,54
Bhosale,74
Bhuria,35
Bhushan,41
Bhutia,47
Bibi,87
Bind,35
Birla,31
Bishnoi,116
Bisht,56
Biswal,51
Biswas,205
Bora,95
Borah,34
Boro,37
Bose,71
Brahma,47
Brar,36
Burman,40
Chakma,36
Chakrabarty,34
Chakraborty,171
Chand,283
Chandel,39
Chander,61
Chandra,176
Chatterjee,141
Chaturvedi,119
Chaudhari,115
Chaudhary,584
Chaudhry,32
Chaudhuri,50
Chaudhury,33
Chauhan,517
Chaurasia,36
Chavan,298
Chavda,72
Chawla,56
Chhabra,31
Chopra,86
Choudhari,40
Choudhary,453
Choudhury,132
Chouhan,154
Chowdary,41
Chowdhary,99
Chowdhury,183
D'Souza,68
Dahiya,32
Dalal,56
Dalvi,40
Dangi,56
Dar,252
Das,1018
Dasgupta,44
Dash,56
Dass,115
Datta,50
Dave,54
Dayal,46
Deb,53
Debbarma,123
Debnath,39
Deka,63
Deo,49
Desai,177
Deshmukh,156
Deshpande,55
Dev,69
Devi,1873
Dey,89
Dhakad,33
Dhar,31
Dhawan,40
Dhillon,44
Dhote,31
Dhurve,34
Din,98
Dixit,65
Dubey,184
Dutt,57
Dutta,132
Dwivedi,82
Ekka,31
Farooq,56
Fernandes,61
Gaikwad,203
Ganai,41
Gandhi,102
Ganesh,47
Gani,31
Ganie,55
Ganjhu,43
Garg,193
Gaur,71
Gautam,137
Gavit,48
Gehlot,48
George,69
Ghosh,219
Gill,75
Giri,129
Goel,167
Goenka,38
Gogoi,92
Gohil,48
Gond,31
Gopal,49
Goswami,142
Goud,107
Gouda,44
Gounder,47
Gowda,200
Goyal,194
Grover,34
Gujjar,67
Gupta,1279
Gurjar,134
Haji,37
Haldar,34
Halder,50
Hameed,51
Hamid,43
Hansda,42
Haokip,66
Haq,61
Haque,111
Hasan,107
Hassan,81
Hazarika,54
Hegde,48
Hembram,38
Hossain,58
Husain,37
Hussain,753
Ibrahim,79
Imran,54
Iqbal,93
Irani,40
Irfan,41
Islam,235
Ismail,58
Iyer,32
Jadeja,81
Jadhav,359
Jagtap,86
Jain,693
Jaiswal,291
Jamatia,32
Jat,97
Jatav,98
Jena,113
Jha,271
Jindal,41
John,55
Joseph,100
Joshi,319
Kadam,116
Kale,111
Kalita,58
Kamal,39
Kamble,187
Kannan,45
Kanwar,52
Kapoor,133
Kapur,31
Kar,45
Karim,44
Kashyap,130
Kataria,50
Kaul,34
Kaur,684
Kaushik,59
Kazi,35
Khan,2826
Khandelwal,63
Khanna,95
Khare,33
Khatik,32
Khatoon,74
Khatri,69
Khatun,83
Khurana,31
Kiran,48
Kishan,38
Kishore,113
Kohli,63
Koli,60
Konyak,53
Kothari,53
Krishna,178
Krishnan,46
Kulkarni,75
Kumar,6890
Kumari,408
Kumawat,39
Kunawar,31
Kundu,36
Kushwah,46
Kushwaha,131
Lad,33
Lakshmi,88
Lal,665
Lamba,39
Laskar,54
Laxmi,41
Lepcha,62
Lodha,45
Lodhi,63
Lokhande,44
Lone,116
Lyngdoh,48
Mahajan,99
Mahanta,35
Mahato,199
Mahesh,58
Maheshwari,48
Mahto,217
Maity,32
Majeed,38
Majhi,119
Majumdar,58
Majumder,37
Makwana,64
Malakar,32
Malhotra,90
Mali,78
Malik,276
Mallick,102
Mallik,46
Malviya,46
Mandal,418
Mandavi,32
Mane,72
Mani,51
Manjhi,62
Mansuri,55
Marak,112
Marandi,57
Masih,38
Mathew,62
Mathur,82
Maurya,89
Meena,460
Meghwal,55
Mehra,68
Mehta,268
Memon,40
Menon,55
Meshram,39
Mev,37
Mhatre,46
Mir,235
Mirza,37
Mishra,749
Misra,126
Mistry,39
Mitra,69
Mittal,127
Modi,84
Mohammad,341
Mohammed,278
Mohan,156
Mohanty,168
Mohapatra,95
Mohd,88
Mohite,57
Momin,68
Mondal,199
More,115
Mukherjee,174
Mulla,50
Munda,97
Murmu,91
Murthy,104
Murugan,49
Nadar,42
Nagar,102
Nagaraj,33
Nagaraju,54
Naidu,168
Naik,539
Nair,175
Nanda,80
Narayan,77
Narayana,49
Narayanan,42
Naskar,40
Nath,158
Nayak,352
Negi,59
Nikam,37
Nishad,79
Ojha,65
Oraon,84
Padhi,33
Padvi,35
Pal,321
Panchal,62
Panda,120
Pande,80
Pandey,531
Pandian,43
Pandit,87
Pandya,60
Pant,32
Panwar,69
Parab,32
Parida,46
Parihar,32
Parkash,54
Parmar,313
Parveen,34
Pasha,156
Paswan,238
Patel,1447
Pathak,166
Pathan,222
Patil,1077
Patnaik,95
Patra,106
Paul,123
Pawar,339
Pillai,89
Poddar,49
Poojary,41
Prabhakar,49
Prabhu,46
Pradhan,294
Prajapati,140
Prakash,320
Prasad,901
Pratap,36
Pujari,63
Puri,60
Purohit,48
Qureshi,216
Radhakrishnan,35
Rafiq,56
Raghavan,34
Rahaman,35
Rahim,41
Rahman,197
Rai,565
Raj,317
Raja,113
Rajak,43
Rajan,65
Rajbhar,50
Rajendran,44
Rajesh,73
Rajkumar,37
Rajput,226
Raju,300
Ram,751
Ramachandran,61
Ramakrishna,50
Raman,46
Ramana,56
Ramesh,151
Rana,217
Randhawa,31
Rane,48
Rani,128
Ranjan,75
Rao,1435
Rasheed,36
Rashid,114
Rastogi,34
Rather,63
Rathi,35
Rathod,239
Rathore,132
Rathwa,36
Raut,110
Ravi,116
Rawal,51
Rawat,233
Ray,213
Raza,34
Reang,44
Reddy,1657
Rehman,125
Rizvi,34
Rout,67
Roy,457
Sadiq,39
Sagar,79
Sah,129
Saha,153
Sahani,70
Sahay,40
Sahni,107
Sahoo,136
Sahu,474
Sai,39
Saikia,61
Saini,172
Saleem,40
Salim,59
Samad,35
Samal,59
Sandhu,71
Sangma,154
Sankar,32
Sao,44
Sarangi,33
Sardar,63
Sarkar,201
Sarma,53
Saroj,61
Sattar,35
Satyanarayana,67
Sawant,104
Saxena,125
Sayed,31
Sayeed,46
Sayyad,56
Sayyed,122
Sehgal,35
Selvam,35
Selvaraj,39
Sen,165
Sengupta,44
Seth,72
Sethi,101
Shafi,56
