name,frequency
Aasha,4
Adhikari,5
Ambika,12
Amrita,6
Anita,11
Anjana,10
Anju,4
Anuradha,4
Aryal,6
Asha,18
Bahadur,8
Bal,6
Bhagawati,4
Bhim,4
Bidhya,4
Bidya,5
Bimala,19
Bina,15
Binda,4
Binita,5
Bishnu,27
Bishnumaya,4
Champa,4
Chand,4
Chanda,4
Chandra,7
Chandrakala,6
Chitra,7
Dawa,4
Deepa,5
Devaki,6
Devi,291
Dhan,8
Dhana,5
Dharma,6
Dil,10
Dulari,8
Durga,32
Ganesh,5
Ganga,12
Gauri,9
Geeta,14
Ghale,5
Gharti,7
Gita,5
Goma,9
Gurung,4
Gyan,4
Hari,6
Harimaya,4
Hem,5
Hira,6
Indira,18
Indra,13
Indu,7
Jamuna,9
Janaki,9
Jaya,4
Jayanti,4
Jhuma,4
Jyoti,7
Kala,12
Kali,5
Kalpana,22
Kamala,35
Kanchhi,5
Khanal,4
Kiran,9
Krishna,21
Kumar,7
Kumari,292
Lal,6
Lalita,11
Lata,6
Laxmi,52
Leela,7
Lekha,6
Lila,20
Madhavi,8
Madhu,6
Maiya,5
Malati,6
Mamata,4
Man,7
Manju,6
Maya,94
Meena,11
Meera,7
Mina,18
Mira,9
Mithu,4
Muna,4
Nand,5
Nanda,10
Nani,5
Narmada,4
Nilam,4
Nirmala,18
Nisha,5
Nita,4
Om,5
Pabitra,6
Padam,5
Padma,10
Pampha,4
Parbati,10
Parvati,10
Pavitra,4
Prabha,10
Pramila,10
Pratima,5
Prem,6
Puja,4
Pun,6
Punam,4
Purna,5
Pushpa,8
Puspa,5
Radha,18
Radhika,8
Raj,4
Rajya,4
Rajya-Laxmi-Devi,15
Ram,18
Rama,9
Rana,11
Rani,5
Ratna,13
Rekha,6
Renu,8
Revati,4
Rita,16
Rojina,4
Roopa,4
Rukmini,4
Rupa,14
Sabina,4
Sabita,10
Sabitra,4
Sabitri,12
Sakuntala,4
Sangeeta,4
Sangita,9
Sarada,4
Sarala,7
Saraswati,15
Saraswoti,5
Sarita,21
Savitri,8
Shanta,15
Shanti,26
Sharada,18
Sharma,15
Sharmila,5
Shashi,5
Sheela,4
Shila,4
Shiva,8
Shobha,6
Shova,10
Shrestha,10
Sindhu,5
Singh,8
Sirjana,4
Sita,36
Sobha,4
Srijana,6
Subhadra,7
Sudha,6
Sumitra,6
Sunita,16
Sushila,21
Sushma,13
Tara,13
Thapa,13
Tika,5
Tulasa,5
Uma,18
Urmila,15
Usha,15
Yamuna,4
Yashoda,4
