name,frequency
Aakash,6
Abdul,15
Abhisek,8
Abhishek,10
Achyut,10
Aftab,7
Ajay,24
Ajaya,16
Ajit,12
Akash,15
Ali,10
Amar,21
Ambar,7
Amir,8
Amit,14
Amrit,24
Anand,8
Ananda,18
Ananta,7
Anil,59
Anish,7
Anjan,6
Anuj,6
Anup,13
Arjun,56
Arun,26
Ashish,19
Ashok,52
Babu,47
Babulal,6
Baburam,16
Badri,29
Bahadur,1483
Bahadur-Thapa,14
Baikuntha,6
Bal,56
Balaram,14
Baldev,8
Ballav,9
Balram,6
Bam,9
Basanta,21
Basudev,11
Bhairab,6
Bhakta,48
Bhanu,8
Bharat,60
Bhesh,7
Bhim,55
Bhimsen,9
Bhishma,6
Bhoj,12
Bhola,18
Bhupal,8
Bhupendra,16
Bhuwan,19
Bibek,13
Bidur,11
Bijay,39
Bijaya,51
Bikas,12
Bikash,41
Bikram,81
Bimal,21
Binaya,7
Binod,77
Bipin,6
Bir,55
Bir-Bikram,8
Biraj,7
Birendra,30
Bishal,37
Bishnu,72
Bishwa,14
Bishwanath,8
Bishwo,14
Brij,6
Buddha,13
Buddhi,24
Buddhiman,6
Chakra,11
Chandan,10
Chandra,213
Chet,7
Chhabi,10
Chhatra,6
Chhiring,18
Chiranjivi,9
Chitra,11
Dal,12
Dambar,17
Damodar,14
Dan,10
Das,16
Datta,9
Dawa,16
Deep,10
Deepak,93
Dev,66
Devendra,27
Devi,29
Devraj,7
Dhan,40
Dhana,6
Dharma,19
Dharmendra,8
Dhoj,11
Dhruba,18
Dhurba,9
Dil,32
Dilip,36
Dilli,22
Dinesh,72
Dipak,45
Dipendra,32
Dipesh,11
Diwakar,7
Dor,6
Dorje,18
Durga,50
Dutta,17
Ek,6
Gagan,9
Gajendra,14
Ganesh,107
Ganga,21
Gauri,6
Gautam,12
Ghanashyam,6
Ghanshyam,6
Gobinda,13
Gokarna,7
Gokul,9
Gopal,96
Gopi,13
Govind,15
Govinda,54
Guna,7
Gyan,28
Gyanendra,9
Hamid,6
Hari,137
Harish,7
Harka,13
Hem,16
Hemanta,7
Hikmat,7
Hira,20
Hom,12
Indra,44
Ishwar,17
Ishwari,9
Ishwor,12
Ishwori,11
Jagadish,14
Jagannath,6
Jagat,22
Janak,35
Janardan,7
Javed,6
Jay,13
Jaya,27
Jayaram,8
Jeet,18
Jeevan,28
Jiban,9
Jit,19
Jitendra,32
Jivan,14
Jiwan,15
Jung,34
