name,frequency
Aalam,6
Acharya,146
Adhikari,192
Adhikary,19
Agrawal,56
Alam,25
Ale,15
Ali,8
Amatya,13
Ansari,56
Aryal,102
Awasthi,11
BK,36
Badal,6
Badu,6
Bahadur,59
Bajgain,7
Bajracharya,20
Bal,10
Balayar,9
Bam,19
Baniya,27
Banjade,11
Banskota,11
Baraili,8
Baral,39
Barma,7
Baskota,10
Basnet,138
Basnyat,18
Basyal,7
Bhandari,133
Bharati,8
Bhatta,56
Bhattarai,151
Bhote,7
Bhujel,34
Bhurtel,6
Bhusal,29
Bishwakarma,39
Bishwokarma,29
Bista,83
Biswakarma,9
Biswokarma,19
Bogati,23
Bohara,38
Bohora,10
Budathoki,6
Budha,37
Budhathoki,28
Chalise,14
Chamar,11
Chand,36
Chapagain,15
Chataut,9
Chaudhari,78
Chaudhary,277
Chaulagain,16
Chaurasiya,7
Chemjong,6
Chepang,13
Chettri,7
Chhantyal,9
Chhetri,51
Choudhari,6
Choudhary,8
Dahal,94
Damai,10
Dangi,12
Dangol,22
Darji,9
Das,41
Deuba,11
Dev,15
Devi,48
Devkota,29
Dhakal,92
Dhamala,10
Dhami,9
Dhimal,9
Dhital,20
Dhobi,6
Dhungana,37
Dhungel,18
Dulal,6
Dura,6
Gaire,7
Gauchan,7
Gautam,112
Ghalan,13
Ghale,51
Gharti,24
Ghartimagar,6
Ghimire,138
Ghising,11
Giri,104
Golcha,6
Gole,24
Gupta,54
Gurung,392
Gyawali,42
Hamal,17
Hussain,8
Jaisawal,6
Jaiswal,13
Jha,76
Jimba,6
Joshi,105
Jyoti,7
KC,37
Kafle,33
Kalwar,7
Kami,15
Kandel,22
Karki,222
Karmacharya,10
Karna,15
Katawal,6
Kathayat,6
Katuwal,19
Katwal,6
Kayastha,11
Khadgi,11
Khadka,182
Khan,24
Khanal,93
Khand,6
Kharel,37
Khati,8
Khatiwada,46
Khatri,80
Khatri-Chhetri,8
Khatun,20
Khawas,8
Koirala,98
Koiri,6
Kshetri,7
Kumal,26
Kumar,46
Kumari,21
Kunwar,58
Kurmi,19
Kushwaha,7
Lal,19
Lama,412
Lamichhane,32
Lamsal,29
Limbu,90
Lohani,14
Lopchan,10
Luitel,8
Magar,261
Mahara,30
Maharjan,84
Mahat,26
Mahato,107
Mainali,29
Majhi,27
Malla,42
Mallik,8
Manandhar,33
Mandal,62
Mehata,10
Mijar,13
Mishra,40
Miya,43
Miyan,8
Moktan,36
Mukhiya,12
Musalman,8
Nagarkoti,9
Nakarmi,10
Nembang,13
Nemwang,12
Nepal,65
Nepali,73
Neupane,84
Niraula,24
Ojha,34
Oli,35
Pahadi,11
Pahari,8
Pakhrin,9
Pal,8
Panday,15
Pande,8
Pandey,135
Pandit,31
Pant,24
Panta,26
Panthi,11
Parajuli,33
Pariyar,78
Paswan,40
Patel,24
Pathak,27
Patuwar,6
Paudel,131
Paudyal,15
Phunyal,6
Phuyal,19
Pokharel,112
Pokhrel,71
Poudel,128
Poudyal,15
Pradhan,64
Praja,28
Prajapati,10
Prasad,11
Prasai,14
Pudasaini,17
Pun,48
Puri,15
Pyakurel,8
Rai,300
Rajbanshi,14
Rajbhandari,19
Rajbhansi,9
Ram,23
Rana,143
Ranabhat,9
Ranamagar,6
Ranjit,6
Rauniyar,11
Raut,44
Rawal,26
Rawat,14
Ray,7
Raya,33
Rayamajhi,30
Regmi,82
Rijal,31
Rimal,14
Roka,16
Rokaya,14
Rokka,19
Rumba,6
Sah,157
Saha,19
Sahani,28
Sahi,11
Sambahamphe,7
Sapkota,46
Sardar,16
Sarki,15
Saud,17
Shah,234
Shah-Dev,7
Shahi,105
Shakya,66
Sharma,229
Sherchan,14
Sherpa,103
Shiwakoti,7
Shrestha,715
Sigdel,9
Silwal,16
Simkhada,8
Singh,209
Sinha,7
Sitaula,24
Siwakoti,16
Sthapit,7
Subba,36
Subedi,88
Sunar,40
Sundas,6
Sunuwar,34
Suwal,8
Syangtan,19
Tamang,724
Tamrakar,9
Tandon,7
Tatma,6
Teli,16
Thagunna,12
Thakur,75
Thakuri,33
Thami,6
Thani,7
Thapa,416
Thapaliya,15
Tharu,40
Thing,25
Thokar,8
Timalsina,26
Timilsina,27
Timsina,6
Tiwari,36
Tripathi,13
Trital,7
Tuladhar,7
Tumbahamphe,7
Upadhaya,7
Upadhyay,41
Upadhyaya,41
Upreti,18
Uprety,11
Vaidya,11
Verma,8
Vishwakarma,12
Wagle,23
Waiba,26
Yadav,392
Yadhav,8
Yogi,8
Yonjan,6
