name,frequency
Abdul,58
Ahamed,16
Ahmed,12
Ajantha,4
Ajith,22
Akalan,4
Akurathiya,4
Albert,5
Ali,10
Amila,4
Ananda,27
Anil,14
Anthony,8
Anton-Bandara,8
Antony,8
Anura,20
Anuradha,5
Anuruddha,9
Arachchige,16
Arachchilage,6
Arjuna,11
Arthur,4
Aruna,8
Asanka,9
Ashoka,8
Asitha,5
Asoka,17
Athauda,4
Athula,12
Bakeer,7
Banda,9
Bandara,34
Bandula,21
Basheer,4
Bashir,6
Basnayaka,4
Bernard,12
Cader,4
Chamara,4
Chaminda,18
Champika,5
Chanaka,7
Chandana,14
Chandima,5
Chandra,9
Chandra-Rupasinghe,4
Chandrakumara,4
Chandrasiri,16
Channa,4
Charitha,6
Chathura,6
Chinthaka,4
Dammika,7
Danuna,4
Daya,5
Dayan,6
Dayananda,5
Deepal,8
Deepthi,4
Deva,4
Dhammika,13
Dilip,4
Dilum,5
Dinendra,4
Dinesh,9
Dissanayake,11
Don,30
Duminda,5
Eranjan,7
Francis,6
Gamage,6
Gamini,35
Gayantha,5
George,4
Harendra,4
Harsha,10
Hector,4
Hemal,4
Herath,11
Hewa,8
Hewage,4
Hiran,5
Hussain,7
Ihalak-Kankanamalage,5
Indika,9
Ismail-Mohamed,4
Jagath,32
Janaka,22
Jayalath,10
Jayampathi,4
Jayampathy,4
Jayantha,32
Jeevan,6
Jeewan,5
John,8
Joseph,15
Justin,4
Kader,4
Kamal,5
Kanagasabai,5
Kanishka,6
Kankanam,5
Kankanamge,7
Kapila,11
Karunaratne,6
Karunasena,4
Kasun,8
Keerthi,6
Kelum,4
Kingsley,6
Kithsiri,13
Kumar,13
Kumara,28
Lakmal,4
Lakshitha,4
Lakshman,39
Lal,14
Lalith,23
Lankesh,4
Laxman,5
Lionel,11
Lucky,5
Mahendra,5
Mahesh,4
Mahinda,30
Malik,4
Mangala,7
Manjula,6
Mano,8
Manodha,4
Manoj,5
Meera,4
Michael,7
Mohamed,115
Mohamed-Mohamed,4
Mohammad,23
Mohammadu,4
Mohammed,51
Mohan,6
Mohideen,7
Mohomad,5
Mohomed,6
Mohommed,4
Mudiyanselage,18
Muhammad,15
Muhudugama,5
Murugan,4
Muthiah,6
Muttiah,5
Nalaka,10
Nalin,7
Namal,9
Nanadana,6
Nanda,7
Nandana,18
Navin,4
Nawalage,4
Neil,7
Neville,7
Newton,5
Nihal,21
Nimal,22
Niranjan,6
Nishanganie,4
Nishantha,22
Nissanka,19
Nizam,9
Nuwan,4
Padmasiri,11
Palani,4
Palany,4
Palitha,12
Pandukabhaya,4
Parakrama,16
Paramu,4
Pasan,4
Periyasamy,4
Peter,6
Petikirige,4
Piyadasa,6
Piyasiri,5
Prabath,6
Pradeep,18
Prasad,7
Prasanna,13
Priyankara,4
Priyantha,19
Raj,10
Raja,8
Ranasinghe,5
Ranil,8
Ranjan,8
Ranjith,31
Rathnayake,4
Ratnayake,7
Ravi,5
Ravinatha,4
Ravindra,12
Richard,6
Rohan,17
Rohana,11
Rohitha,4
Romesh,5
Roshan,9
Rupasinghe,6
Ruwan,17
Sakir,4
Saliya,9
Saman,14
Samantha,16
Sameera,5
Sampath,7
Sanath,9
Sanjaya,6
Sanjeeva,4
Sanjeewa,12
Sarath,40
Sarath-Kumara,5
Sathasivam,4
Sena,7
Senarath,6
Shahul,5
Shan,4
Shanmugam,4
Shantha,6
Shehan,9
Siri,5
Siripala,5
Sisira,7
Sisira-Kumara,4
Sivagnanam,4
Sivanesan,6
Somasundaram,6
Sri,9
Srilal,5
Sripathi,5
Sudath,6
Sugath,5
Sujeewa,7
Sujith,4
Sumith,13
Sunil,24
Suresh,11
Susantha,9
Susil,4
Thambirajah,4
Tharaka,5
Thilak,11
Thilina,5
Thirimadura,4
Thusitha,4
Tilak,13
Tissa,18
Udara,4
Udaya,7
Udeiappan,4
Uditha,4
Unnanthi,5
Upali,19
Upul,7
Vajira,8
Vidura,6
Vijitha,8
Vimal,4
Viraj,5
Warnakulasuriya,9
Wasantha,19
Welathanthirige,4
Wijaya,5
Wijesinghe,6
Wilfred,4
Wimal,7
Wishvajith,4
Wishwajith,6
Yapa,13
Yasantha,5
Yasas,4
Yusuf,8
