name,frequency
Abeygunawardana,10
Abeygunawardena,6
Abeyratne,7
Abeysekara,4
Abeysinghe,11
Abeysuriya,9
Abeywardana,4
Abeywardena,11
Abeywickrama,7
Ahmed,6
Alagiyawanna,5
Alahapperuma,12
Ali,10
Alles,5
Aloysius,7
Alwis,5
Amarasekara,5
Amarasekera,5
Amarasinghe,10
Amarasiri,4
Amarasuriya,25
Amarathunga,4
Amaratunga,8
Amaraweera,4
Amhar,4
Amunugama,9
Appuhami,4
Arachchi,5
Athukorala,7
Athulathmudali,6
Attanayake,4
Balagalle,5
Balapatabendi,7
Balasooriya,6
Balasuriya,11
Banda,12
Bandara,56
Bandaranaike,8
Bandaranayake,14
Basnayake,6
Bathiudeen,6
Bathuideen,6
Bogollagama,5
Chandrasena,5
Chandrasiri,6
Colombage,4
Colonne,4
Cooray,14
Dahanayake,8
Daluwatte,8
Dasanayaka,4
Dasanayake,8
Dassanayake,12
Dawood,5
De-Mel,5
De-Silva,72
De-Soysa,4
De-Zoysa,9
Dep,4
Deshapriya,5
Dhanapala,4
Dharmasiri,5
Dheerasinghe,8
Dias,15
Disanayake,7
Dissanayaka,8
Dissanayake,109
Diyabalanage,6
Diyabalane,6
Dullewe,4
Edirisinghe,21
Ekanayaka,4
Ekanayake,20
Ellawala,4
Farook,7
Fernando,112
Fernandopulle,6
Fonseka,20
Fowzie,6
Gallage,4
Gamage,33
Ganesan,4
Girihagama,5
Gooneratne,5
Goonetileke,7
Goonetilleke,5
Gopallawa,11
Gunarathna,11
Gunarathne,7
Gunaratna,9
Gunaratne,25
Gunasekara,25
Gunasekera,24
Gunathilaka,6
Gunathilake,11
Gunatilleke,6
Gunawardana,16
Gunawardane,6
Gunawardena,40
Gunawardene,12
Gunawardhana,17
Gunawardhane,4
Gurusinghe,5
Hakeem,9
Hameed,5
Haq,14
Hemachandra,4
Herath,32
Hettiarachchi,24
Hewage,7
Hizbullah,5
Hoole,8
Hulugalla,4
Hulugalle,5
Husain,5
Hussain,7
Ibrahim,17
Imam,4
Ismail,8
Jawad,9
Jaward,4
Jayakody,18
Jayalath,5
Jayamaha,6
Jayarathna,6
Jayarathne,10
Jayaratne,24
Jayasekara,20
Jayasekera,6
Jayasena,4
Jayasinghe,34
Jayasooriya,7
Jayasundara,7
Jayasundera,4
Jayasuriya,30
Jayathilaka,5
Jayathilake,4
Jayatilake,4
Jayatissa,4
Jayawardana,6
Jayawardane,6
Jayawardena,38
Jayawardene,10
Jayawardhana,7
Jayaweera,13
Jayewardene,7
Jinadasa,9
Kadirgamar,4
Kariyawasam,26
Karunajeewa,5
Karunanayake,8
Karunarathne,8
Karunaratna,8
Karunaratne,30
Karunathilaka,5
Karunathilake,6
Karunatileka,4
Khan,4
Kiriella,6
Kodithuwakku,6
Kodituwakku,10
Kongahage,5
Kottegoda,5
Kulathunga,4
Kulatunga,5
Kumar,14
Kumara,35
Kumarasinghe,6
Kumarasiri,6
Kumaratunga,14
Lakshman,4
Lanza,5
Lebbe,4
Liyanage,20
Lokubandara,8
Lokuge,5
Maharoof,4
Mahendran,7
Maheswaran,5
Mahindapala,4
Majeed,5
Mansoor,5
Marapana,6
Marapane,4
Marasinghe,5
Marikkar,5
Markar,8
Marleen,6
Mathew,5
Mayadunne,5
Mendis,30
Mohamed,12
Mohammed,5
Mohideen,4
Mudalige,6
Munasinghe,11
Muralidaran,7
Muralidharan,6
Muralitharan,7
Mustapha,4
Musthapha,7
Muthalif,4
Muzammil,6
Nagahawatte,4
Nakandala,6
Nanayakkara,28
Nawarathna,4
Nawaz,4
Nazeer,4
Nelson,5
Nonis,4
Padmasiri,4
Pathirage,7
Pathirana,21
Pathmanathan,7
Peiris,30
Pelpola,20
Perera,178
Piyadasa,6
Prabakaran,4
Prabhakaran,9
Prasanna,5
Premachandra,6
Premadasa,5
Premajayantha,4
Premaratne,5
Premasiri,7
Priyantha,7
Punchihewa,5
Punchinilame,6
Pushpakumara,9
Raheem,6
Rajakaruna,12
Rajakarunanayake,4
Rajapaksa,29
Rajapakse,32
Rajapaksha,10
Rajapakshe,7
Rajendran,5
Ramanathan,7
Rambukwelle,6
Ranasinghe,24
Ranasuriya,6
Ranathunga,11
Ranatunga,9
Ranatunge,6
Ranawaka,10
Ranaweera,7
Ranjith,4
Rathnayaka,5
Rathnayake,26
Ratnavale,4
Ratnayaka,7
Ratnayake,28
Ratwatte,19
Raviraj,4
Rodrigo,11
Rupasinghe,7
Sakeer,5
Salley,5
Samarakone,5
Samarasekera,6
Samarasingha,4
Samarasinghe,27
Samaraweera,15
Samarawickrema,6
Sampanthan,6
Sampath,7
Saram,6
Senadeera,4
Senanayake,37
Senarath,5
Senarathne,5
Senaratne,13
Senevirathna,10
Senevirathne,7
Seneviratne,27
Senewiratne,4
Shafi,5
Silva,58
Sinniah,6
Sirisena,19
Siriwardena,11
Sivalingam,5
Sivanesan,7
Siyambalapitiya,4
Subasinghe,4
Sumanaratne,4
Sumathipala,8
Surendran,4
Swaminathan,4
Tennakoon,11
Tennekoon,5
Thennakoon,5
Thera,6
Thero,11
Thigambaram,5
Thilakaratne,4
Thillayampalam,4
Thondaman,7
Thoradeniya,5
Tillekeratne,7
Tissera,8
Vithanage,4
Wagiswara,5
Wanasundera,5
Wanniarachchi,8
Warnapala,6
Warnasuriya,6
Weerakkody,4
Weerakoon,13
Weerasekara,13
Weerasekera,6
Weerasinghe,25
Weerasooria,4
Weerasooriya,22
Weerasuriya,16
Weeratunga,11
Weerawansa,11
Welgama,6
Wickramaratne,10
Wickramasinghe,34
Wickramasuriya,18
Wickremanayake,5
Wickremasinghe,20
Wickrematunge,11
Wickremesinghe,8
