name,frequency
Ai,4
Adi,4
Amy,4
Ari,4
Een,4
Eli,4
Emi,4
Era,4
Eri,4
Eti,4
Ica,4
Iis,4
Ike,4
Lin,4
Luh,4
Mei,4
Umu,4
Agus,4
Aida,4
Alya,4
Ance,4
Anja,4
Anne,4
Arga,4
Asia,4
Asih,4
Asna,4
Baby,4
Baiq,4
Bani,4
Beby,4
Bibi,4
Cucu,4
Deni,4
Devy,4
Dita,4
Dora,4
Elis,4
Elsa,4
Emmy,4
Ende,4
Esti,4
Feni,4
Gina,4
Heny,4
Isah,4
Isna,4
Leny,4
Lida,4
Liza,4
Lucy,4
Luki,4
Lusi,4
Made,4
Neli,4
Nike,4
Nisa,4
Okky,4
Peni,4
Rena,4
Rima,4
Rosa,4
Rumi,4
Sara,4
Sasa,4
Suci,4
Teti,4
Tika,4
Titi,4
Tuty,4
Ummu,4
Vita,4
Wida,4
Yesi,4
Yuke,4
Ainal,4
Ajeng,4
Alice,4
Artha,4
Batti,4
Deasy,4
Desty,4
Dhian,4
Diane,4
Dolly,4
Donna,4
Erica,4
Erika,4
Erina,4
Erlin,4
Ernie,4
Farah,4
Felia,4
Fenny,4
Frida,4
Hanny,4
Indra,4
Itjih,4
Julie,4
Kanti,4
Kasih,4
Laili,4
Laura,4
Liana,4
Lidia,4
Lisda,4
Lisna,4
Luluk,4
Mamik,4
Mesak,4
Mieke,4
Murni,4
Murti,4
Mutia,4
Nanda,4
Naomi,4
Ninik,4
Nomay,4
Nunuk,4
Pipin,4
Pudji,4
Rahmi,4
Ratri,4
Rezky,4
Riana,4
Rinny,4
Risma,4
Risna,4
Rosna,4
Salma,4
Selfi,4
Sitti,4
Sulik,4
Tanti,4
Telly,4
Tiara,4
Tirta,4
Tutik,4
Tutty,4
Utami,4
Velly,4
Venna,4
Waode,4
Wendy,4
Wiwid,4
Wiwik,4
Wiwit,4
Wulan,4
Yarna,4
Yenni,4
Adinda,4
Aditya,4
Agatha,4
Almira,4
Amanah,4
Aryani,4
Aseani,4
Asmara,4
Astrid,4
Astuti,4
Atalia,4
Athari,4
Barkah,4
Brenda,4
Elfina,4
Emilia,4
Ernani,4
Evelyn,4
Fahira,4
Fairuz,4
Faizah,4
Fauzun,4
Hafsah,4
Halida,4
Halima,4
Hindun,4
Jovita,4
Kirana,4
Marwah,4
Meisya,4
Melisa,4
Muthia,4
Nabila,4
Nining,4
Nurita,4
Nurlin,4
Nyimas,4
Oelfah,4
Rahmah,4
Salome,4
Selina,4
Shelly,4
Sofiah,4
Susana,4
Titiek,4
Trisna,4
Wardah,4
Yakoba,4
Yasmin,4
Yvonne,4
Zaenab,4
Zaleha,4
Andries,4
Anindia,4
Basaria,4
Benazir,4
Bintang,4
Chandra,4
Christy,4
Darwati,4
Elfrida,4
Elviana,4
Emiwaty,4
Erlinda,4
Felicia,4
Fientje,4
Gitalis,4
Gustini,4
Haryati,4
Helmina,4
Hilyana,4
Irawati,4
Jia-Yun,4
Julieta,4
Jumriah,4
Kartina,4
Lestari,4
Marliah,4
Marliza,4
Maryani,4
Masyati,4
Masyita,4
Meirika,4
Mufidah,4
Muliati,4
Mulyana,4
Nafi'ah,4
Natasya,4
Nidalia,4
Nuraeny,4
Nuraida,4
Nurbaya,4
Nurliah,4
Nursiah,4
Puspita,4
Rosidah,4
Rusmini,4
Rustini,4
Safitri,4
Sartika,4
Silvira,4
Sinthya,4
Sondang,4
Suharsi,4
Suharti,4
Sumiati,4
Suminah,4
Sunarti,4
Sundari,4
Suraida,4
Suriati,4
Suryati,4
Sylvana,4
Winarni,4
Zunatul,4
Andi-Ayu,4
Andriani,4
Angeline,4
Ayun-Sri,4
Az-Zahra,4
Badriyah,4
Bunyanah,4
Caroline,4
Chia-Yun,4
Chia-Yün,4
Cornelia,4
Elisabet,4
Haryanti,4
Haslinda,4
Irmawati,4
Julianti,4
