name,frequency
Afsaneh,4
Alayi,3
Angane,3
Arefeh,3
Azam,6
Azar,3
Effat,3
Elham,7
Faezeh,3
Farideh,8
Farzaneh,6
Fatemah,4
Fateme,14
Fatemeh,44
Fatima,5
Fatimah,4
Fatimeh,3
Hajar,5
Halimeh,3
Hamideh,3
Hashemi,3
Jamileh,6
Jamileh-Sadat,4
Jamilesadat,3
Khadija,3
Khadijeh,8
Kobra,7
Laya,4
Leila,3
Mahnaz,7
Mansoureh,3
Maryam,29
Marzieh,13
Marziyeh,6
Masoumeh,10
Massoma,3
Monireh,6
Nahid,6
Narges,3
Nasrin,3
Nayyereh,4
Parvaneh,3
Parvin,4
Razieh,3
Roya,3
Sadat,3
Sakineh,7
Sara,3
Seddigheh,4
Shabnam,3
Shahindokht,4
Shahla,5
Shiva,4
Soheila,4
Tahereh,5
Tania,4
Tayebeh,4
Yasmina,3
Zahra,46
Zainab,3
Zeinab,5
Zohreh,13
