name,frequency
Adam,14
Adrian,14
Aidan,31
Alan,46
Alexander,9
Andrew,45
Anthony,72
Antoin,10
Art,7
Arthur,14
Austin,8
Barry,37
Bernard,30
Bill,6
Billy,7
Bob,9
Breandan,9
Brendan,78
Brian,119
Bryan,7
Cathal,28
Charles,17
Charlie,10
Chris,11
Christopher,43
Christy,8
Cian,12
Ciaran,45
Ciarán,26
Cillian,8
Colin,14
Colm,36
Conall,7
Connor,8
Conor,62
Cormac,16
Daithi,9
Damian,12
Damien,20
Dan,17
Daniel,48
Danny,7
Dara,8
Darragh,14
Darren,20
David,121
Dean,6
Declan,41
Denis,40
Derek,24
Dermot,44
Desmond,23
Diarmuid,32
Dominic,10
Don,6
Donagh,7
Donal,51
Donald,6
Donnacha,7
Douglas,6
Dylan,6
Eamon,36
Eamonn,31
Eddie,12
Edward,31
Emmet,6
Enda,7
Eoghan,23
Eoin,37
Eric,10
Eugene,21
Feargal,14
Fergal,14
Fergus,12
Finbarr,10
Fintan,10
Francis,59
Frank,50
Gabriel,8
Gareth,12
Garret,7
Garrett,10
Gary,23
Gavin,10
Gearoid,13
Gearóid,9
Geoffrey,7
George,16
Gerald,13
Gerard,72
Gerry,40
Glen,6
Graham,10
Harry,9
Henry,22
Hugh,37
Ian,20
Ivor,6
Jack,31
Jackie,6
James,184
Jason,12
Jerry,14
Jim,28
Jimmy,14
Joe,54
John,412
Johnny,7
Jonathan,19
Joseph,101
Karl,7
Keith,16
Kenneth,16
Kevin,76
Kieran,38
Larry,9
Laurence,9
Leo,10
Liam,79
Lorcan,9
Luke,16
Mairtin,10
Marc,10
Mark,68
Martin,82
Matt,7
Matthew,20
Maurice,27
Michael,281
Micheal,61
Micheál,16
Mick,7
Mike,9
Muiris,9
Neil,16
Niall,56
Nicholas,20
Noel,60
Nollaig,12
Oisin,7
Oliver,19
Owen,16
Paddy,40
Padraic,11
Padraig,70
Pat,45
Patrick,249
Paul,156
Peadar,9
Peter,107
Phil,7
Philip,40
Pol,6
Pádraig,41
Ray,8
Raymond,16
Richard,49
Risteard,9
Robert,70
Ronan,39
Rory,25
Ross,13
Ruairi,13
Ryan,8
Rónán,11
Samuel,6
Seamus,70
Sean,189
Seosamh,6
Seán,121
Shane,32
Simon,11
Stephen,59
Séamus,40
Tadhg,9
Terence,12
Terry,11
Thomas,105
Tim,19
Timothy,22
Tom,76
Tomas,30
Tommy,13
Tomás,14
Tony,31
Trevor,8
Vincent,36
William,71
Éamon,9
Éamonn,7
