name,frequency
Adams,17
Ahearn,6
Ahern,36
Aita-Tagle,10
Allen,10
Ardagh,6
Aylward,6
Bailey,9
Barlow,11
Barnes,8
Barr,12
Barrett,18
Barron,6
Barry,14
Bass,8
Begley,6
Bell,10
Berry,25
Birthistle,6
Black,8
Blaney,10
Blayney,15
Bourke,13
Boyd-Barrett,8
Boyle,18
Brabazon,9
Brady,60
Brassil,9
Breathnach,11
Breen,14
Brennan,36
Briscoe,8
Browne,31
Buckley,14
Burke,43
Burns,8
Burrows,7
Butler,39
Buttimer,7
Byrne,89
Cahill,34
Callan,16
Callanan,13
Calleary,12
Campbell,9
Canney,15
Carey,14
Carney,11
Carr,6
Carroll,22
Carson,9
Carthy,12
Carty,6
Casey,20
Cassells,22
Cassidy,8
Cawley,8
Chambers,19
Charlton,10
Chisholm,11
Clancy,16
Clarke,15
Clifford,8
Coffey,19
Coghlan,17
Collins,59
Collopy,9
Colton,8
Comerford,7
Comiskey,6
Conlon,13
Connaughton,7
Connolly,40
Connor-Scarteen,6
Connors,10
Conway,7
Coppinger,6
Corcoran,12
Corrigan,6
Cosgrave,14
Costello,40
Cotter,7
Coughlan,29
Cowen,16
Cox,6
Cregan,6
Cronin,12
Crossan,15
Crowe,13
Crowley,20
Cullen,18
Cullinan,7
Cullinane,9
Cunningham,9
Curley,6
Curran,23
Currie,8
Curtin,8
Cusack,11
Dalton,9
Daly,46
Davis,10
Deane,6
Deasy,23
Deenihan,9
Deering,14
Deighan,7
Delahunt,7
Delaney,8
Dempsey,39
Denham,10
Devane,6
Devine,9
Dillon,8
Doherty,41
Dolan,10
Donnelly,16
Donoghue,6
Donohoe,7
Dooley,14
Doran,15
Dorgan,6
Doris,6
Dowling,6
Downey,6
Doyle,65
Duffy,45
Dully,8
Dunne,25
Durkan,9
Dwyer,7
Earley,11
Earls,7
Ellis,13
Empey,7
English,14
Enright,13
Fahey,7
Farragher,7
Farrell,21
Feely,6
Feeney,22
Ferris,16
Finlay,11
Finn,8
Finnegan,11
FitzGerald,25
FitzPatrick,10
Fitzgerald,47
Fitzpatrick,50
Fitzsimons,6
Flanagan,16
Fleming,11
Flood,10
Flynn,27
Foley,24
Fox,10
Freeman,8
Fullam,12
Gallagher,24
Galvin,6
Garavan,12
Garland,7
Garvey,9
Gavin,12
Geoghegan,14
Gilroy,8
Gilsenan,8
Gleeson,14
Glennon,7
Glynn,10
Golden,7
Gormley,7
Greene,9
Gregory,7
Griffin,38
Guirke,9
Hackett,14
Halawa,7
Hall,9
Hamilton,19
Hanafin,7
Hanlon,14
Hanna,8
Hannan,10
Hardiman,9
Harney,8
Harrington,8
Harris,14
Harte,14
Harvey,8
Haugh,7
Haughey,37
Haughton,10
Hayes,50
Healy,32
Healy-Rae,37
Heffernan,6
Hegarty,7
Henderson,11
Hennessy,8
Henry,9
Hester,6
Hickey,9
Higgins,28
Hill,6
Hoctor,7
Hogan,14
Holmes,9
Holohan,18
Horan,10
Howlin,8
Hughes,21
Humphreys,10
Hunt,6
Hurley,16
Hussey,6
Hutch,7
Hyland,9
Hynes,21
Irwin,7
Jackson,8
Johnson,27
Johnston,7
Jones,13
Jordan,18
Joyce,7
Kavanagh,37
Keane,19
Kearon,6
Keating,23
Keaveney,9
Kehoe,14
Kelleher,47
Kelly,76
Kennedy,28
Kenny,27
Keogh,6
Kett,13
Kiely,12
King,7
Kirk,20
Kirwan,7
Kitt,12
Kyne,16
Lacey,11
Lawless,13
Lawlor,22
Leahy,18
Leddin,13
Lee,10
Lennon,13
Leslie,8
Leyden,10
Lonergan,7
Looney,19
Lowe,10
Lowry,8
Lynch,42
Lyons,7
Mac-Aodha,7
Mac-Aonghusa,9
Mac-Gabhann,7
MacLochlainn,7
Mackin,6
Madden,6
Madigan,17
Maguire,21
Maher,10
Mahon,11
Mallon,8
Maloney,10
Mangan,7
Manning,6
Mara,6
Martin,36
Mathews,12
Matthews,11
Maughan,6
Mc-Loughlin,7
Mc-Manus,9
McAleese,9
McAuliffe,6
McBride,9
McCabe,9
McCallion,8
McCann,7
McCarthy,27
McColgan,7
McCormack,14
McCourt,8
McDaid,15
McDonagh,31
McDonald,8
McDonnell,9
McDowell,12
McEntee,11
McFadden,14
McGahon,10
McGann,8
McGinley,7
McGovern,10
McGowan,6
McGrath,51
McGuckian,7
McGuinness,25
McHugh,9
McKechnie,7
McKee,9
McKenna,18
McLaughlin,6
McLellan,6
McLoughlin,17
McMahon,18
McManus,21
McMonagle,12
McNamara,27
McPhillips,6
Mellett,7
Miller,8
Minihan,11
Mitchell,11
Mo,6
Molloy,37
Moloney,23
Monahan,6
Mooney,10
Moore,7
Moran,16
Morgan,6
Morrissey,7
Moynihan,23
Mulcahy,20
Mulhall,17
Mulligan,7
Mullins,7
Mulroy,12
Mulvihill,9
Murphy,134
Murray,39
Nash,14
Naughten,18
Naughton,11
Neary,20
Neilan,6
Neill,6
Neville,12
Nevin,6
Nolan,30
Noonan,33
Nulty,13
O'Brien,107
O'Byrne,10
O'Byrne-White,13
O'Callaghan,30
O'Caolain,6
O'Cathasaigh,7
O'Connell,47
O'Connor,80
O'Domhnaill,12
O'Donnell,36
O'Donoghue,24
O'Donovan,31
O'Dowd,14
O'Driscoll,10
O'Fearghail,8
O'Flaherty,19
O'Flynn,9
O'Gorman,6
O'Halloran,15
O'Hanlon,23
O'Higgins,7
O'Keeffe,33
O'Kelly,19
O'Kennedy,7
O'Leary,60
O'Loughlin,15
O'Mahony,22
O'Malley,37
O'Meara,18
O'Neill,48
O'Regan,7
O'Reilly,38
O'Riordan,10
O'Rourke,40
O'Shea,27
O'Snodaigh,13
O'Sullivan,54
O'Toole,11
O'hUiginn,22
O-Broin,7
O-Caolain,7
O-Ceallaigh,7
O-Domhnaill,13
O-Fearghail,7
O-Fearghaill,7
O-Gallchoir,19
O-HUiginn,21
O-Laoghaire,8
O-Malley,7
O-Murchu,11
O-Riain,7
O-Rourke,9
O-Se,16
O-Snodaigh,13
Parlon,8
Peart,6
Phelan,25
Power,16
Pringle,10
Quinn,63
Rabbitte,7
Reilly,31
Reynolds,37
Rice,8
Richmond,8
Ring,13
Robinson,13
Roche,16
Roesch,8
Rogers,8
Rooke,18
Ross,9
Ruane,8
Russell,9
Ryan,102
Saul,6
Savage,13
Scanlon,11
Scott,10
Scott-Lennon,11
Scully,6
Shanahan,7
Shannon,9
Sharkey,6
Shatter,6
Sheahan,17
Sheehan,30
Sheridan,7
Sherlock,12
Shields,7
Shinnors,7
Smith,27
Smyth,13
Spring,17
Stack,7
Staunton,6
Steele,6
Stewart,8
Storey,6
Sutton,8
Sweeney,27
Taylor,14
Teevan,6
Thompson,6
Timmins,8
Toibin,16
Toland,6
Treacy,8
Troy,6
Tully,14
Twomey,14
Tóibín,14
Varadkar,9
Wade,8
Wall,13
Walsh,81
Walshe,15
Ward,16
Webb,6
Welby,7
Whelan,31
White,37
Williams,10
Wilson,14
Woods,10
Woulfe,7
Wright,14
Wynne,7
Ó-Caoláin,7
Ó-Domhnaill,10
Ó-Fearghaíl,6
Ó-Fearghaíll,7
Ó-Gallchoir,16
Ó-Laoghaire,6
Ó-Murchú,7
Ó-Snodaigh,12
Ó-Sé,12
