name,frequency
Rachel,144
Shamir,120
Michal,120
Yael,92
Ruth,86
Leah,78
Sarah,70
Reuma,62
Re'uma,58
Naomi,56
Irit,54
Esther,54
Aliza,54
Vera,52
Orit,50
Judith,50
Gila,50
Tamar,48
Rivka,48
Noa,48
Shulamit,44
Nurit,42
Dorit,42
Tami,38
Sharon,38
Sara,38
Chaya,38
Miriam,36
Dalia,36
Ayala,36
Yifat,34
Yaffa,34
Shira,34
Ronit,34
Yehudith,32
Shoshana,32
Limor,32
Ayelet,32
Adi,32
Yehudit,30
Vered,30
Tali,30
Maya,30
Hannah,30
Anat,30
Tammy,28
Nava,28
Malka,28
Inbal,28
Ida,28
Orly,26
Keren,26
Iris,26
Dvora,26
Shuli,24
Shlomit,24
Rochel,24
Meirav,24
Galit,24
Einat,24
Alona,24
Zvia,22
Tzvia,22
Trisevgenia,22
Rina,22
Orna,22
Miri,22
Ella,22
Aviva,22
Tal,20
Sheina,20
Osnat,20
Ofra,20
Margalit,20
Lea,20
Gilah,20
Efrat,20
Debbie,20
Anna,20
Merav,18
Daniella,18
Zehava,16
Tzila,16
Sigal,16
Sarit,16
Revital,16
Pnina,16
Nili,16
Naama,16
Ilana,16
Hagit,16
Hadas,16
Debby,16
Daniela,16
Carmela,16
Aida,16
Zohar,14
Talia,14
Sonia,14
Shula,14
Shelly,14
Orli,14
Maria,14
Liora,14
Lily,14
Lili,14
Judy,14
Iman,14
Elisheva,14
Edna,14
Chava,14
Ada,14
Zila,12
Tsilah,12
Tova,12
Liran,12
Liat,12
Josephina,12
Gittel,12
Gitel,12
Dina,12
Dana,12
Avital,12
Zina,10
Yaffi,10
Tziporah,10
Tzipi,10
Tirza,10
Tallie,10
Sonya,10
Sima,10
Shayna,10
Shani,10
Sandra,10
Rochelle,10
Penina,10
Nihyaya,10
Lee,10
Karen,10
Hanna,10
Hala,10
Gita,10
Gilada,10
Ester,10
Einav,10
Devorah,10
Chana,10
Cela,10
Bilha,10
Avigail,10
Anne-Joelle,10
Anda,10
Amy,10
Amira,10
Abigail,10
Aarona,10
Zsuzsi,8
Zehavit,8
Zeeva,8
Yulia,8
Yafi,8
Uriela,8
Shoshana-Lily,8
Shirley,8
Shifra,8
Sawsan,8
Roni,8
Ora,8
Olga,8
Noam,8
Niven,8
Nina,8
Mor,8
Mina,8
Michelle,8
May,8
Marina,8
Marian,8
Lironne,8
Karin,8
Itta,8
Ita-Tali,8
Inbar,8
Hila,8
Halla,8
Hadassah,8
Geula,8
Eva,8
Emi,8
Elte,8
Elina,8
Daphne,8
Dalit,8
Bina,8
Ben,8
Batya,8
Ariela,8
Alisa,8
Alina,8
Alexandra,8
Ahuva,8
Aharona,8
Adina,8
Zipora,6
Zahava,6
Tzipora,6
Tehila,6
Tatiana,6
Tamara,6
Talya,6
Sophie,6
Simona,6
Sari,6
Rose,6
Ronny,6
Pearl,6
Oshrat,6
Omer,6
Nitza,6
Natalie,6
Moussa,6
Miryam,6
Mika,6
Miar,6
Mazal,6
Maram,6
Maayan,6
Linda,6
Lihi,6
Lia,6
Leonidovna,6
Kerin,6
Karine,6
Julia,6
Ita,6
Irina,6
Hedva,6
Hava,6
Genya,6
Gal,6
Freha,6
Fania,6
Eti,6
Emma,6
Diana,6
Dganit,6
Deena,6
Cypora,6
Cohen,6
Cheryl,6
Bas-Sheva,6
Barbara,6
Ami,6
Ziva,4
Zipporah,4
Zippi,4
Zionit,4
Zepora,4
Zehavi,4
Yotam,4
Yardena,4
Ya'el-Naomi,4
Varda,4
Tzipporah,4
Tsilla,4
Touma,4
Tikva,4
Tasnin,4
Tania,4
Talila,4
Talie,4
Tahel,4
Stav,4
Sondos,4
Smadar,4
Simcha,4
Sigalia,4
Shiri,4
Shiraz,4
Shimona,4
Shakhar,4
Shai-Lee,4
Sela,4
Sarikah,4
Sagit,4
Ruti,4
Ruhama,4
Rosa,4
Rodica,4
Rita,4
Rimon,4
Rena,4
Rakefet,4
Rahman,4
Paula,4
Paola,4
Ophir,4
Noga,4
No'a,4
Nira,4
Neta,4
Neichu,4
Nehama,4
Nechama,4
Natasha,4
Nadine,4
Nadia,4
Myra,4
Musha,4
Muriel,4
Monika,4
Mona,4
Molly,4
Mimi,4
Miki,4
Mijal,4
Meyrav,4
Meli,4
Marie,4
Mariam,4
Marcie,4
Marcelle,4
Magda-Margalit,4
Louise,4
Lois,4
Lital,4
Lior,4
Lilian,4
Levi,4
Kathleen,4
Kasa,4
Julie,4
Joan,4
Jasmine,4
Janine,4
Ilanit,4
Idit,4
Ibtisam,4
Huguette,4
Hilla,4
Hilah,4
Heli,4
Haya,4
Havah,4
Hassia,4
Harela,4
Harel,4
Har'el,4
Hanna-Malkah,4
Hanin,4
Haneen,4
Hadassa,4
Gohar,4
Gili-Bat-Ami,4
Gefen,4
Galyah,4
Galia,4
Gali,4
Gadeer,4
Gabriella,4
Freida,4
Frances,4
Faina,4
Even,4
Ety,4
Eshkol,4
Ellen,4
Elizabeth,4
Elinor,4
Elena,4
Edith,4
Drora,4
Ditza,4
Dekel,4
Deganit,4
Daphna,4
Danya,4
Danit,4
Clara,4
Chayita,4
Caron,4
Carmen,4
Carmella,4
Buch,4
Bracha,4
Ben-Asher,4
Ben-Ari,4
Bella,4
Batsheva,4
Bat-El,4
Bat-Eden,4
Bat-Ami,4
Barnea,4
Bar-Li,4
Bar,4
Aya,4
Aura,4
Atalya,4
Arnona,4
Ariel,4
Ann,4
Anastassia,4
Amit,4
Amalia,4
Aloni,4
Aloma,4
Alisah,4
Ahlama,4
