name,frequency
Aby,4
Adiel,4
Afou,4
Afu,4
Aiman,4
Akiva,4
Alek,4
Alpaolo,4
Amatzia,4
Amjad,4
Andrei,4
Anton,4
Arnold,4
Asi,4
Assaf-Moshe,4
Aviezer,4
Avihu,4
Avinoam,4
Avriel,4
Awigdor,4
Azaria,4
Bahij,4
Bar-Siman,4
Barel,4
Barry,4
Barukh,4
Ben-Joseph,4
Ben-Shmuel,4
Benzi,4
Bernard,4
Bernardo,4
Betzalel,4
Binjamin,4
Binyomin,4
Brian,4
Chanoch,4
Charlie,4
Cherif,4
Chezi,4
Chezy,4
Chilik,4
Daniel-Yitzhak,4
Dean,4
Desta,4
Dimitri,4
Dimitry,4
Dori,4
Edmund,4
Eduardovich,4
Eliser,4
Elizer,4
Eric,4
Etty-Hava,4
Eugene,4
Evan-Gary,4
Evgenii,4
Eviatar,4
Ezriel,4
Fateen,4
Felix,4
Freddy,4
Gabby,4
Gary,4
Gennady,4
Gidi,4
Gil'ad,4
Gilead,4
Gili,4
Gregory,4
Gur,4
Halad,4
Halevi,4
Halevy,4
Hamed,4
Hamza,4
Hana,4
Hanna,4
Hanoch,4
Hashem,4
Hemi,4
Hen,4
Herman,4
Hermann,4
Herzi,4
Ilia,4
Ilya,4
Iosif,4
Ismail,4
Itschak,4
Itzchak,4
Iyad,4
Izz,4
Jaakov,4
Jaber,4
Jabreen,4
Jalal,4
Jamil,4
Janusz,4
Jariv,4
Jay,4
Jeffrey,4
Johanan,4
Kamil,4
Klil-Or,4
Kobe,4
Koby,4
Kotay,4
Leo-Michael,4
Maklouf,4
Marc,4
Marian,4
Martin,4
Matania,4
Matanya,4
Mazor,4
Meron,4
Mihail,4
Mikey,4
Mishael,4
Mishel,4
Modi,4
Mofid,4
Moran,4
Mordecai,4
Mordehai-Bivas,4
Mordehai-Bives,4
Mosche,4
Moshe-David,4
Na'im,4
Naggi,4
Nahman,4
Navot-Tal,4
Neal,4
Neil,4
Nephtali,4
Netanel,4
Nisan,4
Niso,4
Nissan,4
Nisso,4
Nittay,4
Nizar,4
Noaz,4
Nuriel,4
Ofek,4
Offer,4
Or-Hadash,4
Osher,4
Otniel,4
Ovad,4
Ovadiah,4
Pablo,4
Peleg,4
Peretz,4
Pesah,4
Philip,4
Pinchas,4
Rachamim,4
Rahamim,4
Raiek,4
Rakhimovich,4
Raphy,4
Rezso,4
Roland,4
Roman,4
Ronit,4
Ronni,4
Rubik,4
Rudolph,4
Ruvi,4
Ruvik,4
Salaman,4
Sale,4
Salim,4
Sassi,4
Segev,4
Semion,4
Sergei,4
Sergey,4
Shabtai,4
Shacham,4
Shachar,4
Shaked,4
Shalom-Avraham,4
Sharif,4
Sharly,4
Shauli,4
Shemi,4
Shevach,4
Shevah,4
Shmaryahu,4
Shuka,4
Shumel,4
Shy,4
Silvan,4
Silwan,4
Simcha,4
Sorin,4
Sylvan,4
Tamara,4
Tibor,4
Tzahi,4
Tzuriel,4
Tzvika,4
Uziel,4
Uzzi,4
Vadym,4
Viacheslav,4
Wizman,4
Yaakov-David,4
Yacov-David,4
Yaki,4
Yakov-David,4
Yedida,4
Yedidia,4
Yeheskell,4
Yeheskiel,4
Yehonathan,4
Yevgenii,4
Yevgeniy,4
Yevgeny,4
Yiftach,4
Yitschak,4
Yitshak,4
Yona,4
Yoray,4
Yossef-Avni,4
Yoël,4
Yuli-Yoel,4
Yvette,4
Zachi,4
Zecharia,4
Zev,4
Alali,6
Alan,6
Alec,6
Aleli,6
Amikam,6
Amram,6
Andrey,6
Arkadi,6
Arkadii,6
Arkadiy,6
Aron,6
Avi'el,6
Basal,6
Bassel,6
Beni,6
Bennie,6
Carmel,6
Charles,6
Chemi,6
Denis,6
Dmitrii,6
Dovid,6
Dudi,6
Edan,6
Eden,6
Effie,6
Elan,6
Elias,6
Elichai,6
Elie,6
Elon,6
Erik,6
Evgeniy,6
Evgeny,6
Fadi,6
Gaby,6
Gavriel,6
Golan,6
Haggai,6
Hagi,6
Hassan,6
Haïm,6
Hilik,6
Husam,6
Jerious,6
Khalid,6
Leo,6
Leon,6
Liad,6
Louis,6
Mickey,6
Mikhael,6
Mor,6
Nabiya,6
Nachman,6
Naftaly,6
Naim,6
Naor,6
Nawaf,6
Nehemia,6
Nehemiah,6
Oizer,6
Opher,6
Or,6
Oscar,6
Oskar,6
Paul,6
Raanan,6
Roei,6
Ruslan,6
Ruth,6
Savelii,6
Saveliy,6
Savely,6
Shir,6
Stanislav,6
Stefan,6
Tali,6
Tuvia,6
Tzachi,6
Vladislav,6
Yechezkel,6
Yedidya,6
Yisroel,6
Yochanan,6
Yorai,6
Yoseph,6
Zevulun,6
Ziad,6
Zvulun,6
Adi,8
Adrian,8
Amin,8
Amiram,8
Andrew,8
Ari,8
Arthur,8
Aviad,8
Aviel,8
Barak,8
Basil,8
Bassam,8
Bentzi,8
Dmitriy,8
Dudu,8
Eliran,8
Elisha,8
Emanuel,8
Emmanuel,8
Firas,8
Fouad,8
Fuad,8
G'emal,8
Gad,8
Gemal,8
Getzel,8
Hezi,8
Iakov,8
Icchak,8
Iddo,8
Karmel,8
Leonid,8
Lev,8
Maxim,8
Mazen,8
Me'ir,8
Mordechay,8
Mordehai,8
Nachum,8
Nir-Chaim,8
Ozer,8
Pinhas,8
Raleb,8
