name,frequency
Abadi-Boyanjo,4
Abergil,8
Abraham,6
Abramovich,10
Abramovitch,6
Abutbul,14
Adam,8
Adato,10
Admon,10
Adra,6
Afek,8
Afek-Herzog,4
Aharoni,8
Akounis,10
Akov,10
Akunis,12
Alexenberg,6
Almog,12
Alon,18
Alperin,10
Alperon,34
Amar,26
Amar-Ben-Nissan,8
Amidror,10
Amihai,10
Amitai,12
Amsalam,10
Amsalem,18
Amsellem,10
Antebi,8
Apartsev,10
Aparzev,8
Apter,6
Arazi,10
Arbel,16
Arbiv,8
Arditi,6
Arens,12
Argaman,8
Ariel,6
Arieli,8
Arnon,18
Asher,12
Ashkenazi,20
Atar,6
Atias,10
Atrash,6
Auerbach,8
Avidan,6
Aviner-Vapni,20
Aviram,6
Aviran,12
Avital,20
Avitan,12
Aviv,6
Avivi,6
Ayalon,20
Ayash,6
Azar,10
Azoulay,8
Azulai,6
Azulay,10
Babad,8
Bachar,18
Bachman,6
Bahloul,6
Baker,12
Balila,16
Ballas,6
Balmas,6
Bar,34
Bar-Lev,34
Bar-Muha,8
Bar-Nathan,8
Bar-Nir,8
Bar-On,32
Bar-Shalom,6
Bar-Tal,12
Bar-Tov,6
Bar-Yosef,6
Barak,36
Baraq,8
Bardach-Yalov,8
Barkan,8
Barkat,10
Barlev,10
Barnea,8
Baron,6
Bashir,6
Bavly,6
Becher,12
Begin,28
Behar,6
Beinisch,10
Beinish,12
Ben-Ami,34
Ben-Ari,46
Ben-Arie,8
Ben-Artzi,72
Ben-Artzi-Rothman,8
Ben-Aryeh,8
Ben-Barak,6
Ben-Dahan,6
Ben-David,52
Ben-Dor,6
Ben-Dov,12
Ben-Eliezer,32
Ben-Gad,12
Ben-Gvir,8
Ben-Haim,22
Ben-Hamo,8
Ben-Hayun,6
Ben-Hemo,8
Ben-Horin,12
Ben-Israel,34
Ben-Izri,16
Ben-Matityahu,10
Ben-Matityau,12
Ben-Menachem,8
Ben-Menahem,8
Ben-Moshe,6
Ben-Naftaali,8
Ben-Naftali,6
Ben-Naim,10
Ben-Nissan,6
Ben-Nun,8
Ben-Sasson,22
Ben-Sasson-Furstenberg,8
Ben-Shaul,6
Ben-Shitrit,20
Ben-Shmuel,20
Ben-Simon,6
Ben-Tura,6
Ben-Uliel,14
Ben-Yaakov,12
Ben-Yezri,16
Ben-Yisrael,36
Ben-Yizri,16
Ben-Zaken,8
Ben-Ze'ev,8
Ben-Zeev,10
Ben-Zvi,26
Benayahu,10
Benizri,6
Bennett,22
Berdach-Yalov,8
Berland,8
Berlin,10
Bibi,8
Bielski,8
Bin-Noun,8
Bin-Nun,8
Bina,6
Binah,6
Biran,12
Biran-Bayor,20
Bishara,16
Biton,18
Bitton,10
Blumenthal,8
Bogorad,12
Boim,12
Boker,6
Borovich,6
Borovsky,6
Bramly,6
Braverman,12
Brog,22
Brook-Krasny,6
Brosh,18
Buchris,10
Bukarskii,8
Bukarskiy,6
Bukarsky,6
Bukarskyi,8
Burg,12
Burg-Ben-Sasson,8
Burshtein,10
Burshteyn,6
Car-Vajal,24
Carmon,14
Caspi,6
Chen,14
Cherney,6
Cheshin,32
Chesin,28
Cohen,184
Cohen-Litant,6
Dadonn,14
Dagan,16
Dahan,6
Damari,6
Dan-On,8
Dancziger,8
Daniel,8
Danieli,6
Dankner,16
Danon,12
Danziger,6
David,18
Dayan,78
Deek,8
Degan,6
Deichter,10
Deri,22
Dermer,8
Dery,20
Dichter,30
Dicter,10
Divon,8
Don-Yichye,6
Dorfman,6
Doron,8
Driham,6
Eban,12
Edelstein,20
Edery,8
Edrey,6
Edri,16
Efrati,8
Ehrmann,8
Ehrmann-Shek,12
Eidelman,4
Eilon-Ayalon,4
Eisencott,10
Eisenkot,10
Eitam,8
Eitan,10
Eizencout,10
Eizenkot,10
El-Sana,8
Elbaz-Danon,6
Eldad,22
Eldan,14
Eldar,6
Elharar,6
Elharrar,6
Eliaz,6
Elimelech,4
Elishov-Elyashiv,8
Eliyahu,12
Elkayam,6
Elkin,10
Elmakais,4
Elmakias,4
Elmakis,4
Elmaliach,4
Elmoznino,4
Elon,6
Elovich,4
Elovitch,6
Elron,6
Elyashiv,32
Elyashiv-Auerbach,4
Elyashiv-Aurbach,4
Elyashiv-Berlin,10
Elyashiv-Kanievsky,8
Elyashiv-Reimer,12
Elyashiv-Rimmer,12
Elyashiv-Yisraelzohn,4
Elyashive,4
Englman,4
Epstein,4
Erdan,4
Erdman-Rath,4
Eshbal,4
Eshbol,4
Eshel,16
Eskin,4
Ettinger,6
Even,4
Evrony,10
Eyal,6
Eyalon,4
Ezra,18
Fainaru,4
Farij,8
Feiglin,22
Feirberg,8
Feldman,6
Ferdani,6
Ferdani-Katsav,8
Ferdani-Katzav,8
Filippov,14
Finkelstain,12
Finkelstein,20
Fisher,12
Fogel,8
Forer,10
Frankel,10
Freej,8
Freige,8
Frej,10
Frenkel,6
Friedman,22
Frij,8
Froman,8
Fuchs,14
Furman,6
Gabai,14
Gabay,6
Gabbay,8
Gal,10
Gal-On,24
Galanti,6
Galili,6
Gallant,10
Galon,8
Gamliel,8
Ganaim,6
Gantz,18
Ganz,6
