name,frequency
Asa,4
Ema,4
Yua,4
Chia,4
Eika,4
Saya,4
Tama,4
Akina,4
Asaka,4
Ayuka,4
Emika,4
Kyoka,4
Maria,4
Reira,4
Ryoka,4
Ryuka,4
Kyohka,4
Manaya,4
Matoka,4
Momoka,4
Ryohka,4
Ryuhka,4
Serina,4
Yukina,4
Yurina,4
Grazyna,4
Katsura,4
Tsukasa,4
Tsuyaka,4
Fuka,6
Hisa,6
Kiwa,6
Sada,6
Taka,6
Waka,6
Yuma,6
Erena,6
Fuhka,6
Hanna,6
Maaya,6
Reona,6
Seika,6
Yuika,6
Kiyoka,6
Marina,6
Nakata,6
Nanaka,6
Yumeka,6
Mashuka,6
Michika,6
Matsueda,6
Hana,8
Koma,8
Rena,8
Runa,8
Yuna,8
Akira,8
Yuhna,8
Kureha,8
Yumina,8
Chika,10
Erina,10
Reika,10
Yuria,10
Fumika,10
Haruna,10
Nagisa,10
Suzuka,10
Aika,12
Masa,12
Reina,12
Tomoka,12
Chigusa,12
Chisa,14
Madoka,14
Anna,16
Sakura,16
Wakana,16
Maya,18
Arisa,18
Yurika,18
Misa,20
Azusa,20
Mina,22
Miwa,26
Shizuka,26
Erika,32
Rina,34
Ayaka,34
Asuka,36
Nana,40
Sayaka,40
Kana,42
Yuhka,42
Haruka,52
Rika,54
Risa,54
Aya,70
Yuka,96
Mika,120
Sae,4
Tae,4
Yae,4
Mime,4
Naoe,4
Orie,4
Yone,4
Ayane,4
Fukue,4
Hanae,4
Kiyoe,4
Kunie,4
Mamie,4
Mikae,4
Misae,4
Sakae,4
Satoe,4
Shige,4
Sonoe,4
Tadae,4
Tamie,4
Terue,4
Yayoe,4
Kazuse,4
Natsue,4
Setsue,4
Pascale,4
Ise,6
Kae,6
Moe,6
Ute,6
Alize,6
Grace,6
Kinue,6
Momoe,6
Sasae,6
Kaname,6
Katsue,6
Michie,6
Chitose,6
Fujie,8
Kikue,8
Masue,8
Mizue,8
Chikage,8
Marie,10
Mikie,10
Nanae,10
Chiyoe,10
Fusae,12
Kaede,12
Nobue,12
Takae,12
Yurie,12
Sachie,12
Kozue,14
Akie,16
Hisae,16
Tomie,16
Yasue,16
Hiroe,18
Harue,20
Kanae,20
Norie,20
Tamae,20
Hatsue,20
Mie,24
Akane,24
Tomoe,26
Fumie,28
Sumie,28
Shizue,28
Kimie,32
Toshie,32
Masae,34
Mitsue,34
Chie,56
Sanae,60
Kazue,70
Yukie,78
Yoshie,80
Rie,106
Kii,4
Omi,4
Arei,4
Echi,4
Fuji,4
Azami,4
Emiri,4
Miaki,4
Naoki,4
Sachi,4
Yuuki,4
Yuumi,4
Hikari,4
Hisami,4
Kanari,4
Kazuki,4
Kikumi,4
Kotomi,4
Koyuki,4
Noyuri,4
Satori,4
Shoshi,4
Takumi,4
Shihori,4
Tsugumi,4
Tsunemi,4
Katsuaki,4
Haruyoshi,4
Takatoshi,4
Edi,6
Mei,6
Iori,6
Kuni,6
Tami,6
Akari,6
Asumi,6
Ayami,6
Moemi,6
Atsumi,6
Kanami,6
Kurumi,6
Motomi,6
Nahomi,6
Tamaki,6
Chinami,6
Shohshi,6
Shoushi,6
Tatsumi,6
Nori,8
Tomi,8
Toshi,8
Haruhi,8
Honami,8
Tokimi,8
Mitsuki,8
Sumi,10
Mirai,10
Toyomi,10
Mutsumi,10
Rui,12
Airi,12
Anri,12
Kimi,12
Nami,12
Ikumi,12
Yoshi,12
Komaki,12
Yukimi,12
Shigemi,12
Yui,14
Aimi,14
Juri,14
Kasumi,14
Chiyomi,14
Natsuki,14
Ami,16
Kei,16
Rei,16
Yuhri,16
Chiemi,16
Toshimi,16
Fumi,18
Michi,18
Yuhmi,18
Hidemi,18
Mizuki,18
Narumi,18
Takami,18
Aki,20
Aoi,22
Rumi,22
Hatsumi,24
Masumi,26
Shiori,26
Tamami,26
Manami,28
Misaki,28
Satsuki,28
Chiaki,30
Yayoi,32
Terumi,32
Nozomi,34
Natsumi,36
Kumi,38
Asami,40
Saki,42
Ayumi,42
Izumi,42
Saori,44
Yoshimi,44
Satomi,46
Sayuri,46
Yuhki,50
Masami,50
Mai,54
Eri,56
Harumi,56
Mari,60
Yuri,60
Kiyomi,66
Mami,72
Kazumi,74
Tomomi,78
Maki,82
Midori,84
Emi,86
Akemi,86
Miki,96
Hitomi,96
Yukari,100
Yumi,106
Miyuki,120
Naomi,124
Yuki,128
Kaori,134
Megumi,164
Hiromi,198
Mayumi,226
Reo,4
Ryo,4
Sho,4
Kiko,4
Momo,4
Tayo,4
Yuno,4
Chuko,4
Imako,4
Ineko,4
Mioko,4
Moeko,4
Naeko,4
Renko,4
Saiko,4
Shuko,4
Sueno,4
Fukuko,4
Fukuyo,4
Kakuko,4
Kaneko,4
Kiriko,4
Kiwako,4
Kosato,4
Marino,4
Misawo,4
Nahoko,4
Nakako,4
Risako,4
Ryuhko,4
Ryuuko,4
Sayako,4
Sekiko,4
Shuhko,4
Shuuko,4
Sumako,4
Takayo,4
Takiko,4
Tomiyo,4
Chiyono,4
Natsuyo,4
Tsuguko,4
Tsukiyo,4
Tsuyuko,4
Sakurako,4
Shidzuko,4
Hiro,6
Kaho,6
Maho,6
Sato,6
Tomo,6
Igiko,6
Itoko,6
Kaeko,6
Miiko,6
Riuko,6
Shiko,6
Shino,6
Taiko,6
Teiko,6
Umeno,6
Yuiko,6
Fujino,6
Hirono,6
Kikako,6
Kinuyo,6
Maruko,6
Shinko,6
Tadako,6
Taduyo,6
Tamako,6
Tazuyo,6
Tokuko,6
Chisako,6
Shihoko,6
Tadzuyo,6
Tsukiko,6
Yoshino,6
Rio,8
Mito,8
Sayo,8
Toyo,8
Ayuko,8
Kieko,8
Saeko,8
Hanayo,8
Hinako,8
Itsuko,8
Misato,8
Momoyo,8
Nanako,8
Sawako,8
Sonoko,8
Sumiyo,8
Suzuko,8
Tamayo,8
Tazuko,8
Tomoyo,8
Yachiyo,8
Mao,10
Riko,10
Akiyo,10
Ginko,10
Ikuyo,10
Ryuko,10
Fukiko,10
Jyunko,10
Kimiyo,10
Masayo,10
Yoneko,10
Yukino,10
Yukiyo,10
Matsuko,10
Shizuyo,10
Tsuneko,10
Chidzuko,10
Haruyo,12
Hisayo,12
Masuko,12
Namiko,12
Rikako,12
Sakiko,12
Takeko,12
Natsuko,12
Mio,14
Mako,14
