name,frequency
Yuta,714
Yuya,606
Kota,208
Yuma,90
Koya,40
Sota,38
Sora,24
Yota,22
Akira,1344
Yuhta,694
Yuhya,596
Shota,514
Kenta,510
Ryota,388
Naoya,328
Keita,270
Junya,244
Kohta,206
Seiya,170
Ryuta,138
Yuhma,90
Ryuya,76
Ryoma,72
Kenya,54
Kinya,46
Shuya,42
Taiga,42
Shoma,40
Kohya,40
Sohta,36
Shoya,32
Kanta,32
Shuta,32
Ryoya,30
Seita,30
Genta,28
Arata,24
Yohta,22
Ryoga,22
Kyoya,22
Ryuma,22
Taira,22
Takuya,834
Kazuya,770
Shinya,666
Yutaka,638
Shohta,504
Ryohta,388
Masaya,316
Kazuma,234
Tomoya,224
Takuma,158
Ryuhta,134
Takaya,120
Rikiya,88
Hiroya,78
Ryohma,72
Ryuhya,72
Fumiya,62
Shunya,44
Hideya,40
Shohma,40
Shuhya,38
Mikiya,38
Shuhta,32
Shohya,32
Ryohya,28
Yukiya,28
Shunta,26
Hisaya,24
Atsuya,24
Kyohya,22
Ryuhma,20
Tatsuya,912
Tetsuya,690
Katsuya,244
Tsukasa,206
Tsubasa,184
Toshiya,114
Chikara,92
Akihisa,78
Yoshiya,58
Naohisa,46
Naotaka,44
Akimasa,40
Naomasa,20
Hirotaka,258
Masataka,204
Kiyotaka,150
Kazumasa,146
Kazuhisa,136
Yasutaka,132
Hiromasa,116
Takahisa,108
Kazutaka,102
Takamasa,86
Yasuhisa,78
Nobutaka,64
Yasumasa,64
Hidetaka,60
Tomohisa,54
Hirohisa,52
Fumitaka,50
Norihisa,50
Tomotaka,48
Takehisa,44
Noritaka,38
Nobuhisa,32
Masahisa,32
Kimitaka,30
Haruhisa,30
Nobumasa,26
Teruhisa,24
Takemasa,24
Terumasa,22
Hidemasa,22
Norimasa,22
Yukimasa,20
Yukihisa,20
Yoshitaka,330
Yoshihisa,198
Yoshimasa,110
Toshitaka,76
Toshihisa,48
Toshimasa,46
Katsuhisa,46
Katsumasa,36
Mitsumasa,34
Mitsutaka,32
Michitaka,24
Shigehisa,22
Shigetaka,22
Yoshitada,22
Sakae,48
Yusuke,748
Hajime,398
Kosuke,272
Yosuke,244
Eisuke,50
Kaname,40
Sosuke,22
Daisuke,942
Yuhsuke,722
Keisuke,486
Ryosuke,278
Kohsuke,272
Yohsuke,240
Kyosuke,106
Kensuke,104
Taisuke,80
Ryusuke,70
Yuusuke,38
Shusuke,32
Akihide,32
Sohsuke,22
Yousuke,20
Ryohsuke,280
Shunsuke,226
Shinsuke,146
Masahide,104
Kyohsuke,104
Kazuhide,74
Takahide,62
Ryuhsuke,58
Tomohide,46
Hirohide,42
Yasuhide,34
Shuhsuke,28
Hirotake,24
Ryousuke,22
Yukihide,22
Masatake,20
Yoshihide,86
Toshihide,66
Ryunosuke,64
Katsuhide,48
Kazushige,46
Mitsuhide,42
Hiroshige,26
Masashige,22
Yoshitake,20
Ryuhnosuke,62
Shinnosuke,52
Katsushige,26
Yu,382
Go,90
Jo,72
Ko,66
So,30
Yo,26
Ryo,664
Sho,446
Ryu,130
Shu,72
Jiro,152
Taro,126
Goro,52
Kohzo,164
Shiro,100
Keizo,90
Yuhzo,72
Kenzo,68
Taizo,58
Seizo,30
Yohzo,22
Daizo,20
Ichiro,246
Shohzo,106
Saburo,74
Takuro,66
Ryohzo,38
Shuhzo,34
Ryuhzo,32
Kentaro,256
Kohtaro,184
Tetsuro,114
Yuhtaro,106
Toshiro,86
Kohjiro,66
Yoshiro,64
Kenjiro,62
Yuhjiro,52
Tatsuro,46
Keitaro,40
Seijiro,28
Seitaro,22
Daijiro,20
Shintaro,164
Shohtaro,68
Ryuhtaro,66
Shinjiro,36
Ryohtaro,32
Eiichiro,32
Kohshiro,30
Shohjiro,26
Kiichiro,22
Yuhichiro,148
Kohichiro,146
Kenichiro,140
Keiichiro,66
Seiichiro,60
Sohichiro,58
Junichiro,56
Yohichiro,40
Shinichiro,170
Shuhichiro,30
Ryuhichiro,26
Kei,178
Dai,86
Kai,46
Rei,36
Sei,34
Aoi,32
Rui,30
Koji,1624
Yuki,1336
Yuji,1112
Eiji,554
Koki,246
Yoji,122
Joji,108
Miki,40
Eiki,36
Riki,22
Kenji,1662
Kohji,1590
Yuhki,1270
Yuhji,1062
Naoki,822
Seiji,598
Daiki,496
Ryuji,470
Shoji,336
Keiji,332
Kohei,326
Shuji,294
Kohki,240
Junji,194
Ryoji,188
Yohei,182
Kouji,124
Yohji,122
Johji,110
Yudai,110
Issei,88
Genki,86
Yuuji,84
Reiji,66
Kanji,66
Taiki,64
Ippei,58
Seiki,48
Izumi,48
Yuhei,46
Yushi,46
Kodai,42
Kinji,36
Shoki,34
Motoi,34
Kosei,34
Taiji,34
Koshi,32
Yusei,32
Yuuki,32
Toshi,30
Kyoji,28
Naomi,26
Kouki,26
Ryuki,24
Ryoki,22
Teiji,22
Ibuki,22
Genji,22
Asahi,22
Youji,20
Koichi,1108
Hiroki,884
Masaki,768
Shinji,750
Hideki,706
Kazuki,628
Yuichi,610
Ryuhji,452
Takumi,414
Masami,400
Yoichi,334
Shohji,330
Kohhei,310
Shuhji,270
Eiichi,242
Kazumi,234
Shohei,220
Daichi,190
Ryohji,182
Yohhei,176
Hiromi,174
Shuhei,148
Tomoki,144
Ryohei,138
Shunji,126
Haruki,122
Taichi,120
Yuhdai,104
Junpei,96
Motoki,94
Kyohei,86
Takuji,82
Kiichi,76
Masumi,64
Taishi,62
Itsuki,62
Ryusei,56
Teppei,54
Shouji,50
Hidemi,48
Keishi,46
Soichi,46
Mizuki,44
Yuhshi,44
Ryuhei,44
Kohdai,42
Yuhhei,42
Naoaki,40
Kiyomi,38
Kohsei,38
Shuuji,36
Takaki,36
Tomomi,36
Shohki,34
Yuhsei,32
Kohshi,32
Taisei,32
Kouhei,32
Chiaki,30
Yasuji,28
Kyohji,28
Nobuki,28
Kenshi,28
Terumi,28
Tamaki,28
Daishi,26
Atsuki,26
Hikari,26
Hibiki,24
Ryouji,24
Ryuhki,24
Hijiri,24
Yasuki,22
Fuyuki,22
Arashi,22
Harumi,22
Ryohki,20
Atsumi,20
Ryuuji,20
Hiroshi,2458
Takashi,2156
Takeshi,1226
Kohichi,1060
Kenichi,916
Satoshi,900
Atsushi,780
Hiroaki,776
