name,frequency
Adina,21
Aida,66
Aidana,19
Aiganym,24
Aigerim,91
Aigul,193
Aijan,70
Aima,18
Aiman,47
Ainagul,18
Ainur,77
Ainura,18
Aisha,17
Aisulu,28
Aizhan,74
Ajar,49
Akbota,11
Akerke,24
Akmaral,40
Aktoty,15
Alia,218
Aliia,144
Alima,23
Alina,33
Aliya,219
Alla,19
Alma,34
Almagul,54
Almira,18
Altyn,18
Altynai,34
Altynay,33
Altynshash,11
Alua,44
Amina,56
Anar,40
Anara,35
Anarkul,12
Anel,30
Anjela,11
Anna,40
Anzhela,15
Ardak,25
Arujan,50
Aruzhan,49
Asel,193
Asem,34
Asemgul,15
Asia,53
Asiia,17
Asiya,49
Aydana,17
Ayganym,24
Aygerim,90
Aygul,181
Ayjan,72
Ayman,45
Aynagul,17
Aynakul,11
Aynur,73
Aynura,17
Aysha,13
Aysulu,30
Ayzhan,69
Azhar,46
Aziza,20
Bagila,14
Bahtygul,11
Bahyt,39
Bahytgul,16
Baian,48
Bakhtygul,11
Bakhyt,52
Bakhytgul,15
Bakyt,18
Bakytgul,14
Baldyrgan,12
Baljan,18
Balzhan,16
Banu,14
Bayan,53
Bibigul,36
Botagoz,60
Botakoz,19
Dameli,20
Damira,11
Dana,110
Danara,26
Dania,19
Daniia,12
Daniya,18
Daria,26
Dariga,14
Dariia,15
Dariya,27
Diana,30
Diliara,12
Dilyara,12
Dina,89
Dinara,125
Djamilia,19
Djamilya,19
Dzhamilia,19
Dzhamilya,17
Elmira,73
Elvira,31
Erkejan,16
Erkezhan,16
Farida,26
Fatima,19
Galia,115
Galiia,72
Galina,44
Galiya,114
Gauhar,92
Gaukhar,91
Gaziza,17
Gulbanu,33
Guljan,60
Gulmira,131
Gulnar,107
Gulnara,178
Gulnaz,15
Gulnur,24
Gulsara,14
Gulshara,17
Gulshat,28
Gulsim,11
Gulzada,16
Gulzat,15
Gulzhan,61
Indira,53
Inkar,24
Irina,60
Jamal,11
Jamilia,42
Jamilya,40
Janar,121
Janat,40
Janel,18
Jania,13
Janiya,14
Janna,75
Jannat,18
Jansaia,11
Jansaya,14
Jansulu,11
Jibek,23
Juldyz,19
Jumagul,11
Kamar,28
Kamila,24
Kamilia,25
Kamilla,11
Kamilya,23
Karima,16
Karina,12
Karlygash,74
Klara,21
Korlan,13
Kuliash,47
Kulyash,44
Kuralai,35
Kuralay,33
Kymbat,16
Larisa,40
Laura,62
Lazzat,11
Leila,58
Lelia,16
Lelya,16
Leyla,57
Liailim,12
Liaylim,12
Liazzat,90
Liubov,25
Liudmila,65
Lyailim,12
Lyazzat,87
Madina,126
Maiia,19
Maira,70
Maiya,19
Makhabbat,11
Makpal,17
Malika,40
Manat,14
Manshuk,14
Maral,22
Mariam,23
Mariyam,12
Marjan,32
Marzhan,31
Marzia,15
Marziya,13
Mayia,20
Mayra,63
Mayya,18
Medina,12
Meruert,58
Meruyert,22
Mira,25
Moldir,19
Nagima,30
Nailia,13
Nailya,12
Nazgul,40
Nazira,33
Nazym,14
Nurgul,50
Nuria,12
Nuriya,11
Nurjamal,16
Nursulu,11
Nurzhamal,16
Perizat,14
Rabiga,11
Raihan,28
Raikhan,29
Raisa,44
Raushan,121
Rauza,16
Rayhan,28
Raykhan,28
Raysa,12
Raziia,12
Raziya,12
Rimma,20
Rosa,11
Roza,140
Rysty,14
Sabina,40
Salima,12
Saltanat,88
Samal,14
Sanabar,13
Sandugash,13
Sania,21
Saniia,12
Saniya,23
Sara,38
Saule,284
Sholpan,159
Shynar,31
Sofia,25
Sofiia,12
Sofiya,22
Togjan,23
Togzhan,21
Tomiris,28
Venera,28
Yerkejan,15
Yerkezhan,16
Zamira,12
Zarema,12
Zarina,38
Zaure,56
Zauresh,45
Zeinep,11
Zere,37
Zeynep,11
Zhamal,11
Zhamilia,36
Zhamilya,32
Zhanar,117
Zhanara,13
Zhanat,39
Zhanel,17
Zhania,13
Zhaniya,14
Zhanna,84
Zhannat,18
Zhansaia,11
Zhibek,23
Zhuldyz,16
Zuhra,11
Zukhra,11
Zulfia,12
Zulfiia,15
Zulfiya,16
