name,frequency
Abai,69
Abay,60
Abibulla,26
Ablai,19
Abylai,22
Abylay,21
Abzal,47
Adil,109
Adilbek,41
Adilet,40
Adilhan,17
Adiljan,19
Adilkhan,19
Adilzhan,18
Aian,37
Aibek,55
Aidar,69
Aidos,56
Aidyn,38
Aisultan,33
Akan,16
Alan,30
Aldiar,16
Aldiiar,17
Aldiyar,23
Alen,16
Ali,50
Alibek,74
Alihan,48
Alik,19
Alikhan,47
Alimzhan,20
Alisher,54
Almas,90
Almat,33
Almaz,34
Altai,23
Altay,26
Altynbek,31
Amangeldi,42
Amangeldy,76
Amanjol,36
Amanzhol,38
Amir,65
Ansar,20
Anuar,104
Anvar,20
Ardak,50
Arman,266
Arsen,29
Artem,16
Artur,24
Arystan,24
Asan,30
Aset,69
Ashat,82
Askar,271
Askhat,97
Aslan,61
Asylbek,44
Ayan,45
Aybek,49
Aydar,62
Aydos,54
Aydyn,31
Aysultan,30
Azamat,195
Azat,38
Bagdat,45
Baglan,21
Bahtiar,34
Bahtiiar,27
Bahtiyar,36
Bahyt,40
Bahytjan,57
Bahytzhan,55
Bakhtiar,40
Bakhtiiar,34
Bakhtiyar,40
Bakhyt,40
Bakhytjan,55
Bakhytzhan,60
Bakyt,42
Bakytjan,98
Bakytzhan,99
Batyr,21
Batyrbek,19
Baurjan,85
Baurzhan,100
Bauyrjan,113
Bauyrzhan,119
Beibit,32
Bekbolat,32
Bekjan,29
Bektas,18
Bekzhan,25
Berik,149
Beybit,24
Birjan,28
Birzhan,27
Bolat,176
Bolatbek,23
Bulat,45
Chingiz,45
Damir,73
Daniar,168
Daniiar,150
Daniyar,166
Darhan,59
Darkhan,60
Dastan,38
Daulet,117
Dauren,178
Denis,23
Dias,31
Didar,19
Dinmuhamed,34
Dinmukhamed,31
Dulat,48
Duman,34
Edil,33
Eldar,40
Eldos,23
Elnar,19
Elnur,17
Erbol,116
Erbolat,48
Erik,47
Erjan,158
Erkebulan,23
Erken,19
Erkin,63
Erlan,271
Erlik,19
Ermek,93
Ernar,29
Erzhan,160
Farhad,17
Farkhad,17
Gabit,42
Galym,62
Galymjan,86
Galymzhan,79
Gani,52
Gaziz,48
Ibragim,19
Ilias,59
Iliyas,17
Ilyas,44
Isatai,22
Isatay,21
Islam,29
Jalgas,28
Janat,47
Janbolat,29
Jandos,47
Janibek,20
Jaslan,16
Jasulan,36
Jenis,34
Jomart,16
Kadyr,20
Kairat,299
Kaisar,29
Kanat,213
Kanatbek,31
Kanysh,17
Kayrat,255
Kaysar,28
Kazbek,27
Kenes,40
Kuandyk,39
Kuanysh,88
Kuanyshbek,27
Kuat,45
Madi,70
Madiar,38
Madiiar,41
Madiyar,45
Magjan,29
Magzhan,30
Mahambet,26
Makhambet,23
Maksat,54
Maksut,18
Malik,68
Mansur,18
Marat,346
Margulan,33
Marlen,16
Maulen,17
Maxat,31
Medet,26
Meiram,34
Meirambek,16
Mereke,21
Meyram,28
Miras,46
Muhammad,18
Muhit,17
Muhtar,118
Mukhit,18
Mukhtar,127
Murat,286
Muratbek,30
Muslim,28
Nariman,33
Nazim,16
Nurali,17
Nurbek,41
Nurbol,41
Nurbolat,30
Nurdaulet,22
Nurgali,21
Nurjan,113
Nurken,22
Nurlan,458
Nursultan,48
Nurtai,26
Nurtay,24
Nurzhan,120
Oljas,70
Olzhas,67
Omirjan,16
Omirzhan,17
Rahat,17
Rahymjan,16
Rahymzhan,17
Rakhat,16
Rakhymjan,18
Ramazan,20
Rashid,35
Rasul,17
Rauan,35
Renat,45
Rinat,34
Rustam,52
Rustem,84
Sabit,44
Saiat,22
Said,17
Saken,117
Samat,60
Sanjar,39
Sanzhar,41
Sayat,23
Serik,362
Serikbai,16
Serikjan,17
Serikzhan,16
Serjan,19
Serzhan,18
Shamil,23
Shokan,18
Shyngys,22
Sultan,60
Sultanbek,16
Syrym,39
Tair,38
Talgat,257
Temirkhan,17
Temirlan,36
Timur,211
Tolegen,43
Tulegen,22
Ualihan,18
Ualikhan,19
Ulan,55
Usen,18
Yedil,19
Yeldos,21
Yelnur,16
Yerbol,124
Yerbolat,52
Yergali,19
Yerik,36
Yerjan,154
Yerkebulan,24
Yerkin,57
Yerlan,313
Yerlik,21
Yermek,105
Yernar,24
Yernat,16
Yerzhan,183
Zhaksylyk,16
Zhalgas,27
Zhanat,43
Zhanbolat,43
Zhandos,42
Zhanibek,23
Zhasulan,43
Zhenis,32
Zhomart,25
