name,frequency
Abdildina,25
Abdrahmanova,44
Abdraimova,21
Abdrakhmanova,47
Abilova,12
Abisheva,19
Abliazova,13
Adilova,25
Ahmetbekova,12
Ahmetjanova,21
Ahmetova,56
Ahmetzhanova,23
Aimbetova,15
Aitjanova,12
Aitpaeva,12
Aitpayeva,12
Aitzhanova,12
Ak-Kuova,27
Akhmetbekova,12
Akhmetjanova,23
Akhmetova,60
Akhmetzhanova,22
Aldamjarova,12
Aldamzharova,12
Alieva,26
Aliyeva,26
Almagambetova,20
Almantayeva,11
Arynova,17
Arystanbekova,14
Asanova,26
Aubakirova,37
Aytjanova,12
Aytpaeva,11
Aytpayeva,12
Azimova,12
Balapanova,11
Balushkina,18
Balykbaeva,15
Balykbayeva,15
Beisenbekova,14
Bekbaeva,13
Bekbayeva,14
Bekjanova,14
Bektemirova,13
Bektureeva,14
Bektureyeva,13
Bekturganova,12
Bekturova,13
Bekzhanova,13
Berdalieva,19
Berdaliyeva,21
Beysenbekova,14
Bijanova,14
Bimendina,12
Bisenbaeva,13
Bisenbayeva,13
Bishimova,12
Bizhanova,12
Bobrova,12
Buribaeva,12
Buribayeva,13
Dosayeva,11
Dosmuhametova,11
Dosmukhambetova,11
Dosmukhametova,11
Dykanbayeva,11
Ermekbaeva,13
Ertlesova,12
Esetova,11
Esimova,21
Goncharova,15
Hasenova,11
Hrapunova,11
Ibraeva,22
Ibragimova,18
Ibraimova,16
Ibrasheva,16
Ibrayeva,25
Idrisova,16
Imanalieva,14
Imanaliyeva,14
Imasheva,18
Inkarbaeva,12
Inkarbayeva,12
Isaeva,11
Isayeva,12
Iskakova,25
Iusupova,15
Ivanova,11
Jakupova,15
Jakypova,13
Joldybaeva,11
Joldybayeva,11
Jumabaeva,13
Jumabayeva,13
Jumabekova,17
Jusupova,12
Kabidoldanova,22
Kalieva,14
Kaliyeva,15
Kanagatova,19
Kapysheva,11
Karabalina,12
Karashina,11
Karibjanova,22
Karibzhanova,21
Karimova,21
Karina,20
Kasymbekova,29
Kasymova,40
Kazbekova,11
Kenzhebaeva,12
Kenzhebayeva,11
Khasenova,12
Klincheva,13
Kojahmetova,11
Kojakhmetova,11
Kosherbaeva,17
Kosherbayeva,18
Kozhahmetova,11
Kozhakhmetova,11
Kuanyshbayeva,12
Kurmanova,15
Kusainova,33
Makasheva,17
Mamikova,18
Mamytbekova,14
Medeuova,14
Mirzagalieva,11
Mirzagaliyeva,11
Moldabekova,13
Muhamedjanova,24
Muhamedzhanova,25
Muhamejanova,11
Mukasheva,33
Mukhamedjanova,25
Mukhamedzhanova,24
Mukhamejanova,11
Mukusheva,13
Musaeva,20
Musayeva,19
Musina,42
Mynsharipova,12
Myrzahmetova,14
Myrzakhmetova,16
Nauryzbaeva,15
Nauryzbayeva,16
Nurgalieva,23
Nurgaliyeva,23
Nurmanbetova,11
Nurmukhambetova,11
Nurymbetova,14
Nygymetova,12
Omarbekova,19
Omarova,47
Ongarbaeva,21
Ongarbayeva,20
Ospanova,47
Rahimbekova,12
Rahimjanova,17
Rahimzhanova,17
Rahmetova,14
Raimbekova,12
Rakhimbekova,12
Rakhimjanova,16
Rakhimzhanova,18
Rakhmetova,15
Rakisheva,16
Ramazanova,30
Sabitova,15
Sadykova,28
Saparova,17
Sarsenbaeva,18
Sarsenbayeva,18
Sarsenova,12
Sauranbaeva,17
Sauranbayeva,17
Seitova,13
Serikbaeva,14
Serikbayeva,16
Serikova,12
Skakova,15
Smagulova,14
Smailova,18
Stambekova,12
Suleimenova,72
Suleymenova,66
Sultanova,26
Syzdykova,25
Tagasheva,21
Tatisheva,13
Tulegenova,15
Turganova,22
Turysova,12
Uldanova,29
Umbetova,14
Urazova,11
Usenova,17
Uspabaeva,11
Uspabayeva,11
Uzbekova,19
Yermagambetova,11
Yermekbayeva,13
Yertlesova,13
Yesetova,12
Yesimova,22
Yeskendirova,11
Yusupova,22
Zhakypova,13
Zhumabaeva,11
Zhumabayeva,13
Zhumabekova,21
Zhusupova,12
