name,frequency
Abdibekov,12
Abdiev,11
Abdigaliev,11
Abdigaliyev,14
Abdildin,21
Abdirov,21
Abdiyev,12
Abdrahmanov,42
Abdraimov,19
Abdrakhmanov,45
Abdullaev,21
Abdullayev,24
Abenov,23
Abildaev,12
Abildayev,14
Abiliazov,11
Abilov,18
Abisatov,15
Abishev,33
Abliazov,19
Ablyazov,11
Absattarov,13
Adamov,19
Adilov,20
Ahmetjanov,19
Ahmetov,98
Ahmetzhanov,19
Ainabekov,12
Aitahanov,14
Aitakhanov,15
Aitmuhametov,11
Aitmukhametov,14
Aituganov,11
Akhmetjanov,19
Akhmetov,109
Akhmetzhanov,18
Akkulov,11
Aldongarov,11
Alibekov,18
Aliev,51
Alimbayev,11
Alimjanov,17
Alimov,12
Alimzhanov,16
Aliyev,63
Aljanov,23
Almagambetov,17
Almuratov,15
Almusin,21
Alpysbaev,11
Alpysbayev,14
Alzhanov,23
Aman,20
Amanbaev,11
Amanbayev,11
Amanshayev,11
Amirov,12
Amraev,12
Amrayev,12
Amrin,11
Arinov,18
Aryn,20
Asanov,32
Ashimbayev,12
Ashimov,12
Atamkulov,23
Aubakirov,46
Aytahanov,14
Aytakhanov,11
Aytmuhametov,11
Aytmukhametov,11
Ayubayev,11
Baiahmetov,14
Baiakhmetov,14
Baibosynov,14
Baidauletov,21
Baijanov,18
Baimakhanov,14
Baimenov,15
Baizhanov,22
Bajenov,16
Bakirov,13
Baktybayev,11
Balapanov,16
Baliev,17
Baliyev,22
Balushkin,19
Barunin,12
Batalov,14
Bayahmetov,14
Bayakhmetov,12
Baybosynov,12
Baydauletov,19
Bayjanov,18
Baymakhanov,13
Baymenov,12
Bayzhanov,17
Bazhenov,16
Beiseev,12
Beisembaev,15
Beisembayev,15
Beisenbaev,20
Beisenbayev,20
Beiseyev,12
Bekenov,37
Bekjanov,13
Bekturganov,27
Bekzhanov,12
Belousov,12
Berdaliev,18
Berdalin,12
Berdaliyev,20
Bergenev,15
Berlibaev,21
Berlibayev,22
Beyseev,11
Beysembaev,13
Beysembayev,15
Beysenbaev,17
Beysenbayev,20
Beyseyev,12
Bijanov,22
Bimagambetov,14
Birtanov,34
Bizhanov,20
Bodanov,11
Boichin,12
Bokenbaev,11
Bokenbayev,12
Bolmanov,13
Borisov,11
Boychin,12
Bulegenov,11
Cherdabaev,15
Cherdabayev,15
Danenov,11
Daukeev,11
Daukeyev,14
Daulbaev,13
Daulbayev,13
Dosaev,11
Dosayev,11
Doskaliyev,11
Dosmuhambetov,15
Dosmuhametov,11
Dosmukhambetov,14
Dosmukhametov,12
Duisebaev,17
Duisebayev,17
Duisembekov,24
Duisenbaev,11
Duysebaev,14
Duysebayev,16
Duysembekov,21
Elamanov,11
Elemesov,19
Eleusizov,13
Erimbetov,11
Erjanov,13
Ertaev,14
Ertayev,11
Erzhanov,13
Esenov,20
Esimov,25
Eskendirov,18
Galiev,12
Galiyev,12
Garikov,11
Goncharov,11
Grechukhin,12
Hamitov,14
Hamzin,16
Hasenov,11
Ibraev,37
Ibragimov,24
Ibraimov,17
Ibrashev,31
Ibrayev,39
Idrisov,41
Iliasov,28
Ilyasov,24
Imanaliev,19
Imanaliyev,21
Imangaliyev,11
Imankulov,19
Imanzaipov,15
Imashev,15
Isabaev,13
Isabayev,14
Isaev,17
Isakov,17
Isakulov,20
Isayev,20
Iskakov,35
Iskaliev,13
Iskaliyev,14
Ismailov,23
Iuldashev,13
Iusupov,11
Ivanov,27
Ivkin,16
Jakenov,11
Jakishev,20
Jakubaev,14
Jakubayev,14
Jakupov,20
Jakypov,13
Jazykbaev,11
Jazykbayev,11
Joldasov,20
Jukov,17
Jumabaev,28
Jumabayev,28
Jumabekov,23
Jumagulov,20
Jumanov,15
Jumashov,11
Junusov,12
Jusipov,11
Jusupov,11
Kabashev,11
Kabiev,12
Kabiyev,13
Kadyrov,13
Kakimjanov,16
Kakimzhanov,15
Kalabaev,11
Kaliev,22
Kaliyev,28
Kalkabaev,15
Kalkabayev,16
Kanagatov,14
Karabaev,11
Karabalin,17
Karabayev,13
Karagoishin,12
Karamanov,13
Karibekov,15
Karibjanov,20
Karibzhanov,20
Karikbolov,16
Karimov,24
Karin,13
Karmazin,11
Karymsakov,17
Kasenov,18
Kashurin,12
Kasimov,13
Kasymbekov,18
Kasymov,37
Kazutin,12
Kemalov,11
Kenzhebaev,11
Kenzhebayev,12
Kereibaev,13
Kereybaev,12
Kereybayev,13
Keshubaev,16
Keshubayev,13
Khamitov,12
Khamzin,15
Khasenov,13
Kizatov,19
Klebanov,15
Kojabaev,15
Kojabayev,15
Kojahmetov,28
Kojakhmetov,31
Koldasov,15
Kolesnikov,26
Konovalov,12
Kosanov,11
