name,frequency
Bopha,4
Cammie,3
Chamroeun,3
Chanda,3
Chanmony,4
Chantha,7
Chanthou,3
Chenda,6
Dany,6
Horn,3
Jayadevi,4
Jayadévi,4
Kanha,3
Kheng,4
Kim,6
Kim-Leang,3
Kosny,3
Lan,3
Leakhena,7
Leng,4
Lum-Ang,4
Ly,5
Maly,5
Minh,8
Mom,7
Mony,3
Navy,6
Neary,3
Oeun,3
Phalla,5
Phally,3
Pov,3
Radin,3
Rany,5
Rotha,3
Sam-An,6
Sambath,3
Sarom,3
Sarun,3
Saumura,3
Savana,3
Savoeun,5
Sina,5
Sinath,4
Socheat,3
Socheata,4
Sodary,3
Soeun,4
Sokha,7
Somora,3
Sophal,3
Sophany,3
Sophea,4
Sopheap,11
Sophy,7
Sotheavy,7
Srey,4
Srey-Mom,3
Sreymom,3
Thavy,5
Thi,6
Thida,3
Thy,6
Thị,3
Touch,3
Vanna,4
Vanny,6
Vy,3
