name,frequency
An,7
Bora,9
Borin,7
Bros,6
Bun,8
Bunthoeun,14
Chamnan,8
Chamroeun,17
Chan,24
Chantha,13
Chanthy,6
Chea,15
Chhay,9
Chhorn,7
Chhun,6
Da,6
Dara,20
Hak,6
Hean,6
Heang,6
Heng,17
Hong,9
Keo,6
Khon,8
Khorn,8
Kim,12
Kong,18
Kosal,20
Leng,14
Long,10
Ly,18
Makara,8
Mao,9
Minh,11
Mony,8
Narin,10
Neang,6
Phal,8
Phalla,6
Phally,7
Phan,11
Phearith,6
Pheng,6
Phirun,10
Phon,7
Pich,7
Piseth,17
Pov,12
Prum,7
Ra,8
Ratana,9
Ratha,7
Reaksmey,7
Rith,10
Rithy,10
Sam,19
Sam-An,9
Sam-Oeun,8
Sam-Ol,9
Saman,8
Sambath,16
Sambo,11
Samnang,32
Samon,8
Samy,6
San,15
Sarath,8
Sareth,11
Sarin,16
Sarith,8
Saroeun,15
Sarun,9
Sary,8
Savoeun,10
Savuth,16
Seiha,9
Seng,18
Setha,7
Sim,6
Sitha,9
So,6
Socheat,11
Sok,15
Sokha,24
Sokhan,6
Sokhom,12
Sokhon,14
Sokhun,7
Sokun,7
Som,8
Son,10
Song,7
Sophal,22
Sophan,7
Sophat,9
Sophea,14
Sopheak,14
Sopheap,13
Sophoan,7
Sophon,7
Sophorn,14
Sophy,6
Sothea,13
Sothy,8
Sovan,9
Sovann,22
Sovanna,6
Sovannarith,6
Sum,7
Sun,9
Suon,7
Tha,6
Thea,9
Thol,7
Thorn,9
Touch,11
Try,9
Van,15
Vandy,6
Vann,7
Vanna,19
Vannak,11
Veasna,13
Vibol,8
Vichet,8
Virak,10
Vireak,6
Vuth,10
Vutha,7
Vuthy,18
