name,frequency
An,10
Ang,10
Ath,8
Bou,18
Bun,35
Cham,8
Chan,89
Chang,6
Chao,6
Chap,6
Chay,13
Chea,130
Cheam,18
Chem,16
Chen,10
Cheng,7
Chey,9
Chhay,26
Chheang,6
Chheng,11
Chhim,22
Chhin,12
Chhit,9
Chhoeun,6
Chhorn,12
Chhun,18
Chhuon,6
Chim,12
Chin,10
Choeung,8
Chou,11
Chum,18
Chuon,12
Dam,6
Duong,9
Eang,6
Ek,26
El,9
Em,16
Eng,20
Hak,8
Hang,19
Hean,6
Heang,11
Hem,20
Heng,70
Him,8
Hing,7
Ho,15
Hok,11
Hong,26
Hor,19
Hou,11
Hul,8
Hun,42
Huot,15
Huy,13
Ieng,18
Im,26
In,21
Ing,11
Ith,10
Kan,13
Kang,12
Kao,16
Ke,13
Keat,7
Kem,16
Ken,8
Keo,72
Kep,6
Khek,12
Khem,11
Khieu,27
Khiev,6
Khim,21
Khin,7
Khoun,9
Khoy,6
Khun,16
Khuon,12
Khy,9
Kim,57
Kith,6
Kol,6
Kong,52
Koy,16
Kuy,9
Ky,12
La-Planeta,6
Lam,9
Lao,10
Lay,33
Leng,14
Li,11
Lim,53
Lon,10
Long,34
Lor,8
Lum,6
Lun,7
Ly,69
Ma,7
Mak,12
Mam,9
Man,6
Mao,53
Meach,7
Mean,14
Meas,33
Men,24
Meng,15
Mey,17
Min,13
Moeung,7
Mok,11
Mom,21
Muth,6
Nam,6
Nay,7
Neang,17
Neth,7
Ngin,6
Ngor,8
Nguon,20
Nguyen,17
Nguyễn,8
Nhek,14
Nhem,23
Nhim,8
Nim,7
Norng,6
Norodom,98
Nou,20
Nuon,18
Nuth,17
Ny,9
Ok,10
Om,20
On,7
Ou,30
Ouch,11
Ouk,50
Oum,19
Oung,9
Pal,6
Pao,9
Pech,14
Pen,30
Peou,6
Phan,18
Phat,8
Pheng,9
Phin,6
Pich,28
Pok,9
Pol,18
Por,7
Pou,7
Pov,17
Prak,27
Prom,8
Prum,21
Rath,7
Rong,6
Ros,23
Roth,8
Sam,60
San,24
Sao,29
Saom,6
Sar,19
Say,24
Seang,9
Sek,9
Sem,13
Seng,61
Siek,6
Sieng,17
Sim,29
Sin,26
Sisowath,68
Sman,7
So,25
Soeung,16
Sok,128
Som,34
Son,9
Sor,13
Sorn,11
Sou,15
Soun,6
Sous,6
Soy,6
Srey,16
Srun,8
Sum,10
Sun,29
Suon,23
Suong,7
Suy,6
Svay,9
Sy,9
Taing,10
Tan,19
Te,10
Tea,17
Teng,14
Tep,32
Thach,7
Thai,9
Thong,12
Tim,7
Tith,13
Toch,6
Tol,7
Touch,25
Trinh,6
Try,7
Trịnh,6
Ty,18
Uch,6
Uk,17
Um,21
Un,20
Ung,27
Uy,7
Va,7
Van,30
Vann,18
Var,6
Veng,10
Vong,18
Vorn,7
Yem,12
Yi,12
Yim,43
Yin,6
Yos,6
You,18
Yun,6
Yuth,8
