name,frequency
Hye-Gyeong,178
Gyeong-Hui,174
Jeong-Hui,158
Gyeong-Suk,158
Myeong-Suk,156
Yeong-Hui,150
Hyeon-Suk,146
Yeong-Suk,136
Seon-Hui,134
Jeong-Suk,132
Hye-Suk,126
Eun-Hui,118
Ji-Hyeon,116
Hyeon-Ju,116
Mi-Gyeong,116
Eun-Gyeong,114
Yeong-Ja,110
So-Yeong,106
Eun-Suk,106
Eun-Jeong,102
Hye-Jin,102
Mi-Jeong,100
Mi-Yeong,98
Mi-Suk,96
Suk-Ja,96
Hui-Jeong,94
Ji-Yeong,94
In-Suk,90
Sun-Ja,90
So-Yeon,88
Eun-Ju,86
Ji-Yun,86
Seung-Hui,86
Gyeong-Ja,86
Yun-Jeong,84
Jeong-Ja,84
Yeong-Mi,84
Ju-Yeon,82
Yeong-Ok,82
Hyeon-Jeong,80
Yu-Jin,80
Hye-Jeong,78
Jeong-Hwa,76
Jeong-Eun,74
Min-Jeong,74
Hye-Yeong,74
Su-Jin,72
Myeong-Hui,70
Su-Yeon,68
Yeong-Ae,66
Hye-Won,66
Eun-Yeong,64
Ji-Won,64
Jeong-Sun,64
Yeong-Sun,64
Hui-Gyeong,62
Sun-Hui,60
Mi-Ja,60
Mi-Ae,60
Myeong-Sun,60
Ji-Yeon,60
Gyeong-Ae,58
Eun-Jin,58
Ok-Hui,54
Seong-Hui,54
Jin-Hui,54
Gyeonghui,54
Jeong-Won,54
Myeong-Ja,52
Mi-Hwa,52
Yeon-Hui,52
Hye-Yeon,52
Su-Gyeong,52
Gyeong-Ok,50
Su-Hyeon,50
Seung-Yeon,50
Jin-Yeong,50
Eun-Hye,50
Mi-Seon,50
Jeong-Mi,48
Jin-Suk,48
Suk-Hui,48
Bok-Sun,48
Hyeon-Mi,48
Yun-Gyeong,48
Sun-Ae,48
Eun-Hee,46
Yeon-Ju,44
Seon-Gyeong,44
Hui-Yeong,44
Jeong-Ae,44
Hyeon-Jin,44
Sang-Hui,44
Jeong-Yun,42
Yu-Seon,42
Yeong-Ran,42
Gyeong-Sun,42
Hye-Kyeong,42
Sin-Ja,42
Su-Jeong,42
Min-Ji,42
Gyeong-Ran,40
Hye-Kyung,40
Seon-Yeong,40
Hyegyeong,40
In-Sun,40
Jae-Suk,40
Myeongsuk,40
Gyeongsuk,38
Yeongsuk,38
Jeong-Yeon,38
Jeong-Ok,38
Gyeong-Im,38
Yun-Yeong,38
Mi-Kyeong,38
Gye-Sun,38
Su-Ji,38
Jeong-Hye,38
Hye-Seon,38
Yeonghui,38
Yun-Hui,38
Sun-Ok,38
Jeongsuk,36
Hwa-Yeong,36
Ae-Gyeong,36
Jae-Yeon,36
Hwa-Sun,36
Seung-Eun,36
Hui-Seon,36
Seon-Ja,36
Hyeon-Ok,36
Hyesuk,34
Seonhui,34
Seon-Ae,34
Seon-Hwa,34
Geum-Ja,34
Ju-Yeong,34
Ok-Ju,32
Min-Yeong,32
Yang-Suk,32
Jung-Sook,32
Hwa-Ja,32
Hye-Ryeon,32
Jae-Ok,32
Sang-Mi,32
Kyeong-Hui,32
Yeong-Seon,32
Eungyeong,32
Ji-Hui,32
Chun-Ja,32
Jeonghui,30
Sukja,30
