name,frequency
Kim-Choi,6
Hwang-Bo,14
Namgoong,16
Namkoong,20
Hwangbo,8
Namkung,12
Namgung,16
Byeong,6
Chyung,6
Yang-I,6
Jyoung,8
Kyeong,10
Sagong,14
Myeong,18
Gyeong,22
Cheong,906
Huang,6
Hyung,6
Jeung,6
Kahng,6
Kyeon,6
Lyang,6
Pyoun,6
Whang,6
Gyeon,10
Chong,12
Gyung,12
Jegal,12
Myung,12
Kyung,14
Paeng,14
Young,14
Pyeon,22
Ryang,30
Soung,48
Byoun,54
Maeng,64
Byeon,268
Gweon,296
Kweon,298
Hyeon,314
Seong,320
Chang,364
Cheon,498
Hwang,1074
Chung,1384
Jeong,1788
Beom,6
Jern,6
Jeun,6
Koak,6
Tong,6
Yung,6
Zhou,6
Back,8
Bong,8
Jeng,8
Peng,8
Pyun,8
Wong,8
Chon,10
Hang,10
Jong,10
Bahn,12
Keum,12
Kyun,12
Meng,12
Rhyu,12
Suhn,12
Gook,14
Youk,16
Ryou,18
Youm,18
Paek,20
Yong,22
Dong,26
Hahm,30
Chai,32
Chey,32
Seoh,34
Suhr,38
Kong,42
Weon,46
Byon,54
Geum,54
Yook,54
Yeon,64
Seon,74
Chin,78
Seok,86
Seol,88
Wang,90
Gong,92
Soun,102
Ryoo,104
Choo,110
Nahm,112
Moun,124
Byun,128
Yeom,138
Bang,150
Baik,154
Paik,154
Sung,156
Kwak,166
Hahn,174
Chae,198
Hyun,206
Shim,240
Sohn,272
Gwun,276
Kwun,280
Youn,310
Gwak,314
Chun,452
Moon,470
Baek,638
Kwon,698
Yoon,812
Yang,844
Choe,976
Bahk,1002
Shin,1088
Jeon,1160
Gwon,1292
Kang,1394
Hong,1468
Song,1482
Jang,1812
Gang,2022
Rhee,2366
Jung,3746
Choi,4304
Park,7026
Eam,6
Hui,6
Joh,6
Jon,6
Kee,6
Ohm,6
Shu,6
Bin,8
Boo,8
Dho,8
Jae,8
Kye,8
Lew,8
Yin,8
Auh,10
Gye,10
Jwa,10
Kin,10
Yeh,10
Rhu,12
Wee,14
Bai,16
Kil,16
Mah,16
Doh,18
Wie,18
Yon,18
Rim,20
Kam,22
Uhm,22
Eoh,24
Dan,26
Yom,26
Jee,28
Che,30
Gam,30
Suk,30
Tak,30
Dam,32
Eun,32
Tae,32
You,32
Yum,34
Bok,38
Sul,38
Yuh,40
Mok,46
Ban,48
Soh,48
Gil,54
Hah,56
Sun,56
Nah,62
Yuk,62
Pyo,64
Guk,72
Goo,96
Ham,108
Woo,108
Goh,126
Chu,156
Joo,156
Yeo,168
Koo,196
Koh,222
Hur,240
Eom,244
Noh,244
Roh,258
Yim,274
Cha,280
Won,298
Huh,312
Suh,328
Jun,358
Jin,424
Lim,446
Sim,496
Ryu,522
Bae,592
Min,608
Ahn,634
Nam,660
Bak,674
Pak,686
Yoo,766
Heo,784
Mun,842
Son,876
Han,1278
Seo,1338
Cho,1516
Sin,1522
Yun,1638
Gim,3532
Lee,15100
Kim,18800
Gy,8
Hu,8
La,8
Un,8
Ok,10
Ri,10
Du,12
Ho,12
Ki,12
Pi,12
Li,18
Mo,20
Ye,22
Bu,24
Sa,26
Uh,30
Gi,32
In,36
Ma,42
Ra,46
Eo,52
Je,60
Wi,60
Um,90
Do,92
Ku,104
So,114
Ro,120
Wu,128
Ji,186
Su,190
Na,312
Gu,346
Ko,354
Ju,428
Ha,434
Go,540
No,566
Oh,690
Im,1164
An,1360
Yu,1748
Jo,2646
Yi,3198
U,224
O,830
