name,frequency
Aloun,6
Bouathong,6
Bounkeuth,6
Bounkong,6
Bounma,7
Bounmy,9
Bounpheng,16
Bounpone,14
Bounsouk,7
Bounthan,6
Bounthone,8
Bounthong,14
Bounyong,9
Buathong,6
Bun,8
Chansone,7
Chansy,6
Chanthaboun,7
Chanthavong,7
Houmpheng,8
Kaysone,7
Khamchanh,6
Khamdy,6
Khamla,22
Khamlek,8
Khamphan,13
Khamphanh,16
Khamphat,7
Khamphay,9
Khampheng,8
Khampheuy,8
Khamphong,7
Khamsing,11
Khamsouk,11
Kikeo,8
Kongsy,6
Nam,6
Nouhak,6
Phanthong,11
Phetsamone,6
Phomma,6
Phouthone,10
Phouvong,7
Samane,7
Saysengly,7
Singkham,7
Sinlavong,6
Sisavath,11
Somboun,14
Somchai,7
Somchit,6
Somdy,16
Somlith,10
Somphone,20
Somphong,7
Somxay,12
Soulivanh,6
Thao,8
Thavone,6
Thongdy,8
Thongsa,6
Thongsay,8
Tong,7
Vang,6
Vansay,7
Vanxay,7
Vilay,8
Vongphet,11
Xaysana,10
