name,frequency
Bounkham,7
Boupha,31
Chanthavong,9
Gros,6
Inthavong,15
Keobounphan,7
Khaykhamphithoune,8
Kingsada,6
Kommasith,11
Mahalath,7
Manivong,9
Nanthavong,7
Phichit,6
Phichith,7
Pholsena,20
Phommachan,6
Phommachanh,15
Phommasak,6
Phommavongsa,7
Phomvihane,14
Phonsena,10
Pravongviengkham,6
Rasphone,6
Rattanavong,7
Sayasone,8
Sayavong,13
Sipaseuth,7
Siphandon,6
Siphandone,9
Sisoulath,8
Sitlakone,6
Sivilay,7
Soundara,6
Souphanouvong,10
Thammavong,23
Thao,6
Thongbon,6
Vang,11
Vongdara,10
Vorachith,6
Xayavong,9
Xayyavong,6
