name,frequency
Agita,24
Agnese,86
Agra,9
Agrita,15
Aiga,24
Aija,100
Aina,46
Aira,6
Aiva,12
Aivita,7
Alda,7
Aleksandra,20
Alise,18
Alla,11
Alma,11
Amanda,7
Anastasija,14
Anda,55
Andra,13
Anete,34
Anita,121
Anna,141
Annija,9
Antonija,6
Antonina,6
Antoņina,6
Antra,34
Arija,22
Arta,18
Astra,14
Astrida,19
Astrīda,19
Ausma,38
Austra,15
Baiba,113
Beate,6
Beatrise,7
Benita,9
Biruta,37
Brigita,22
Dace,181
Dagmara,9
Dagmāra,8
Dagnija,22
Daiga,45
Daina,65
Daira,10
Dana,16
Darta,7
Diana,39
Dina,12
Dita,11
Diāna,35
Dzidra,19
Dzintra,86
Dārta,7
Edite,15
Edīte,15
Egita,9
Elena,10
Eleonora,9
Elga,8
Elina,58
Elita,46
Eliza,10
Elizabete,25
Ella,8
Elvira,9
Elvīra,9
Elza,30
Elīna,56
Elīza,8
Emilija,6
Emīlija,6
Erika,7
Estere,6
Eva,36
Evija,25
Evita,23
Gaida,9
Galina,17
Gaļina,16
Ginta,26
Gita,26
Guna,25
Gundega,32
Gunita,14
Gunta,100
Helena,16
Helēna,15
Ieva,140
Ilga,44
Ilona,54
Ilva,10
Ilze,227
Ina,17
Inara,55
Indra,39
Inese,150
Ineta,38
Inga,148
Ingrida,41
Ingrīda,33
Inguna,57
Ingūna,18
Inita,15
Inna,6
Inta,88
Ināra,55
Irena,39
Irina,39
Irma,6
Irēna,34
Iveta,100
Ivonna,12
Jana,28
Janina,16
Janīna,12
Jekaterina,10
Jelena,31
Jevgenija,7
Jeļena,23
Jolanta,29
Judite,6
Judīte,6
Julija,16
Juta,6
Jūlija,16
Karina,29
Karīna,17
Katrina,24
Katrīna,24
Krista,22
Kristiana,11
Kristine,96
Kristiāna,11
Kristīne,93
Laila,38
Laima,15
Laimdota,10
Laine,7
Larisa,21
Lasma,16
Lauma,21
Laura,79
Lelde,27
Lidija,30
Liena,10
Liene,68
Liga,95
Ligita,29
Lilija,17
Lilita,26
Linda,74
Lita,6
Liva,21
Livija,9
Lolita,13
Lucija,17
Ludmila,39
Luize,7
Luīze,6
Lāsma,16
Līga,96
Līva,21
Līvija,9
Lūcija,14
Madara,34
Maiga,10
Maija,91
Maira,6
Malda,6
Mara,43
Margarita,18
Margita,6
Marija,57
Marika,12
Marina,16
Marita,18
Marite,22
Marta,47
Maruta,26
Milda,11
Mirdza,21
Monika,15
Monta,6
Māra,43
Mārīte,22
Natalija,14
Natālija,12
Nellija,12
Nina,10
Nora,21
Olga,49
Olita,11
Paula,12
Raina,6
Raita,7
Ramona,8
Rasa,6
Rasma,28
Regina,22
Regīna,17
Renate,12
Renāte,12
Rita,76
Rudite,11
Rudīte,11
Ruta,59
Rūta,29
Sabine,7
Sabīne,6
Sanda,9
Sandra,90
Sanita,75
Santa,46
Sarmite,31
Sarmīte,31
Sigita,11
Signe,35
Silva,6
Silvija,41
Simona,6
Sintija,31
Skaidrite,19
Skaidrīte,19
Solveiga,9
Solvita,43
Svetlana,26
Tamara,13
Tamāra,11
Tatjana,37
Tekla,7
Ulrika,7
Una,12
Vaira,9
Valda,27
Valentina,46
Valentīna,41
Valija,13
Vanda,18
Velga,19
Velta,34
Veneranda,10
Vera,23
Veronika,19
Vesma,6
Vija,65
Viktorija,26
Vineta,39
Vita,74
Vizma,14
Vēsma,6
Zaiga,8
Zanda,31
Zane,83
Zaneta,6
Zanete,10
Zanna,10
Zenta,16
Zigrida,8
Zigrīda,8
Zinaida,12
Zinta,9
Zita,7
Zoja,7
Ārija,23
Ērika,6
Ņina,10
Žaneta,6
Žanete,9
Žanna,10
