name,frequency
Abele,26
Abolina,7
Adamovica,7
Adamoviča,7
Adamsone,8
Aire,6
Andersone,6
Apala,6
Balode,30
Bambe,6
Benhena-Bekena,6
Benhena-Bēkena,6
Bergmane,9
Berzina,64
Bikse,6
Bikše,6
Bite,15
Bluma,7
Blumberga,9
Blūma,7
Bole,6
Bondare,15
Briede,10
Brokovska-Vaivode,6
Bumbiere,6
Bērziņa,59
Caune,13
Ceipe,7
Celmina,6
Cimdina,8
Cimdiņa,6
Cirule,18
Cīrule,17
Dambe,11
Daudze,9
Demme,6
Dombrava,8
Dombrovska,12
Donina,8
Dreimane,6
Dripe,10
Dzalbe,11
Eglite,16
Eglīte,17
Ence,11
Esta,9
Feldmane,13
Freiberga,8
Freimane,13
Gailite,8
Gatere,6
Gavare,10
Geiba,6
Geige,7
Gora,8
Graudina,6
Grinberga,9
Groza,8
Gulbe,23
Hanka,16
Ivanova,20
Jansone,27
Jaunzeme,7
Jaunzeme-Grende,8
Jefremova,8
Jekabsone,7
Jurkane,7
Jēkabsone,7
Kalnbirze,7
Kalnina,41
Kalniņa,38
Kalnozola,6
Karklina,9
Kaulina,6
Kauliņa,6
Keisa,10
Keiša,9
Kinna,6
Klava,7
Kleinberga,9
Klementjeva,8
Kokina,9
Krastina,19
Krastiņa,19
Krauze,7
Kreslina,10
Krievina,9
Krieviņa,6
Krisane,7
Krišāne,6
Krumina,27
Krēsliņa,8
Krūmiņa,25
Kucina,7
Kuzma,10
Kveska,7
Kārkliņa,9
Lace,9
Laizane,6
Lange,14
Langrate,6
Lapina,8
Lapiņa,8
Lappuke,6
Lappuķe,6
Lasmane,6
Leiskalne,10
Leiškalne,8
Leja,19
Lemberga,7
Liberte,7
Lidaka,6
Liduma,6
Liepa,22
Liepina,28
Liepiņa,28
Locmele,8
Lore,7
Ločmele,7
Luka,8
Luse,7
Lāce,7
Līdaka,6
Lūse,6
Maldupa,6
Mangule,7
Mikelsone,11
Millere,8
Miķelsone,9
Muizniece,16
Muižniece,11
Murniece,9
Mūrniece,8
Neimane,11
Odina,6
Ozola,30
Ozolina,27
Ozoliņa,26
Penke,7
Petersone,15
Plinere,7
Plivda,7
Pone,7
Priede,6
Puga,9
Puke,6
Pumpure,7
Putnina,14
Putniņa,13
Putra,10
Pētersone,12
Radzevica,6
Radzeviča,6
Rancane,7
Rancāne,6
Rasmane,6
Razna,6
Repse,9
Repše,8
Riekstina,8
Riekstiņa,7
Roze,36
Rozite,6
Rudzite,7
Rudzīte,6
Ruksane,7
Rukšāne,6
Rāzna,6
Saleniece,6
Selga,7
Semane,6
Senkane,7
Silina,12
Siliņa,12
Skele,8
Skuja,9
Sniedze,13
Snore,10
Sproge,8
Sproģe,8
Stare,7
Steina,6
Stinka,6
Straume,30
Strautmane,6
Strode,13
Sulca,7
Suveizda,6
Tabore,7
Timma,8
Tomsone,7
Ulmane,8
Ulme,17
Upeniece,6
Upite,6
Urbanovica,8
Vaivode,6
Vanaga,20
Vaska,7
Vaza,7
Važa,7
Vectirane,7
Vectirāne,7
Veide,18
Vetra,9
Viksne,6
Vitola,20
Vitole,7
Vitolina,7
Voika,6
Vonda,7
Vētra,9
Vīksne,6
Vītola,16
Zalite,7
Zarina,12
Zariņa,12
Zeile,8
Zile,9
Zunda,10
Zunna,7
Zute,7
Zālīte,7
Zīle,9
Ābele,24
Āboliņa,6
Ādamsone,7
Šnore,8
Šķēle,6
Žunna,7
