name,frequency
Abelnieks,7
Abolins,9
Adamovics,6
Adamovičs,6
Adamsons,6
Andersons,8
Apinis,6
Apsitis,6
Apsītis,6
Auders,12
Avotins,7
Balodis,23
Baumanis,20
Belaunieks,6
Bergans-Berģis,6
Bergmanis,10
Berzins,48
Beļaunieks,6
Blazevics,6
Blaževičs,6
Blumbergs,6
Bogdans,6
Boks,9
Bondars,6
Breidaks,6
Bresis,8
Briedis,17
Brokovskis-Vaivods,8
Bērziņš,47
Caklais,6
Cakuls,6
Ceplis,8
Cevers,6
Cimdins,6
Cimdiņš,6
Cirulis,21
Citskovskis,8
Cīrulis,21
Dambergs,6
Deksnis,11
Dobrajs,7
Dobrājs,7
Draudins,6
Draudiņš,6
Dravnieks,11
Dukulis,7
Dzintars,6
Eglins-Eglitis,6
Eglitis,11
Egliņš-Eglītis,6
Eglītis,11
Eihenbaums,6
Einiks,6
Eklons,7
Elferts,6
Feldmanis,8
Freibergs,11
Freimanis,18
Gailis,13
Gaugers,8
Gavars,15
Gerhards,7
Ginters,7
Godins,6
Godiņš,6
Grinbergs,13
Grīnbergs,9
Gulbis,16
Gutmanis,8
Gūtmanis,8
Holms,6
Jansons,25
Jaunzems,7
Jekabsons,13
Jonikans,7
Jonikāns,7
Justs,6
Jēkabsons,13
Kalnins,39
Kalniņš,39
Karklins,7
Kaulins,6
Kauliņš,6
Kehris,8
Keiss,6
Keišs,6
Ketners,6
Kokins,15
Kotans,6
Kotāns,6
Kovals,11
Krastins,13
Krastiņš,13
Krauklis,7
Kreituss,6
Kreslins,6
Krievins,6
Krumins,20
Krēsliņš,6
Krūmiņš,20
Kucins,8
Kviesis,6
Kārkliņš,7
Labanovskis,12
Lacis,10
Laicāns,6
Laizans,6
Laizāns,6
Lapins,7
Lapiņš,7
Las,6
Lasmanis,11
Latkovskis,14
Lavents,6
Leiskalns,6
Leitis,6
Leiškalns,6
Licis,10
Liepins,9
Liepiņš,9
Luks,7
Lusis,8
Lācis,10
Līcis,10
Lūks,7
Majors,7
Mangulis,9
Martinsons,10
Misans,7
Misāns,7
Mitrevics,6
Muiznieks,10
Muižnieks,9
Murnieks,11
Mūrnieks,10
Naglis,14
Neimanis,13
Osenieks,6
Ozolins,31
Ozoliņš,31
Ozols,28
Ošenieks,6
Paradnieks,7
Parādnieks,7
Pelsis,8
Peters,6
Petersons,13
Pilmanis,6
Plaudis,6
Pozarnovs,6
Požarnovs,6
Priedkalns,7
Priekulis,9
Pujats,7
Pumpurs,7
Purmalis,8
Putnins,10
Putniņš,10
Pētersons,13
Riekstins,7
Riekstiņš,7
Roberts,7
Rolis,7
Ronis,7
Rozenbergs,10
Rozkalns,9
Rožkalns,9
Rubenis,6
Ruks,12
Ruskulis,6
Rutkis,7
Salenieks,10
Salkazanovs,8
Salmins,6
Salmiņš,6
Seilis,7
Severs,6
Siksnis,7
Silins,13
Siliņš,10
Skesters,7
Skujins,10
Skujiņš,10
Smits,6
Sondors,6
Sprogis,8
Sproģis,8
Stars,6
Steins,7
Strikis,9
Strods,10
Strīķis,9
Sturis,7
Sturmanis,9
Stūris,7
Stūrmanis,9
Sudrabs,7
Sulcs,6
Svarcs,6
Taurins,7
Tauriņš,7
Tomsons,10
Ulmanis,11
Upenieks,12
Vaivars,9
Valainis,6
Valdemars,7
Valdemārs,7
Valers,8
Vanags,20
Vicinskis,7
Vilcans,6
Vilcāns,6
Vingris,7
Virsis,8
Vitolins,10
Vitols,26
Vītoliņš,10
Vītols,26
Zarins,14
Zariņš,13
Zemnieks,7
Znotins,6
Znotiņš,6
Zvirbulis,8
Ābelnieks,7
Āboliņš,8
Ādamsons,6
Čaklais,6
Čevers,6
Šteins,7
Švarcs,6
Šķesters,7
