name,frequency
Adele,9
Adelė,9
Agne,63
Agnija,6
Agnė,61
Aida,18
Aiste,34
Aistė,34
Akvile,15
Akvilė,13
Aldona,77
Aleksandra,12
Alina,28
Alma,21
Amelija,9
Ana,12
Angele,11
Angelė,10
Anna,10
Antanina,8
Asta,93
Audra,19
Audrone,37
Audronė,33
Auguste,6
Augustė,6
Aukse,8
Auksė,8
Aurelija,56
Ausra,49
Ausrine,11
Austeja,8
Austėja,8
Aušra,47
Aušrinė,11
Barbora,15
Beata,8
Birute,48
Birutė,44
Brigita,14
Bronislava,6
Daina,12
Daiva,160
Dale,6
Dalia,121
Danguole,20
Danguolė,19
Danute,24
Danutė,21
Darija,6
Deimante,8
Deimantė,8
Diana,48
Donalda,6
Donata,11
Dovile,20
Dovilė,19
Edita,63
Egle,88
Eglė,85
Ela,6
Elena,45
Elvyra,14
Elzbieta,7
Elžbieta,6
Ema,8
Emilija,34
Erika,18
Ernesta,8
Eugenija,20
Evelina,25
Filomena,9
Gabija,26
Gabriele,36
Gabrielė,34
Galina,10
Genovaite,16
Genovaitė,12
Gerda,18
Giedre,34
Giedrė,31
Gina,7
Gintare,31
Gintarė,29
Gitana,20
Goda,17
Grazina,31
Gražina,30
Greta,32
Guoda,20
Guste,6
Gustė,6
Halina,6
Ieva,126
Ilona,36
Ina,11
Indre,41
Indrė,40
Inesa,6
Ineta,6
Inga,83
Ingrida,40
Irena,113
Irina,13
Irma,31
Iveta,11
Jadvyga,18
Janina,49
Jelena,7
Joana,11
Jolanta,101
Jolita,42
Jovita,19
Judita,7
Julija,32
Julita,6
Jurate,55
Jurga,17
Jurgita,111
Juste,12
Justina,41
Justė,11
Jūratė,55
Karolina,25
Kornelija,6
Kotryna,17
Kristina,91
Laima,67
Laimute,12
Laimutė,11
Larisa,6
Laura,72
Leokadija,7
Leonarda,6
Liana,7
Lidija,10
Liepa,19
Ligita,8
Lijana,7
Lilija,9
Lina,173
Liucija,12
Liudmila,10
Liudvika,10
Lolita,10
Loreta,56
Lyra,6
Margarita,6
Marija,80
Marina,7
Marta,8
Maryte,6
Migle,6
Miglė,6
Milda,39
Modesta,10
Monika,78
Morta,9
Natalija,16
Neringa,42
Nida,12
Nijole,50
Nijolė,47
Nomeda,12
Nora,8
Odeta,8
Oksana,6
Olga,13
Ona,85
Orinta,8
Palmira,6
Patricija,12
Raimonda,30
Raminta,26
Ramune,28
Ramunė,26
Ramute,11
Ramutė,10
Rasa,116
Reda,15
Regina,54
Renata,50
Rima,68
Rimante,6
Rita,69
Roberta,10
Roma,12
Romualda,12
Rosita,8
Rugile,9
Rugilė,8
Ruta,67
Rūta,65
Sandra,34
Saule,14
Saulė,14
Sigita,60
Sigute,7
Sigutė,6
Silvija,8
Simona,36
Skaiste,9
Skaistė,9
Skirmante,7
Skirmantė,7
Sofija,27
Solveiga,8
Sonata,14
Stanislava,11
Stase,9
Stasė,8
Stefanija,15
Svetlana,21
Tatjana,13
Teodora,7
Teresa,6
Terese,6
Teresė,7
Toma,15
Ugne,19
Ugnė,19
Urte,7
Urtė,7
Vaida,65
Vaiva,40
Valentina,17
Valerija,18
Vanda,8
Veronika,12
Vida,63
Viktorija,68
Vilija,67
Vilma,58
Violeta,47
Virginija,68
Vita,29
Vitalija,26
Vladislava,6
Vytaute,8
Vytautė,8
Zaneta,6
Zina,8
Zita,47
Zivile,29
Zofija,15
Živilė,29
