name,frequency
Adolfas,12
Adomas,19
Aidas,16
Aivaras,10
Albertas,12
Albinas,18
Aleksandr,7
Aleksandras,17
Aleksandrovich,6
Alfonsas,14
Alfredas,10
Algimantas,47
Algirdas,92
Algis,32
Almantas,9
Aloyzas,8
Alvydas,44
Andrej,7
Andrejus,8
Andrius,125
Antanas,105
Arnas,17
Arnoldas,14
Arturas,52
Artūras,47
Arunas,61
Arvydas,58
Arūnas,52
Audrius,57
Augustas,16
Augustinas,6
Aurelijus,10
Aurimas,36
Balys,8
Benas,12
Bronius,24
Ceslovas,12
Dainius,73
Dalius,22
Danas,10
Danielius,9
Darius,128
Daumantas,7
Deividas,15
Domantas,13
Domas,13
Dominykas,24
Donatas,51
Dovydas,24
Dziugas,8
Edgaras,20
Edmundas,24
Eduardas,10
Edvardas,17
Edvinas,14
Egidijus,53
Erikas,15
Ernestas,13
Eugenijus,25
Evaldas,54
Feliksas,7
Gabrielius,7
Gediminas,98
Genadijus,6
Giedrius,68
Gintaras,69
Gintautas,40
Grazvydas,7
Gražvydas,6
Gvidas,6
Gytis,25
Haroldas,7
Henrikas,13
Ignas,29
Irmantas,13
Jokubas,12
Jokūbas,12
Jonas,192
Joris,7
Julius,39
Juozas,83
Juras,10
Jurgis,27
Justas,48
Justinas,34
Karolis,34
Kasparas,14
Kazimieras,17
Kazys,19
Kestutis,80
Kostas,8
Kristijonas,9
Kristupas,21
Kęstutis,79
Laimis,6
Laimonas,27
Laimutis,8
Laurynas,24
Leonas,12
Linas,59
Liudas,13
Liudvikas,8
Liutauras,19
Lukas,37
Mantas,62
Mantvydas,6
Marijus,16
Marius,62
Martynas,53
Matas,17
Mindaugas,151
Modestas,13
Mykolas,27
Nerijus,41
Nojus,8
Norbertas,7
Olegas,6
Osvaldas,12
Ovidijus,8
Paulius,60
Petras,54
Povilas,43
Pranas,27
Raimondas,33
Raimundas,28
Ramunas,38
Ramūnas,31
Rapolas,11
Regimantas,6
Remigijus,40
Renaldas,8
Renatas,6
Ricardas,28
Rimantas,73
Rimas,19
Rimgaudas,10
Rimvydas,25
Ričardas,27
Robertas,37
Rokas,41
Rolandas,44
Romanas,14
Romas,29
Romualdas,42
Rytis,27
Sarunas,23
Saulius,105
Sergej,6
Sergejus,7
Sigitas,40
Simas,6
Simonas,27
Skirmantas,11
Stanislovas,15
Stasys,49
Svajunas,7
Svajūnas,7
Tadas,37
Tautvydas,18
Thomas,7
Tomas,145
Ugnius,10
Vaclovas,16
Vaidas,26
Vaidotas,39
Vakaris,6
Valdas,49
Valdemaras,17
Valentinas,22
Valerijus,9
Vidas,20
Vidmantas,39
Viktor,8
Viktoras,32
Vilius,37
Vilmantas,6
Vincas,12
Virgilijus,16
Virginijus,24
Visvaldas,6
Vitalijus,24
Vitas,13
Vladas,18
Vladislav,7
Vygantas,8
Vytas,6
Vytautas,207
Vytenis,9
Vytis,7
Zenonas,23
Zigmantas,6
Zilvinas,12
Zydrunas,9
Zygimantas,11
Česlovas,11
Šarūnas,21
Žilvinas,10
Žydrūnas,9
Žygimantas,10
