name,frequency
Bagdoniene,8
Bagdonienė,8
Indriuniene,6
Indriūnienė,6
Jovaisaite,8
Jovaišaitė,7
Juozapaityte,6
Kairiene,7
Kairienė,7
Kaminskiene,7
Kaminskienė,7
Kazlauskiene,10
Kazlauskienė,10
Masiuliene,7
Masiulienė,7
Matuleviciene,6
Matuleviciute,8
Matulevičienė,6
Matulevičiūtė,7
Mazeikiene,6
Mažeikienė,6
Nausedaite,6
Nausėdaitė,6
Navickaite,11
Navickaitė,8
Navickiene,10
Navickienė,10
Petrauskaite,9
Petrauskaitė,9
Petrauskiene,9
Petrauskienė,8
Puodziukaite,6
Ramanauskaite,6
Sakalauskiene,7
Sakalauskienė,7
Stancikaite,8
Vaitkiene,6
Vaitkienė,6
Varkalyte,7
Varkalytė,6
Vasiliauskaite,6
Vasiliauskiene,7
Vasiliauskienė,7
Zukauskiene,7
Žukauskienė,7
