name,frequency
Adomaitis,7
Aleknavicius,6
Aleknavičius,6
Bagdonas,13
Bernotas,8
Bradauskas,7
Bukauskas,6
Burokas,6
Butkus,6
Cekuolis,6
Cibulskas,7
Dagys,6
Dambrauskas,11
Damusis,6
Damušis,6
Darulis,6
Degutis,10
Domarkas,7
Gailius,6
Garbaravicius,7
Garbaravičius,7
Gedvilas,8
Giedraitis,6
Gricius,9
Grigaravicius,6
Grigaravičius,6
Gumuliauskas,6
Indriunas,6
Indriūnas,6
Ivanauskas,7
Jankauskas,13
Jarusevicius,8
Jaruševičius,7
Juozaitis,10
Kairys,8
Kalinauskas,11
Kaminskas,14
Karbauskis,9
Kazlauskas,11
Kernagis,9
Komskis,8
Kukuraitis,8
Kvedaravicius,6
Lapenas,6
Lapinskas,8
Macijauskas,11
Maciulis,8
Malinauskas,6
Markauskas,8
Masiulis,15
Matijosaitis,6
Matijošaitis,6
Matulevicius,11
Matulevičius,11
Mačiulis,8
Misevicius,6
Miskinis,10
Miškinis,10
Mockevicius,6
Mockevičius,6
Navickas,18
Norkus,9
Paskevicius,6
Paulauskas,13
Paulikas,8
Petkevicius,6
Petkevičius,6
Petraitis,9
Petrauskas,13
Pocius,10
Popovas,7
Puidokas,6
Pukas,8
Puodziukas,10
Puodžiukas,10
Pūkas,8
Rackauskas,7
Ramanauskas,9
Račkauskas,7
Sadauskas,8
Sakalauskas,11
Savickas,8
Siauciulis,6
Sidlauskas,6
Simenas,10
Sinkevicius,6
Sinkevičius,6
Stancikas,13
Stankevicius,13
Stankevičius,12
Stančikas,11
Steponavicius,8
Steponavičius,7
Taraskevicius,6
Tubis,7
Urbanavicius,6
Urbanavičius,6
Urbonas,16
Vaitiekunas,7
Vaitiekūnas,7
Vaitkevicius,10
Vaitkevičius,9
Vaitkus,17
Valinskas,6
Vasiliauskas,16
Visockas,8
Vitkauskas,8
Volkovas,10
Vysniauskas,6
Zemaitaitis,6
Zukauskas,9
Zuokas,7
Čekuolis,6
Šiaučiulis,6
Šidlauskas,6
Šimėnas,8
Žemaitaitis,6
Žukauskas,9
