name,frequency
Adriana,6
Aini,10
Aisha,8
Aishah,15
Alice,7
Aminah,16
Amira,6
Andreevna,7
Aniza,6
Anne,8
Asiah,11
Asma,10
Asmah,7
Azizah,30
Azlina,7
Azura,7
Badariah,13
Catherine,7
Christine,6
Diana,6
Elizabeth,10
Faizah,8
Faridah,32
Fatimah,40
Fauziah,22
Halijah,7
Halimah,23
Hamidah,25
Hasmah,7
Hasnah,12
Jamaliah,14
Jamilah,16
Jane,8
Jasmine,6
Junaidah,8
Kalsom,11
Kamariah,12
Khadijah,14
Khatijah,7
Latifah,9
Lee-Lee,7
Linda,6
Mahani,7
Maimunah,9
Margaret,6
Mariah,11
Mariam,16
Marina,10
Mary,8
Mastura,13
Maziah,6
Maznah,10
Mazni,6
Najwa,6
Nor-Aini,7
Nora,14
Noraini,34
Norashikin,10
Norhayati,19
Noriah,7
Norita,6
Norliza,7
Norma,9
Normah,9
Nur-Halah,7
Nur-Ul-Hadiyah,7
Nur-Ul-Hayati,7
Rafidah,10
Rahima,6
Rahimah,16
Rahmah,11
Ramlah,10
Rashidah,9
Robiah,11
Rohana,19
Rohani,14
Rohaya,7
Rokiah,7
Rose,8
Roselina,8
Rosita,8
Roslina,13
Rosmawati,6
Rosni,7
Roziah,7
Rozita,10
Saadiah,6
Sabariah,13
Safiah,8
Salbiah,8
Salmah,12
Sarina,9
Shamsiah,8
Sharifa-Aisha,7
Shariza,6
Siti-Aishah,13
Siti-Fatimah,9
Soraya,6
Stella,6
Suraya,11
Suriani,7
Suriati,6
Susan,8
Suzana,8
Zahara,10
Zaharah,10
Zainab,20
Zainah,9
Zaiton,18
Zakiah,9
Zaleha,26
Zalina,7
Zarina,12
Zubaidah,8
Zuraida,11
Zuraidah,16
Zuraini,7
Zurina,8
