name,frequency
Abas,7
Abd-Aziz,14
Abd-Rahim,14
Abd-Rahman,6
Abd-Razak,9
Abdul,32
Abdul-Aziz,65
Abdul-Ghafar,7
Abdul-Ghani,17
Abdul-Hadi,10
Abdul-Halim,36
Abdul-Hamid,17
Abdul-Jalil,11
Abdul-Kadir,11
Abdul-Karim,8
Abdul-Khalid,11
Abdul-Latif,7
Abdul-Latiff,7
Abdul-Majid,9
Abdul-Malek,6
Abdul-Malik,14
Abdul-Muis,6
Abdul-Rahim,47
Abdul-Rahman,74
Abdul-Rashid,17
Abdul-Razak,22
Abdul-Samad,13
Abdul-Wahab,14
Abdullah,66
Abu-Bakar,39
Abu-Samah,6
Adam,14
Adnan,21
Affendy,7
Ahmad,84
Ahmad-Fauzi,8
Ahmad-Kamal,6
Ahmad-Omar,8
Ahmad-Shah,7
Ahmad-Tarmizi,7
Alex,7
Alexander,6
Ali,15
Alias,15
Amin,10
Aminuddin,13
Amir,14
Amiruddin,13
Amirudin,8
Amran,25
Anak,7
Annuar,7
Anthony,15
Anuar,32
Anwar,9
Arif,6
Ariff,9
Ariffin,17
Arumugam,6
Asri,10
Azahar,11
Azhar,32
Azhari,6
Aziz,9
Azizan,29
Azizi,15
Azlan,24
Azman,48
Azman-Shah,6
Azmi,49
Azri,7
Azrif-Ul-Shah,7
Badli-Shah,7
Badlishah,7
Badr-Ul-Zaman,10
Badrul-Hisham,11
Baharuddin,8
Bakri,9
Bernard,11
Borhan,7
Chee,8
Chee-Keong,10
Chee-Seng,12
Chee-Wei,8
Christopher,9
Daniel,9
Daud,11
David,18
Dennis,6
Edwin,6
Fadzil,6
Faiz,6
Faizal,16
Fakhr-Ul-Shah,7
Farid,10
Fauzi,10
Firdaus,11
Francis,11
George,12
Ghazali,11
Gunasekaran,6
Halim,8
Hamdan,17
Hamzah,19
Hanafi,6
Haris,8
Harun,15
Hasan,14
Hasbullah,7
Hashim,22
Hassan,24
Henry,10
Herman,8
Hishamuddin,8
Husin,6
Hussin,7
Ibrahim,45
Idris,28
Imran,10
Isa,6
Ishak,21
Iskandar,10
Iskandar-Zulkarnain,10
Ismail,108
Ja'afar,8
Jaafar,18
Jamal,7
Jamaluddin,8
Jamaludin,15
James,15
Jamil,6
Jimmy,8
Johan,7
Johari,23
John,25
Jonathan,8
Joseph,11
Julian,6
Junaidi,6
Justin,6
Kamal,12
Kamaluddin,6
Kamar-Ud-Din,6
Kamaruddin,23
Kamarudin,15
Kamarulzaman,12
Kamaruzaman,13
Karim,12
Kenneth,8
Kevin,6
Khairuddin,9
Khairudin,6
Khairul,9
Khairul-Anuar,9
Khairul-Anwar,7
Khairul-Nizam,6
Khalid,14
Kok,7
Kumar,10
Lim,10
Mahadi,12
Mahadzir,7
Mahathir,8
Mahmood,6
Mahmud,8
Mahmud-Al-Muktafi-Billah-Shah,7
Mansor,14
Marzuki,12
Mat,6
Mazlan,28
Md,6
Michael,15
Mohamad,56
Mohamad-Fauzi,6
Mohamad-Firdaus,7
Mohamad-Nazri,6
Mohamed,24
Mohammad,32
Mohammed,6
Mohd,87
Mohd-Ali,8
Mohd-Amin,8
Mohd-Asri,9
Mohd-Azhar,13
Mohd-Azmi,7
Mohd-Fadzli,6
Mohd-Fairuz,8
Mohd-Faisal,6
Mohd-Faiz,7
Mohd-Faizal,25
Mohd-Farid,11
Mohd-Fauzi,19
Mohd-Firdaus,28
Mohd-Ghazali,8
Mohd-Hafiz,16
Mohd-Helmi,7
Mohd-Isa,12
Mohd-Ismail,8
Mohd-Izwan,7
Mohd-Kamal,6
Mohd-Mokhtar,6
Mohd-Nasir,19
Mohd-Nazri,11
Mohd-Nizam,16
Mohd-Noor,11
Mohd-Nor,12
Mohd-Radzi,8
Mohd-Razali,6
Mohd-Ridzuan,9
Mohd-Rizal,6
Mohd-Salleh,6
Mohd-Shukri,9
Mohd-Yazid,8
Mohd-Yusof,12
Mohd-Yusri,10
Mohd-Zain,7
Mohd-Zaki,8
Mohd-Zamri,12
Mohd-Zulkifli,8
Mokhtar,13
Muhamad,14
Muhamad-Wanndy,6
Muhammad,49
Muhammad-Amin,6
Muhammad-Firdaus,18
Muhammad-Hafiz,7
Muhammad-Shafiq,7
Munir,8
Musa,15
Mustafa,16
Mustafa-Kamal,8
Mustapha,6
Muzafar-Shah,8
Nasaruddin,10
Nasir,7
Nazri,11
Nazrin-Muizzuddin-Shah,7
Nicholas,6
Nizam,10
Noor-Azmi,6
Noordin,6
Nor-Azman,6
Nor-Azmi,6
Norazman,6
Nordin,22
Norman,8
Nur-Muhammad,7
Nur-Ul-Zaman,7
Omar,27
Onn,6
Osman,17
Othman,33
Paul,9
Peter,21
Philip,8
Rahim,10
Rahman,13
Raj,6
Ramesh,8
Ramlan,7
Ramlee,6
Ramli,29
Rashid,6
Ravi,6
Razali,25
Redzuan,6
Richard,13
Riduan,6
Rizal,10
Robert,13
Rosdi,7
Roslan,33
Rosli,32
Rosman,10
Ruslan,9
Rusli,8
Sabri,7
Saharuddin,6
Salehuddin,8
Salim,8
Salleh,15
Sallehuddin,6
Samad,6
Samsudin,17
Saravanan,9
Sean,6
Shafie,7
Shaharuddin,13
Shahidan,6
Shamsuddin,9
Shamsudin,15
Shukri,6
Stanley,8
Stephen,10
Subramaniam,11
Suhaimi,21
Sulaiman,33
Suleiman,6
Syed-Ali,8
Vincent,7
Wan,11
William,8
Yaacob,7
Yaakob,7
Yaakub,7
Yahaya,7
Yahya,12
Yazid,12
Yunus,7
Yusof,24
Yusoff,8
Yusri,6
Yusuf,8
Zahari,10
Zaidi,12
Zainal,33
Zainal-Abidin,47
Zaini,6
Zainuddin,18
Zainudin,10
Zakaria,38
Zamri,14
Zulkarnain,7
Zulkefli,8
Zulkifli,57
Zulkifly,9
