name,frequency
'Abdu'l-Aziz,14
'Abdu'l-Jalil,6
'Abdu'l-Malik-Shah,20
'Abdu'llah,15
A/L-Subramaniam,11
Ab-Aziz,6
Ab-Ghani,6
Ab-Hamid,7
Ab-Rahim,6
Ab-Rahman,19
Abas,15
Abbas,9
Abd-Aziz,23
Abd-Ghani,17
Abd-Hamid,9
Abd-Jalil,8
Abd-Kadir,8
Abd-Karim,7
Abd-Rahim,10
Abd-Rahman,45
Abd-Rashid,9
Abd-Razak,9
Abd-Wahab,9
Abdul,11
Abdul-Azeez,10
Abdul-Aziz,114
Abdul-Ghafar,21
Abdul-Ghani,52
Abdul-Hadi,8
Abdul-Halim,28
Abdul-Hamid,101
Abdul-Jalil,26
Abdul-Kadir,20
Abdul-Karim,24
Abdul-Khalid,6
Abdul-Latif,11
Abdul-Latiff,7
Abdul-Majid,31
Abdul-Malek,8
Abdul-Malik,8
Abdul-Malik-Shah,20
Abdul-Manaf,11
Abdul-Manan,6
Abdul-Mutalib,7
Abdul-Rahim,55
Abdul-Rahman,180
Abdul-Rashid,30
Abdul-Razak,52
Abdul-Samad,26
Abdul-Shukor,6
Abdul-Talib,6
Abdul-Wahab,33
Abdul-Wahid,8
Abdullah,450
Abidin,9
Abu,10
Abu-Bakar,118
Abu-Bakar-Titingan,11
Abu-Hassan,23
Abu-Kassim,6
Abu-Mansor,7
Abu-Samah,12
Abu-Zahar,7
Adam,26
Adenan,11
Adnan,42
Ahmad,343
Ahmad-Amzad,7
Ahmad-Fuad,8
Ahmad-Sarji,6
Ahmad-Zahid,6
Albar,8
Ali,120
Ali-Hassan,6
Alias,50
Alwi,7
Aman,11
Amat,6
Amin,9
Amir,7
Amiruddin,6
Amirudin,7
Ang,29
Angang,17
Annuar,20
Anuar,12
Anwar,11
Ariff,6
Ariffin,45
Arifin,13
Arshad,24
Atan,24
Awang,60
Awang-Adek,8
Ayob,11
Ayub,14
Aziz,27
Azizan,14
Azman,19
Azman-Shah,11
Azmi,31
Baba,16
Bachok,7
Badlishah,29
Bahari,13
Baharom,11
Baharuddin,16
Baharudin,12
Baharum,7
Bakar,19
Bakhtiar,6
Balakrishnan,8
Baranting,8
Basir,12
Beh,11
Bidin,7
Bin-'Abdu'l-Malik-Shah,7
Bin-Abd-Rahman,6
Bin-Abdul-Aziz,15
Bin-Abdul-Hamid,6
Bin-Abdul-Jalil,7
Bin-Abdul-Malik-Shah,14
Bin-Abdul-Rahman,9
Bin-Abdullah,56
Bin-Abu-Bakar,15
Bin-Ahmad,29
Bin-Ali,9
Bin-Ariffin,6
Bin-Awang,6
Bin-Hashim,6
Bin-Hassan,18
Bin-Hussein,6
Bin-Hussin,7
Bin-Ibrahim,20
Bin-Ishak,12
Bin-Ismail,31
Bin-Jaafar,10
Bin-Jalal-Ud-Din,9
Bin-Johari,6
Bin-Kamaruddin,7
Bin-Kassim,9
Bin-Mansor,9
Bin-Mohamad,13
Bin-Mohamed,11
Bin-Mohd-Noor,6
Bin-Muhammad,6
Bin-Muhriz,8
Bin-Omar,12
Bin-Osman,11
Bin-Othman,12
Bin-Ramli,6
Bin-Saad,6
Bin-Salleh,7
Bin-Sulaiman,13
Bin-Yahya,6
Bin-Yusof,9
Bin-Zakaria,10
Bin-Zulkifli,7
Binti-Abdul-Aziz,9
Binti-Abdul-Malik-Shah,6
Binti-Abdullah,19
Binti-Ismail-Nasir-Ud-Din-Shah,6
Bong,11
Borhan,6
Buang,11
Bujang,11
Cai,30
Ceng,9
Chai,24
Chan,96
Chang,38
Che-Abdullah,8
Che-Hussin,6
Che-Mat,14
Che-Wan,6
Cheah,29
Chee,16
Chen,151
Cheng,18
Cheong,23
Chew,34
Chia,31
Chiam,15
Chiew,15
Chik,17
Chin,92
Ching,13
Chong,116
Choo,23
Choong,23
Chor,13
Chow,16
Chu,9
Chua,61
Chuah,12
Chung,18
Chye,7
Dahalan,6
Dahlan,7
Daim,7
Daud,50
Deraman,7
Diagileva,6
Din,20
Ding,6
Dollah,14
Dompok,7
Donald,7
Dusuki,8
Ee,13
Embong,10
Eng,9
Esa,6
Fadzil,19
Fan,8
Fang,9
Faudzar,6
Fauzi,15
Feissal,8
Feng,8
Fernandes,6
Fong,27
Foo,18
Foong,8
Francis,9
Gan,39
Ganapathy,7
George,9
Ghazali,36
Ghazi,6
Gnanalingam,6
Goh,63
Gooi,8
