name,frequency
Adriana,4
Alexandra,7
Amanda,5
Angela,7
Ann,8
Anna,22
Anne,10
Anne-Marie,4
Antoinette,7
Antonella,5
Antonia,5
Carmela,5
Carmen,30
Caroline,7
Catherine,9
Charmaine,8
Christine,6
Claire,4
Concetta,5
Deborah,6
Denise,5
Diane,4
Dolores,4
Doreen,5
Doris,10
Dorothy,5
Elena,9
Elizabeth,5
Emma,6
Fleur,4
Francesca,8
Gabriella,5
Giovanna,4
Graziella,5
Helen,5
Jacqueline,5
Jane,6
Joanne,6
Josephine,22
Josette,11
Joyce,6
Julia,5
Karen,7
Katrina,6
Lara,6
Lorraine,4
Louise,9
Margaret,8
Maria,64
Marie,10
Mariella,5
Marisa,5
Marlene,8
Marthese,5
Martina,5
Mary,24
Melanie,4
Miriam,4
Moira,4
Nadia,4
Nadine,4
Natalie,5
Natasha,5
Nicole,8
Patricia,7
Pauline,7
Rachel-Marie,4
Rebecca,10
Rita,16
Rose,14
Sandra,5
Sarah,9
Simone,6
Stella,4
Stephanie,4
Susan,4
Tania,4
Tanya,7
Theresa,4
Therese,4
Vanessa,4
Veronica,6
Victoria,8
Yvonne,5
