name,frequency
Aaron,5
Adrian,18
Alan,11
Albert,14
Alex,11
Alexander,14
Alfred,31
Andre,9
Andrea,8
Andrew,19
André,5
Angelo,9
Anthony,79
Antoine,8
Anton,12
Antonio,6
Bernard,8
Brian,7
Carl,4
Carmel,24
Carmelo,18
Charles,30
Chris,11
Christian,11
Christopher,22
Clayton,6
Clifford,4
Clint,4
Clive,5
Daniel,10
Darren,5
David,31
Dennis,4
Dylan,4
Edgar,6
Edward,19
Emanuel,14
Emmanuel,6
Eric,4
Francis,16
Franco,10
Frank,8
Gabriel,4
Geoffrey,4
George,39
Giovanni,6
Giuseppe,5
Godfrey,6
Godwin,8
Gordon,5
Gregory,4
Henry,6
Ian,16
Ivan,14
James,12
Jason,15
Jean-Claude,7
Jean-Pierre,8
Jeffrey,8
Jesmond,9
Joe,12
Johan,4
Johann,5
John,74
Jonathan,14
Josef,10
Joseph,136
Julian,7
Jurgen,4
Justin,4
Karl,14
Keith,12
Kenneth,8
Kevin,11
Kristian,4
Kurt,5
Lawrence,11
Louis,11
Luca,5
Luigi,9
Luke,7
Malcolm,10
Manuel,8
Marc,5
Marco,6
Mario,36
Mark,29
Martin,12
Marvin,4
Matthew,17
Michael,35
Neville,4
Nicholas,9
Nikola,6
Noel,16
Patrick,12
Paul,45
Peter,17
Philip,18
Pierre,9
Ray,6
Raymond,24
Renald,4
Reuben-Lawrence,4
Richard,8
Robert,26
Roderick,5
Ronald,4
Ryan,6
Sammy,4
Samuel,5
Sandro,5
Saviour,12
Silvio,10
Simon,7
Stefan,11
Stephen,16
Steven,6
Thomas,5
Timothy,4
Tonio,5
Tony,6
Victor,24
Vincent,11
Walter,4
Wayne,4
William,8
