name,frequency
Abela,44
Agius,43
Agius-Decelis,6
Agius-Jager,4
Aquilina,12
Arpa,6
Arrigo,12
Attard,41
Axiak,6
Azzopardi,49
Bajada,5
Baldacchino,9
Balzan,13
Barbara,9
Bartolo,15
Bezzina,11
Bonello,8
Bonnici,21
Borg,68
Borg-Marks,8
Briffa,8
Brignone,4
Brincat,13
Bruno,4
Bugeja,14
Buhagiar,11
Buontempo,9
Busuttil,14
Buttigieg,32
Buttiġieġ,4
Cachia,14
Calleja,16
Callus,10
Camilleri,70
Caruana,35
Caruana-Colombo,4
Caruana-Demajo,6
Cassar,37
Cauchi,14
Chetcuti,13
Chircop,10
Church,4
Cilia,11
Cole,4
Coleiro,6
Cremona,12
Cristina,6
Curmi,5
Cuschieri,14
Cutajar,22
Darmanin,4
Debattista,18
Debono,25
Debono-Grech,5
Degiorgio,5
Deguara,13
Delia,6
Demanuele,5
Demicoli,10
Depasquale,11
Dimech,7
Dingli,6
Doublesin,5
Ebejer,6
Ellul,11
Falzon,33
Farrugia,72
Fava,7
Fearne,7
Fenech,34
Fenech-Adami,12
Filletti,5
Fiorini-Lowell,6
Formosa,7
Frendo,8
Friggieri,4
Fsadni,6
Galdes,8
Galea,46
Galea-Debono,4
Galea-Scannura,6
Ganado,4
Gasan,6
Gatt,32
Gatt-Baldacchino,14
Gauci,25
Gingell,9
Gonzi,17
Grech,79
Grima,27
Grixti,4
Gulia,9
Hamilton,6
Herrera,7
Hyzler,7
Inguanez,6
Izzo,5
Law,4
Leone-Ganado,5
Lungaro-Mifsud,6
Magro,4
Mallia,38
Mamo,10
Manche,5
Manché,5
Manduca,7
Mangion,19
Masini,4
McKenna,5
Meilak,6
Meilaq,6
Meli,8
Mercieca,22
Micallef,56
Micallef-Stafrace,5
Miceli,5
Miceli-Demajo,8
Miceli-Farrugia,6
Mifsud,42
Mifsud-Bonnici,19
Mintoff,10
Mizzi,24
Montanaro,7
Montebello,5
Mugliett,5
Mugliette,5
Muscat,30
Muscat-Inglott,4
Naudi,4
Naudi-Acis,4
Pace,33
Parnis,4
Pellegrini,11
Perici-Calascione,15
Piccinino,4
Pirotta,8
Pisani,11
Piscopo,7
Pizzuto,7
Portelli,17
Preca,5
Psaila,5
Pullicino,13
Pullicino-Orlando,6
Refalo,13
Rizzo,17
Rizzo-Naudi,10
Sacco,5
Said,8
Said-Pullicino,10
Saliba,17
Sammut,29
Sant,10
Sant-Cassia,4
Sant-Fournier,4
Sarsero,5
Sceberras-Trigona,4
Scerri,13
Schembri,30
Sciberras,8
Scicluna,19
Sciriha,5
Serracino,4
Serracino-Inglott,5
Spiteri,40
Spiteri-Gingell,6
Stellini,6
Sultana,12
Tabone,38
Tanti,5
Tonna,9
Valentino,4
Valletta,4
Vassallo,27
Vella,45
Vella-Baldacchino,12
Vella-Bonnici,6
Xerri,7
Xuereb,20
Zahra,10
Zammit,54
Zammit-McKeon,7
Zammit-Tabona,5
Zarb,6
Zarb-Adami,11
Zerafa,20
von-Brockdorff,5
