name,frequency
Aage,18
Aasmund,11
Aastad,6
Adolf,7
Adrian,6
Age,10
Åge,10
Aksel,25
Aleksander,11
Alexander,31
Alf,22
Alfred,21
Amir,9
Amund,9
Anders,91
Andre,37
André,24
Andreas,106
Anton,8
Are,13
Arild,38
Armand,11
Arne,147
Arnfinn,10
Arnstad,6
Arnt,12
Arthur,16
Arve,23
Arvid,18
Asbjoern,22
Asbjorn,22
Asbjørn,22
Aslak,11
Asmund,14
Åsmund,10
Atle,28
Audun,35
August,21
Baard,19
Bard,19
Bård,18
Bengt,11
Bernhard,9
Bernt,14
Birger,26
Bjarne,51
Bjarte,7
Bjoern,89
Bjoernar,6
Bjorn,90
Bjørn,88
Bjornar,6
Bjørnar,6
Carl,35
Christian,87
Christopher,15
Dag,53
Dagfinn,16
Daniel,13
David,12
Devik,6
Edvard,25
Edvin,8
Egil,47
Eigil,8
Eilert,7
Eilif,12
Eiliv,6
Einar,67
Eirik,64
Eivind,41
Emil,27
Endre,19
Erik,162
Erik-Joachim,6
Erland,9
Erlend,36
Erling,45
Ernst,7
Eskil,6
Espen,40
Even,16
Finn,41
Frank,17
Freddy,7
Fredrik,66
Frithjof,6
Fritz,6
Frode,33
Gabriel,6
Gaute,7
Geir,78
Georg,17
Gerhard,12
Gjermund,18
Gunnar,93
Gustav,14
Guttorm,7
Haakon,49
Haavard,20
Hakon,38
Håkon,38
Hallvard,11
Halvard,6
Halvor,15
Hans,71
Hans-Erik,9
Hans-Kristian,6
Harald,98
Havard,20
Håvard,20
Helge,68
Henning,31
Henrik,64
Henry,16
Herman,16
Hugo,6
Idar,8
Ingar,10
Inge,53
Ingolf,7
Ingvar,6
Isaachsen,8
Ivar,54
Iver,7
Jacob,29
Jakob,26
Jan,129
Jan-Christian,6
Jan-Erik,9
Jarle,28
Jens,50
Jo,13
Joachim,21
Joakim,13
Joergen,36
Joern,21
Johan,119
Johannes,51
John,67
Johnny,11
Jon,76
Jon-Ivar,6
Jon-Olav,6
Jonas,24
Jorgen,35
Jørgen,34
Jorn,21
Jørn,18
Josef,6
Jostein,22
Julius,7
Kaare,43
Kai,9
Kare,39
Kåre,38
Karl,59
Karl-Henrik,6
Karl-Ove,6
Karsten,12
Kenneth,8
Ketil,17
Kim,10
Kjartan,6
Kjell,87
Kjetil,35
Knut,109
Konrad,6
Kristen,12
Kristian,85
Kristoffer,15
Lars,130
Lars-Svein,6
Lasse,14
Leif,48
Leiv,6
Ludvig,17
Lund,7
Mads,8
Magnar,8
Magne,36
Magnus,72
Marcus,7
Marius,24
Markus,18
Martin,77
Mathias,26
Mentz,6
Michael,13
Mikal,6
Mikkel,6
Morten,95
Mostu,6
Nathalius,6
Nicholas,7
Nicolai,17
Nicolay,7
Nikolai,22
Nils,75
Nils-Andreas,6
Nils-Henrik,6
Nils-Olav,6
Normann,8
Norvald,6
Odd,95
Odd-Egil,6
Oddbjoern,6
Oddbjorn,6
Oddbjørn,6
Oddmund,7
Oddvar,21
Odin,6
Oeistein,6
Oeivind,10
Oeystein,33
Oeyvind,36
Oistein,6
Øistein,7
Oivind,10
Øivind,10
Ola,60
Olaf,18
Olav,147
Ole,120
Ole-Henrik,6
Ole-Jakob,6
Oliver,7
Olve,6
Oscar,21
Oskar,16
Ottar,12
Otto,18
Ove,27
Oystein,33
Øystein,34
Oyvind,37
Øyvind,36
Paal,38
Pal,34
Pål,31
Paul,26
Peder,20
Per,166
Per-Christian,6
Peter,45
Petter,64
Philip,8
Ragnar,33
Rasmus,13
Reidar,51
Richard,9
Roald,14
Roar,19
Robert,14
Robin,7
Roger,25
Rolf,56
Ronny,9
Roy,14
Runar,18
Rune,63
Sander,6
Selvik,6
Severin,6
Sigbjoern,10
Sigbjorn,10
Sigbjørn,10
Sigmund,14
Sigurd,34
Simen,20
Simon,12
Sindre,13
Sivert,16
Sjur,6
Snorre,10
Sondre,24
Staale,8
Stale,8
Ståle,8
Steffen,6
Stein,34
Steinar,47
Sten,11
Stephen,6
Stian,14
Stig,16
Svein,62
Svein-Erik,12
Sveinung,8
Sven,20
Sven-Roald,6
Svend,6
Sverre,59
Terje,71
Theodor,7
Thomas,56
Thor,24
Thorbjoern,8
Thorbjorn,8
Thorbjørn,8
Thore,6
Thorleif,8
Thunshelle,6
Tobias,22
Tom,44
Tomas,6
Tor,69
Tor-Arne,10
Torbjoern,19
Torbjorn,19
Torbjørn,18
Tord,10
Tore,79
Torfinn,6
Torgeir,26
Tormod,13
Torstein,12
Trond,40
Tronstad,6
Truls,12
Trygve,31
Valdemar,6
Vegar,7
Vegard,12
Vetle,10
Victor,10
Vidar,39
Viggo,6
Wilhelm,29
Willem,9
William,17
Willy,18
Yngve,9
