name,frequency
Aamodt,6
Aarnes,9
Aarsaether,11
Aarsæther,6
Aas,11
Aas-Hansen,40
Aasen,9
Aasheim,9
Aasland,8
Agdestein,13
Agerup,11
Akselsen,8
Almlid,12
Amundsen,24
Andersen,55
Andersson,11
Andreassen,14
Andresen,19
Angelvik,8
Arnesen,9
Arnstad,12
Arntzen,10
Asheim,6
Ask,6
Asphjell,8
Astrup,38
Aukrust,7
Austvik,6
Bakke,21
Bakke-Jensen,7
Bakken,7
Bekkevold,8
Berentsen,11
Berg,66
Berge,18
Berglund,6
Bernander,8
Beyer,7
Birkeland,7
Bjerke,8
Bjerknes,6
Bjoerhovde,14
Bjoerkhaug,7
Bjoerlo,6
Bjoernebekk-Waagen,6
Bjoernland,9
Bjoernoey,7
Bjoernstad,15
Bjorhovde,14
Bjørhovde,14
Bjorkhaug,7
Bjørkhaug,7
Bjorlo,6
Bjornebekk-Waagen,6
Bjørnebekk-Waagen,6
Bjornland,9
Bjørnland,6
Bjornoy,7
Bjørnøy,6
Bjornstad,15
Bjørnstad,12
Boe,11
Bøe,6
Boee,8
Boerretzen,8
Bollestad,9
Borch,6
Borgen,7
Borgersen,9
Borretzen,8
Børretzen,6
Botten,6
Braaten,11
Braathen,10
Brandsas,6
Brandtzaeg,6
Braten,9
Brathen,6
Bratli,10
Breivik,6
Brekk,7
Brekke,22
Brende,6
Bronebakk,6
Bruun-Gundersen,12
Bruun-Hanssen,13
Bryne,21
Brynildsen,9
Bugge,9
Busch,8
Byfuglien,6
Bysveen,8
Carlsen,6
Chaffey,14
Christensen,8
Clausen,6
Conradi,14
Dahl,18
Dahle,10
Dalby,8
Dale,8
Dalhaug,10
Ditlev-Simonsen,12
Djupedal,18
Dybvig,11
Egeland,14
Eggum,9
Eide,35
Eidsvaag,6
Eik-Nes,6
Eilertsen,8
Eira,9
Ekhaugen,6
Eldegard,8
Ellingsen,16
Ellingsgard,6
Engberg-Pedersen,14
Engelschioen,15
Engelschion,15
Engelschiøn,13
Engen,9
Enger,11
Engeset,6
Eriksen,33
Ertzaas,6
Falch,6
Farstad,6
Fause,12
Finstad,7
Five,8
Five-Kristiansen,6
Fjaervoll,20
Fjærvoll,16
Flotve,11
Foerde,7
Forde,7
Førde,7
Foss,17
Fougner,8
Frantzen,9
Fredriksen,22
Freiberg,10
Frigaard,13
Frisvold,6
Froelich,20
Frogner,9
Frolich,20
Frølich,14
Frydenlund,7
Fuller-Gee,12
Furberg,6
Gabrielsen,8
Garseth,13
Gaustadsaether,6
Gerhardsen,8
Giske,9
Gjedrem,18
Gjoelme,9
Gjolme,9
Gjølme,8
Godskesen,8
Grande,9
Green,14
Grevbo,31
Grimnes,6
Grimstad,19
Groendahl,8
Grondahl,8
Grøndahl,6
Groth,6
Grue,7
Grundekjoen,9
Grundekjon,9
Grung,6
Guin,7
Gulbrandsen,10
Gullvaag,6
Gullvag,6
