name,frequency
Þuríðr,58
Þorgerðr,42
Þórdís,40
Helga,36
Þórunn,34
Guðrún,24
Þóra,23
Valgerðr,20
Yngvildr,20
Vigdís,19
Þorbiǫrg,19
Jórunn,17
Steinunn,15
Þorkatla,15
Halldóra,14
Gróa,13
Halla,13
Álǫf,10
Ástríðr,10
Hallbera,10
Þorlaug,10
Hallveig,9
Herdís,9
Rannveig,9
Æsa,9
Ingibiǫrg,8
Sigríðr,8
Þórhildr,8
Arnóra,7
Gunnhildr,7
Þórarna,7
Ásdís,6
Guðríðr,6
Hallgerðr,6
Hlíf,6
Kolfinna,6
Salgerðr,6
Þórný,6
Arnbiǫrg,5
Arndís,5
Arngerðr,5
Arnkatla,5
Arnleif,5
Auðr,5
Álfgerðr,5
Ásgerðr,5
Ásný,5
Ásvǫr,5
Bergþóra,5
Biǫrg,5
Dalla,5
Finna,5
Friðgerðr,5
Geirhildr,5
Geirlaug,5
Geirríðr,5
Gerðr,5
Guðlaug,5
Guðný,5
Hallfríðr,5
Hallkatla,5
Hróðný,5
Ingunn,5
Ísgerðr,5
Járngerðr,5
Jófríðr,5
Jóra,5
Jóreiðr,5
Oddný,5
Otkatla,5
Ragnheiðr,5
Ragnhildr,5
Riúpa,5
Signý,5
Valdís,5
Vilborg,5
Þióðhildr,5
Þórey,5
Þorlót,5
Aldís,2
Arneiðr,2
Arnfríðr,2
Arngunnr,2
Arnþruðr,2
Álfdís,2
Álfeiðr,2
Ása,2
Ásbiórg,2
Áshildr,2
Ásleif,2
Ásta,2
Bera,2
Bergdís,2
Bergliót,2
Birna,2
Biargey,2
Biollok,2
Bót,2
Bótey,2
Bryngerðr,2
Dagrún,2
Dís,2
Dýrfinna,2
Eðna,2
Eirný,2
Eydís,2
Eyia,2
Fastný,2
Fiórleif,2
Fregerðr,2
Geirbiórg,2
Geirný,2
Giaflaug,2
Grélǫð,2
Gríma,2
Guðbiǫrg,2
Guðleif,2
Gunnvǫr,2
Hafþóra,2
Hallbiǫrg,2
Halldís,2
Hallvǫr,2
Heiðr,2
Heimlaug,2
Herríðr,2
Herþrúðr,2
Hervǫr,2
Hildigunnr,2
Hiálmgerðr,2
Hiálp,2
Hrefna,2
Hrafnhildr,2
Húngerðr,2
Iðunn,2
Ingigerðr,2
Ingríðr,2
Ingileif,2
Ingvǫldr,2
Jódís,2
Kaðlín,2
Katla,2
Ketilríðr,2
Kiǫlvǫr,2
Kolgríma,2
Melkorka,2
Miǫll,2
Móeiðr,2
Myrgiol,2
Mýrún,2
Mæva,2
Niðbiǫrg,2
Oddbiǫrg,2
Oddfríðr,2
Oddlaug,2
Oddleif,2
Ormhildr,2
Ósk,2
Rafǫrta,2
Reginleif,2
Salbiǫrg,2
Snælaug,2
Sólveig,2
Steinvǫr,2
Svana,2
Svanlaug,2
Sæhildr,2
Sæuðr,2
Sǫlvǫr,2
Tófa,2
Úlfeiðr,2
Úlfhildr,2
Úlfrún,2
Védís,2
Vélaug,2
Véný,2
Vilgerðr,2
Ýrr,2
Þióðgerðr,2
Þorfinna,2
Þorgríma,2
Þórelfr,2
Þorleif,2
Þórodda,2
Þórvé,2
Þórvǫr,2
Þraslaug,2
Ægileif,2
Ǫndót,2
